date,nav,cash,spy
2026-09-03,100000.0,100000.0,765.16
2026-09-04,100000.0,100000.0,770.19
2026-09-07,100000.0,26099.88,770.19
2026-09-08,99477.81,26099.88,765.96
2026-09-09,99012.71,26099.88,762.4
2026-09-10,98517.05,26099.88,757.83
2026-09-11,99072.01,26099.88,764.29
2026-09-14,99007.34,46068.91,760.88
2026-09-15,98961.37,46068.91,757.39
2026-09-16,98665.88,46068.91,754.05
2026-09-17,99097.65,46068.91,762.6
2026-09-18,99020.29,46068.91,761.69
2026-09-22,99020.29,45905.37,761.69
2026-09-22,99476.81,45905.37,773.38
