month,UNIV_EW,IWM,SPY,H1_OL_EW_Q1,H1_OL_EW_Q2,H1_OL_EW_Q3,H1_OL_EW_Q4,H1_OL_EW_Q5,H1_OL_VW_Q1,H1_OL_VW_Q2,H1_OL_VW_Q3,H1_OL_VW_Q4,H1_OL_VW_Q5,H1_OL_EW_Q5mQ1,H1_OL_INDNEU_EW_Q5mQ1,H2a_FCS_EW_Q1,H2a_FCS_EW_Q2,H2a_FCS_EW_Q3,H2a_FCS_EW_Q4,H2a_FCS_EW_Q5,H2a_FCS_VW_Q1,H2a_FCS_VW_Q2,H2a_FCS_VW_Q3,H2a_FCS_VW_Q4,H2a_FCS_VW_Q5,H2a_FCS_EW_Q5mQ1,H2a_FCS_INDNEU_EW_Q5mQ1,H3_margin_chg_EW_Q1,H3_margin_chg_EW_Q2,H3_margin_chg_EW_Q3,H3_margin_chg_EW_Q4,H3_margin_chg_EW_Q5,H3_margin_chg_VW_Q1,H3_margin_chg_VW_Q2,H3_margin_chg_VW_Q3,H3_margin_chg_VW_Q4,H3_margin_chg_VW_Q5,H3_margin_chg_EW_Q5mQ1,H3_margin_chg_INDNEU_EW_Q5mQ1,H2b_EW_cell11,H2b_EW_cell12,H2b_EW_cell13,H2b_EW_cell21,H2b_EW_cell22,H2b_EW_cell23,H2b_EW_cell31,H2b_EW_cell32,H2b_EW_cell33,H2b_EW_HHmRest
2011-07-01,-0.036100,-0.034062,-0.020005,-0.025612,-0.051460,-0.043206,-0.031472,-0.030920,-0.005565,-0.000379,-0.057590,-0.031957,0.001080,-0.005308,-0.005524,,,,,,,,,,,,,-0.027848,-0.027609,-0.041021,-0.047723,-0.052214,-0.024758,0.038208,-0.031690,-0.019693,-0.036224,-0.024366,-0.019974,,,,,,,,,,
2011-08-01,-0.082222,-0.088914,-0.054975,-0.085727,-0.083258,-0.078920,-0.095662,-0.071559,-0.048607,-0.025652,-0.066829,-0.070657,-0.030339,0.014168,-0.007636,,,,,,,,,,,,,-0.064647,-0.065364,-0.068766,-0.094288,-0.122029,-0.017658,-0.036543,-0.056851,-0.051459,-0.080873,-0.057382,-0.045122,,,,,,,,,,
2011-09-01,-0.111236,-0.111503,-0.069421,-0.118075,-0.098834,-0.124585,-0.114804,-0.102226,-0.062541,-0.053855,-0.093520,-0.075930,-0.055258,0.015849,-0.012521,,,,,,,,,,,,,-0.106081,-0.084715,-0.104761,-0.121749,-0.139168,-0.047986,-0.042027,-0.085047,-0.091503,-0.079817,-0.033087,-0.020093,,,,,,,,,,
2011-10-01,0.158340,0.151011,0.109147,0.139209,0.152928,0.159516,0.163705,0.171273,0.102455,0.086651,0.133818,0.130645,0.099029,0.032063,0.018644,,,,,,,,,,,,,0.135118,0.135023,0.155138,0.176493,0.195107,0.059470,0.095760,0.127546,0.129812,0.154525,0.059989,0.067143,,,,,,,,,,
2011-11-01,-0.001168,-0.003783,-0.004064,-0.005417,-0.006372,0.004317,0.000179,-0.001794,-0.000117,-0.004247,-0.008703,0.025206,0.015020,0.003623,0.014293,,,,,,,,,,,,,-0.004356,0.025825,0.011904,-0.020094,-0.037335,-0.004283,0.003093,0.018386,0.002155,-0.000869,-0.032979,-0.040938,,,,,,,,,,
2011-12-01,-0.000857,0.005151,0.010449,0.001822,-0.008500,-0.006092,-0.010517,0.019422,0.024712,0.015792,-0.007802,-0.007258,0.005813,0.017600,-0.013184,,,,,,,,,,,,,0.000816,0.005391,0.004182,0.003431,-0.000904,0.015786,0.028669,0.004157,-0.002187,-0.024651,-0.001720,0.022153,,,,,,,,,,
2012-01-01,0.086142,0.071457,0.046374,0.069430,0.097881,0.096819,0.092015,0.084192,0.043645,0.064173,0.072270,0.064338,0.040621,0.014762,0.028476,,,,,,,,,,,,,0.073342,0.057374,0.078739,0.118715,0.123621,0.031687,0.029353,0.060827,0.094232,0.105922,0.050279,0.027685,,,,,,,,,,
2012-02-01,0.038302,0.025690,0.043405,0.043588,0.032573,0.035497,0.042172,0.036824,0.041132,0.073586,0.038841,0.042373,0.031115,-0.006764,-0.004294,,,,,,,,,,,,,0.035028,0.039472,0.046870,0.025623,0.034941,0.021585,0.071877,0.048391,0.048226,0.041864,-0.000087,-0.016413,,,,,,,,,,
2012-03-01,0.020334,0.024847,0.032164,0.009020,0.023082,0.015831,0.029089,0.027492,0.028384,0.040580,0.016953,0.035086,0.048856,0.018472,0.007081,,,,,,,,,,,,,0.022180,0.030063,0.022078,0.021902,0.014815,0.041195,0.047561,0.034528,0.017314,0.038557,-0.007365,0.002745,,,,,,,,,,
2012-04-01,-0.011573,-0.016181,-0.006675,0.001505,-0.012452,-0.019756,-0.015329,-0.014201,0.006040,-0.010124,-0.005969,0.001395,0.004655,-0.015706,-0.015478,,,,,,,,,,,,,0.000926,-0.001658,-0.012202,-0.007500,-0.036576,0.034645,-0.017331,0.002727,0.007060,-0.022260,-0.037502,-0.011830,,,,,,,,,,
