panel,band,axis,IS_spread,loyo_sd,ratio,OOS_MaxDD_spread,OOS_CAGR_spread
U56,NOGATE,G 0.30->1.00,0.005068870624755473,0.09573943472793348,0.05294443861257257,0.19690876539950208,0.12847174855909183
U56,0.0,G 0.30->1.00,0.0015221596687371441,0.11850301222845364,0.012844902759118725,0.10937978936095982,0.08515544408576114
U56,0.03,G 0.30->1.00,0.0016406203511545314,0.11661683397106576,0.014068469322032803,0.11001695088522756,0.08924590207104655
U56,0.1,G 0.30->1.00,0.0016031291615277166,0.11495877416200795,0.013945252750072603,0.1126540034761293,0.08541501208034674
U56,*argmax vs runner-up*,"(0.1,1.00) vs (0.1,0.90)",0.00016250329348888037,0.11494522175904896,0.001413745530279839,,
U56,*argmax vs best OTHER band*,(0.1) vs (NOGATE),0.034130077517692925,0.11494522175904896,0.29692471766453454,,
B136,NOGATE,G 0.30->1.00,0.006741380475047798,0.09039418018989287,0.07457759405402034,0.21950769229897138,0.1280979849976862
B136,0.0,G 0.30->1.00,0.0028662693861198907,0.1209409795189904,0.02369973682634035,0.1148051036447214,0.07245960334930879
B136,0.03,G 0.30->1.00,0.0032269195423066943,0.11492274239004126,0.028079033576789463,0.11173838159388894,0.07343445435184415
B136,0.1,G 0.30->1.00,0.0034116505851877754,0.11563253729858702,0.029504243916901964,0.1323482865810619,0.07728302090945038
B136,*argmax vs runner-up*,"(NOGATE,1.00) vs (NOGATE,0.90)",0.0008449633776848042,0.09036515920097535,0.009350543784309343,,
B136,*argmax vs best OTHER band*,(NOGATE) vs (0.1),0.0011000446052580326,0.09036515920097535,0.012173326700078002,,
SMALL,NOGATE,G 0.30->1.00,0.010571180832700033,0.14635617949689983,0.07222913900211474,0.29175192176067233,0.09226526948419944
SMALL,0.0,G 0.30->1.00,0.002488402472440643,0.24782755025745687,0.010040862970462944,0.1114538344944096,0.0393375330425878
SMALL,0.03,G 0.30->1.00,0.0024319155992870156,0.23955786873837137,0.010151683232509413,0.11279672969152144,0.04004846207079771
SMALL,0.1,G 0.30->1.00,0.0021581283614516833,0.2274610859641506,0.00948790142412236,0.1371558047460596,0.04209932501570046
SMALL,*argmax vs runner-up*,"(NOGATE,1.00) vs (NOGATE,0.90)",0.001264707967989942,0.14651276330806057,0.008632066855027112,,
SMALL,*argmax vs best OTHER band*,(NOGATE) vs (0.1),0.12728678667382587,0.14651276330806057,0.8687760970434378,,
