company,ticker,sample,quarter,months_covered,states,properties,coverage,ggr_growth_yoy,rev_year_ago_musd,nowcast_rev_musd,flow_through,flow_through_source,ebitda_year_ago_musd,nowcast_ebitda_musd,nowcast_ebitda_growth,reported_ebitda_growth_prev_q,signal_ebitda_accel,signal_z,reported_rev_growth_prev_q,signal_rev_accel,last_state_report_used,next_report,notes
BALY,BALY,prop,2026Q3,"2026-07,2026-08","DE,IA,IL,IN,LA,MO,NJ,RI",13,0.804,0.0177,663.7,675.5,0.303,own+industry,79.4,82.9,0.0449,-0.1678,0.2126,0.21,0.2049,-0.1871,2026-09-16,2026-11-09,"coverage overstated: Rhode Island reports total net terminal income but Bally's books only its share, and its UK online business is not covered; Iowa excluded for Jul-Aug 2026 (AGR definition changed)"
BYD,BYD,prop,2026Q3,"2026-07,2026-08","IA,IL,IN,KS,LA,MO,OH,PA",15,0.706,0.0093,1004.4,1013.7,0.392,own+industry,213.5,217.2,0.0172,-0.0658,0.083,0.08,0.0004,0.0089,2026-09-17,2026-10-22,Iowa excluded for Jul-Aug 2026 (AGR definition changed)
FLL,FLL,prop,2026Q3,"2026-07,2026-08","IL,IN",2,0.707,0.1059,78.0,86.2,0.384,own+industry,14.1,17.2,0.2252,0.208,0.0172,0.02,0.0557,0.0502,2026-09-11,2026-11-05,
CNTY,CNTY,prop,2026Q3,"2026-07,2026-08","MD,MO,WV",4,0.656,-0.0105,153.7,152.1,0.203,own+industry,29.9,29.6,-0.011,0.0264,-0.0373,-0.04,0.0078,-0.0183,2026-09-17,2026-11-06,
CHDN,CHDN,prop,2026Q3,"2026-07,2026-08","FL,IA,IN,LA,MD,ME,NY,PA",8,0.759,0.0025,683.0,684.7,0.389,own+industry,154.5,155.2,0.0043,0.0791,-0.0748,-0.08,0.0488,-0.0463,2026-09-17,2026-10-28,Iowa excluded for Jul-Aug 2026 (AGR definition changed)
PENN,PENN,prop,2026Q3,"2026-07,2026-08","IA,IL,IN,LA,MA,MD,ME,MI,MO,OH,PA,WV",27,0.845,0.0363,1717.3,1779.6,0.419,own+industry,-662.2,-636.1,0.0394,0.3271,-0.2877,-0.29,0.0524,-0.0161,2026-09-21,2026-11-05,"Iowa excluded for Jul-Aug 2026 (AGR definition changed); year-ago EBITDA is negative or tiny (impairments sit in operating income), so EBITDA growth rates are not meaningful; read ggr_growth_yoy and nowcast_ebitda_musd instead"
BALY,BALY,region,2026Q3,"2026-07,2026-08","CO,DE,IA,IL,IN,LA,MO,MS,NJ,NV,RI",19,0.95,0.0169,663.7,674.9,0.303,own+industry,79.4,82.7,0.0427,-0.1678,0.2105,0.2,0.2049,-0.188,2026-09-16,2026-11-09,"coverage overstated: Rhode Island reports total net terminal income but Bally's books only its share, and its UK online business is not covered; Iowa excluded for Jul-Aug 2026 (AGR definition changed); region proxies (MS/CO/NV) carry 15% of covered GGR"
BYD,BYD,region,2026Q3,"2026-07,2026-08","IA,IL,IN,KS,LA,MO,MS,NV,OH,PA",25,1.177,0.0056,1004.4,1010.0,0.392,own+industry,213.5,215.7,0.0103,-0.0658,0.0761,0.07,0.0004,0.0052,2026-09-17,2026-10-22,Iowa excluded for Jul-Aug 2026 (AGR definition changed); region proxies (MS/CO/NV) carry 40% of covered GGR
RRR,RRR,region,2026Q3,2026-07,NV,13,1.064,-0.038,475.6,457.5,0.383,own+industry,180.5,173.5,-0.0383,-0.0974,0.0591,0.05,-0.0304,-0.0076,2026-08-27,2026-10-27,only one month of state data so far (Nevada/Colorado publish about 4 weeks after month-end); region proxies (MS/CO/NV) carry 100% of covered GGR
ERI_CZR,CZR,region,2026Q3,"2026-07,2026-08","CO,FL,IA,IL,IN,LA,MD,MO,MS,NJ,NV,OH,PA",44,0.988,0.0035,2869.0,2878.9,0.376,own+industry,865.0,868.7,0.0043,-0.0247,0.029,0.03,0.0296,-0.0261,2026-09-17,2026-10-27,Iowa excluded for Jul-Aug 2026 (AGR definition changed); region proxies (MS/CO/NV) carry 39% of covered GGR
MCRI,MCRI,region,2026Q3,2026-07,"CO,NV",2,0.843,0.0134,142.8,144.7,0.401,own+industry,52.2,53.0,0.0147,0.0169,-0.0021,-0.0,0.0415,-0.0281,2026-08-27,2026-10-20,only one month of state data so far (Nevada/Colorado publish about 4 weeks after month-end); region proxies (MS/CO/NV) carry 100% of covered GGR
CNTY,CNTY,region,2026Q3,"2026-07,2026-08","CO,MD,MO,NV,WV",7,0.864,0.0018,153.7,154.0,0.203,own+industry,29.9,30.0,0.0019,0.0264,-0.0245,-0.02,0.0078,-0.006,2026-09-17,2026-11-06,region proxies (MS/CO/NV) carry 24% of covered GGR
MGM,MGM,region,2026Q3,"2026-07,2026-08","MA,MD,MI,MS,NJ,NV,NY",15,0.61,0.0126,4250.5,4303.9,0.484,own+industry,147.9,173.7,0.1749,0.2156,-0.0407,-0.04,0.0105,0.0021,2026-09-21,2026-10-28,"year-ago EBITDA is negative or tiny (impairments sit in operating income), so EBITDA growth rates are not meaningful; read ggr_growth_yoy and nowcast_ebitda_musd instead; region proxies (MS/CO/NV) carry 43% of covered GGR"
CHDN,CHDN,region,2026Q3,"2026-07,2026-08","FL,IA,IN,LA,MD,ME,MS,NY,PA",10,0.843,0.0001,683.0,683.0,0.389,own+industry,154.5,154.5,0.0001,0.0791,-0.079,-0.07,0.0488,-0.0487,2026-09-17,2026-10-28,Iowa excluded for Jul-Aug 2026 (AGR definition changed); region proxies (MS/CO/NV) carry 10% of covered GGR
FLL,FLL,region,2026Q3,"2026-07,2026-08","CO,IL,IN,MS,NV",6,1.335,0.0465,78.0,81.6,0.384,own+industry,14.1,15.5,0.0989,0.208,-0.1091,-0.1,0.0557,-0.0092,2026-09-15,2026-11-05,region proxies (MS/CO/NV) carry 47% of covered GGR
PENN,PENN,region,2026Q3,"2026-07,2026-08","CO,IA,IL,IN,LA,MA,MD,ME,MI,MO,MS,NV,OH,PA,WV",36,1.028,0.0351,1717.3,1777.6,0.419,own+industry,-662.2,-636.9,0.0381,0.3271,-0.289,-0.27,0.0524,-0.0172,2026-09-21,2026-11-05,"Iowa excluded for Jul-Aug 2026 (AGR definition changed); year-ago EBITDA is negative or tiny (impairments sit in operating income), so EBITDA growth rates are not meaningful; read ggr_growth_yoy and nowcast_ebitda_musd instead; region proxies (MS/CO/NV) carry 18% of covered GGR"
