claim_set,beta_window,published_4b_passes,restated_4b_pass,strict_ALPHA_pass,alphaCAGR_gt0,mean_beta,mean_alphaCAGR,restated_fail_S1,restated_fail_S2,restated_fail_DD,restated_fail_CG
FULL,full,11,0,11,11,0.5047277279184537,0.04668357273174186,0,0,11,0
FULL,roll252,11,0,11,11,0.6015859920646566,0.03205737622877969,0,0,11,0
OOS,full,13,0,13,13,0.46901284396928333,0.05343396171854109,0,0,13,0
OOS,roll252,13,1,13,13,0.5893838861498218,0.03506090681788216,0,0,12,0
