panel,family,selector,ratio,gross,picked,is_Sharpe,is_CAGR,is_MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,oos_dd,oos_cagr,oos_h1,oos_h2,oos_4b,full_4b,full_4a
B136,LOWVOL,PICK-SHARPE,0.05,1.0,r=0.05 g=1.0,1.1676794815967046,0.061929804439117,-0.06788207441098726,0.027033940194200134,0.44974613753694265,-0.1909342271690827,True,False,True,False,False,False,False
B136,LOWVOL,PICK-CALMAR,0.35,1.0,r=0.35 g=1.0,1.13959930587151,0.11456187522610639,-0.1000174303248671,0.08249641247535977,0.7717603617246532,-0.21901731207254715,False,False,True,False,False,False,False
B136,LOWVOL,PICK-4bIS,0.35,1.0,r=0.35 g=1.0,1.13959930587151,0.11456187522610639,-0.1000174303248671,0.08249641247535977,0.7717603617246532,-0.21901731207254715,False,False,True,False,False,False,False
B136,MADIST,PICK-SHARPE,0.1,1.0,r=0.1 g=1.0,1.2275821999771312,0.26655851798763264,-0.2101903114779079,0.30196384576330515,1.1812815407712363,-0.2848066060515233,False,True,True,True,False,False,False
B136,MADIST,PICK-CALMAR,0.1,1.0,r=0.1 g=1.0,1.2275821999771312,0.26655851798763264,-0.2101903114779079,0.30196384576330515,1.1812815407712363,-0.2848066060515233,False,True,True,True,False,False,False
B136,MADIST,PICK-4bIS,0.1,0.5,r=0.1 g=0.5,1.2163163756590172,0.13005511363828437,-0.10919293875878,0.14743022393013616,1.1617751994407102,-0.15041486143748428,True,True,True,True,True,True,False
B136,MOM,PICK-SHARPE,0.05,1.0,r=0.05 g=1.0,1.2210893567795134,0.3039919005478695,-0.24753007825108309,0.3573755250145967,1.1727775609336555,-0.38458612975116835,False,True,True,True,False,False,False
B136,MOM,PICK-CALMAR,0.1,1.0,r=0.1 g=1.0,1.2112135067761889,0.2631947060387463,-0.20947472544042822,0.25398158678596294,1.0070759260494604,-0.36429819110977024,False,True,True,True,False,False,False
B136,MOM,PICK-4bIS,0.05,0.5,r=0.05 g=0.5,1.2134727190634595,0.14897535738308587,-0.13078934254841934,0.1747341430838043,1.1517540396555337,-0.21016647230537733,False,True,True,True,False,False,False
B136,MOMVS,PICK-SHARPE,0.05,1.0,r=0.05 g=1.0,1.1182664062125416,0.15661901623813446,-0.14580295499112328,0.09095041638497081,0.6330836318476128,-0.2836482781452687,False,False,False,False,False,False,False
