panel,kind,tol,S,cost,null_4a_share,null_4b_share
B136,IID,0.05,50,10,0.0,0.0
B136,IID,0.05,50,25,0.0,0.0
B136,IID,0.05,50,50,0.0,0.0
SMALL,ROT-COM,n/a,10,0,0.1,0.0
SMALL,ROT-COM,n/a,10,10,0.1,0.0
SMALL,ROT-COM,n/a,10,25,0.1,0.0
SMALL,ROT-COM,n/a,10,50,0.1,0.0
SMALL,ROT-COM,n/a,25,0,0.08,0.04
SMALL,ROT-COM,n/a,25,10,0.08,0.04
SMALL,ROT-COM,n/a,25,25,0.08,0.04
SMALL,ROT-COM,n/a,25,50,0.12,0.0
SMALL,ROT-COM,n/a,50,0,0.04,0.02
SMALL,ROT-COM,n/a,50,10,0.04,0.02
SMALL,ROT-COM,n/a,50,25,0.04,0.02
SMALL,ROT-COM,n/a,50,50,0.06,0.0
SMALL,ROT-IND,n/a,10,0,0.0,0.0
SMALL,ROT-IND,n/a,10,10,0.0,0.0
SMALL,ROT-IND,n/a,10,25,0.0,0.0
SMALL,ROT-IND,n/a,10,50,0.0,0.0
SMALL,ROT-IND,n/a,25,0,0.0,0.0
SMALL,ROT-IND,n/a,25,10,0.0,0.0
SMALL,ROT-IND,n/a,25,25,0.0,0.0
SMALL,ROT-IND,n/a,25,50,0.0,0.0
SMALL,ROT-IND,n/a,50,0,0.0,0.0
SMALL,ROT-IND,n/a,50,10,0.0,0.0
SMALL,ROT-IND,n/a,50,25,0.0,0.0
SMALL,ROT-IND,n/a,50,50,0.0,0.0
SMALL,IID,0.005,10,0,0.0,0.0
SMALL,IID,0.005,10,10,0.0,0.0
SMALL,IID,0.005,10,25,0.0,0.0
SMALL,IID,0.005,10,50,0.0,0.0
SMALL,IID,0.005,25,0,0.0,0.0
SMALL,IID,0.005,25,10,0.0,0.0
SMALL,IID,0.005,25,25,0.0,0.0
SMALL,IID,0.005,25,50,0.0,0.0
SMALL,IID,0.005,50,0,0.0,0.0
SMALL,IID,0.005,50,10,0.0,0.0
SMALL,IID,0.005,50,25,0.0,0.0
SMALL,IID,0.005,50,50,0.0,0.0
SMALL,IID,0.02,10,0,0.0,0.0
SMALL,IID,0.02,10,10,0.0,0.0
SMALL,IID,0.02,10,25,0.0,0.0
SMALL,IID,0.02,10,50,0.0,0.0
SMALL,IID,0.02,25,0,0.0,0.0
SMALL,IID,0.02,25,10,0.0,0.0
SMALL,IID,0.02,25,25,0.0,0.0
SMALL,IID,0.02,25,50,0.0,0.0
SMALL,IID,0.02,50,0,0.0,0.0
SMALL,IID,0.02,50,10,0.0,0.0
SMALL,IID,0.02,50,25,0.0,0.0
SMALL,IID,0.02,50,50,0.0,0.0
SMALL,IID,0.05,10,0,0.0,0.0
SMALL,IID,0.05,10,10,0.0,0.0
