panel,kind,S,tol,cell_OOS_Sharpe,null_OOS_Sharpe,dSharpe,p_Sharpe,cell_OOS_CAGR,null_OOS_CAGR,cell_OOS_MaxDD,null_OOS_MaxDD,p_MaxDD
B136,ROT-COM,50,0.05,1.1016867720596069,1.0829026323184343,0.018784139741172545,0.22,0.0784728360555127,0.09956976140446162,-0.12241069123223403,-0.19343740971688203,0.02
B136,ROT-IND,50,0.05,1.1016867720596069,1.0590094470231735,0.0426773250364334,0.1,0.0784728360555127,0.09478622202781534,-0.12241069123223403,-0.18430602543329988,0.0
B136,IID,50,0.05,1.1016867720596069,0.9064603118937771,0.19522646016582978,0.0,0.0784728360555127,0.07998557061791374,-0.12241069123223403,-0.18594361421380667,0.0
SMALL,ROT-COM,10,0.02,0.5446624091592769,0.5201690494660732,0.024493359693203653,0.3,0.036280008883579296,0.04485591728138385,-0.14161687822607494,-0.2147017603321783,0.1
SMALL,ROT-IND,10,0.02,0.5446624091592769,0.602238744325525,-0.05757633516624816,1.0,0.036280008883579296,0.05090390385940533,-0.14161687822607494,-0.20324164043800405,0.0
SMALL,IID,10,0.02,0.5446624091592769,0.41404063126507146,0.13062177789420543,0.0,0.036280008883579296,0.0333286357455566,-0.14161687822607494,-0.21424893390372368,0.0
U56,ROT-COM,10,0.005,1.276620821629499,1.0114970612674643,0.26512376036203467,0.0,0.09455179369762767,0.09288876497616345,-0.12054956914840886,-0.18246528478720325,0.0
U56,ROT-IND,10,0.005,1.276620821629499,1.1315110634714367,0.14510975815806226,0.0,0.09455179369762767,0.10062037221613558,-0.12054956914840886,-0.17116858731090268,0.0
U56,IID,10,0.005,1.276620821629499,0.9501087730190069,0.3265120486104921,0.0,0.09455179369762767,0.08202643047204819,-0.12054956914840886,-0.16334754849116223,0.0
