date,long_ret,short_ret,spread,hedged,iwm,spy
2026-09-04,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-08,0.001531,0.000000,0.001531,0.003341,-0.004527,-0.005492
2026-09-09,-0.004067,-0.017179,0.013138,0.006736,-0.018141,-0.010114
2026-09-10,-0.007706,-0.017514,0.009782,-0.002708,-0.028073,-0.016048
2026-09-11,-0.002753,-0.016324,0.013600,0.002712,-0.024053,-0.007660
2026-09-14,-0.000309,-0.019934,0.019803,0.007488,-0.027364,-0.012088
2026-09-15,-0.000267,-0.021092,0.021051,0.007304,-0.034206,-0.016619
2026-09-16,-0.015146,-0.028142,0.013208,-0.001296,-0.038338,-0.020956
2026-09-17,-0.021753,-0.020274,-0.001792,-0.016081,-0.033224,-0.009855
2026-09-18,-0.023560,-0.020274,-0.003637,-0.017899,-0.033224,-0.009855
