filing_date,transaction_date,owner,relationship,security,table,code,acquired_disposed,shares,price,shares_owned_after,accession
2026-06-09,2026-06-05,Rothstein Sharon,Director,Common Stock,non-derivative,A,A,10646,0,53071,0001769134-26-000002
2026-06-09,2026-06-05,Wells Royce A.,Director,Common Stock,non-derivative,A,A,10646,0,45833,0001559292-26-000002
2026-07-02,2026-06-30,Nachman Joseph R,Officer; Chief Operating Officer,Common Stock,non-derivative,S,D,9000,25,270326,0001345016-26-000054
2026-07-06,2026-07-01,Amara Carmen,Officer; Chief People Officer,Common Stock,non-derivative,S,D,1500,24.95,129224,0001919747-26-000009
2026-07-06,2026-07-01,Levy Alexander Coleman,Officer; Chief Technology Officer,Common Stock,non-derivative,A,A,14762,0,60430,0002137803-26-000004
2026-07-02,2026-07-01,Nachman Joseph R,Officer; Chief Operating Officer,Common Stock,non-derivative,S,D,4500,25,265826,0001345016-26-000054
2026-07-06,2026-07-02,Amara Carmen,Officer; Chief People Officer,Common Stock,non-derivative,S,D,23233,27,105991,0001919747-26-000009
2026-08-05,2026-08-03,Nachman Joseph R,Officer; Chief Operating Officer,Common Stock,non-derivative,S,D,4500,26.91,261326,0001540652-26-000009
2026-08-24,2026-08-20,Amara Carmen,Officer; Chief People Officer,Common Stock,non-derivative,F,D,4955,23.60,101036,0001919747-26-000011
2026-08-24,2026-08-20,Levy Alexander Coleman,Officer; Chief Technology Officer,Common Stock,non-derivative,F,D,2477,23.60,57953,0002137803-26-000006
2026-08-24,2026-08-20,Nachman Joseph R,Officer; Chief Operating Officer,Common Stock,non-derivative,F,D,10333,23.60,250993,0001540652-26-000011
2026-08-24,2026-08-20,Schwarzbach David A,Officer; Chief Financial Officer,Common Stock,non-derivative,F,D,10013,23.60,189275,0001349334-26-000008
2026-08-24,2026-08-20,Stoppelman Jeremy,Director; Officer; Chief Executive Officer,Common Stock,non-derivative,F,D,20479,23.60,918455,0001541476-26-000010
2026-08-24,2026-08-21,Schwarzbach David A,Officer; Chief Financial Officer,Common Stock,non-derivative,S,D,8809,23.1938,180466,0001349334-26-000008
2026-08-24,2026-08-24,Levy Alexander Coleman,Officer; Chief Technology Officer,Common Stock,non-derivative,S,D,3829,23.40,54124,0002137803-26-000006
2026-09-03,2026-09-01,Amara Carmen,Officer; Chief People Officer,Common Stock,non-derivative,S,D,500,22.14,100536,0001919747-26-000013
