panel,argmax,t_pair_rank2,n_years,n_moved,move_rate,movers
U56,c0.1/g1.00,2.0603209977299985,8,2,0.25,2011->c0.2/g1.00;2013->NOGATE/g1.00
B136,NOGATE/g1.00,11.486009655697366,8,4,0.5,2010->c0.1/g1.00;2012->c0.1/g1.00;2015->c0.1/g1.00;2016->c0.1/g1.00
SMALL,c0.15/g1.00,2.035611527397424,6,4,0.6666666666666666,2011->NOGATE/g0.05;2012->c0.1/g1.00;2013->NOGATE/g1.00;2015->NOGATE/g1.00
