panel,deleted,n_deleted,best,best_obj
U56,NONE,0,c0.1/g1.00,1.1459988193705315
U56,2009,245,c0.1/g1.00,1.0414479934121084
U56,2010,252,c0.1/g1.00,1.191996917210711
U56,2011,252,c0.2/g1.00,1.3862957722992781
U56,2012,250,c0.1/g1.00,1.2025358646759994
U56,2013,252,NOGATE/g1.00,0.9854221562957378
U56,2014,252,c0.1/g1.00,1.1329991481328487
U56,2015,252,c0.1/g1.00,1.1920286623826952
U56,2016,252,c0.1/g1.00,1.1531048559448975
B136,NONE,0,NOGATE/g1.00,1.1483987254282337
B136,2009,245,NOGATE/g1.00,1.083210847798607
B136,2010,252,c0.1/g1.00,1.2129791921064623
B136,2011,252,NOGATE/g1.00,1.3170514031605394
B136,2012,250,c0.1/g1.00,1.1860599320187621
B136,2013,252,NOGATE/g1.00,0.999414445730994
B136,2014,252,NOGATE/g1.00,1.136015002440254
B136,2015,252,c0.1/g1.00,1.2481902337550361
B136,2016,252,c0.1/g1.00,1.1553618284528313
SMALL,NONE,0,c0.15/g1.00,1.0095265728974452
SMALL,2011,244,NOGATE/g0.05,1.3753760023910664
SMALL,2012,250,c0.1/g1.00,1.0387410781348316
SMALL,2013,252,NOGATE/g1.00,0.6639623738345433
SMALL,2014,252,c0.15/g1.00,1.1313388405745421
SMALL,2015,252,NOGATE/g1.00,1.1864369727037878
SMALL,2016,252,c0.15/g1.00,0.8597696157853446
