panel,argmax,plateau_n,of,gross_lo,gross_hi,n_bands,IS_lo,IS_hi,OOS_Sharpe_lo,OOS_Sharpe_hi,OOS_Sharpe_spread,OOS_CAGR_lo,OOS_CAGR_hi,OOS_MaxDD_lo,OOS_MaxDD_hi,n_4b_oos,n_4a_oos
U56,c0.1/g1.00,59,200,0.05,1.0,4,1.0985675874930085,1.1459988193705315,1.1216996819221718,1.1940003173604503,0.07230063543827847,0.00582773729697994,0.18276249214810947,-0.2917898169192257,-0.00837100512449529,7,0
B136,NOGATE/g1.00,161,200,0.05,1.0,9,1.0528134015700596,1.1483987254282337,1.0329903040744273,1.1247361965601121,0.09174589248568488,0.005134409932732398,0.1826875549224829,-0.3272153855796245,-0.008387997813233405,3,28
SMALL,c0.15/g1.00,81,200,0.05,1.0,5,0.9525029826629499,1.0095265728974452,0.5741831381298129,0.6149404479081169,0.04075730977830394,0.0027811166593305625,0.11476647820445995,-0.44381431847238584,-0.010285137759506124,0,27
