filing_date,transaction_date,owner,relationship,security,table,code,acquired_disposed,shares,price,shares_owned_after,accession
2025-10-02,2025-09-30,Guillot Rolando,Officer; SVP & COO,"Common Stock, par value $0.01 per share",non-derivative,F,D,1359,0,4182,0001193125-25-228734
2025-10-17,2025-10-15,Anversa Matteo,Director,"Common Stock, par value $0.01 per share",non-derivative,A,A,1243,68.38,3450,0001193125-25-242608
2025-10-17,2025-10-15,Chang Tina M,Director,"Common Stock, par value $0.01 per share",non-derivative,A,A,1243,68.38,8998,0001193125-25-242612
2025-10-17,2025-10-15,FLORSHEIM THOMAS W JR,Director,"Common Stock, par value $0.01 per share",non-derivative,A,A,1243,68.38,19698,0001193125-25-242609
2025-10-17,2025-10-15,LIEBAU FREDERIC JACK JR,Director,"Common Stock, par value $0.01 per share",non-derivative,A,A,1243,68.38,6748,0001193125-25-242613
2025-10-17,2025-10-15,LISMAN BRUCE M,Director,"Common Stock, par value $0.01 per share",non-derivative,A,A,1243,68.38,9748,0001193125-25-242610
2025-10-28,2025-10-25,Slater Jennifer Lynn,Director; Officer; President & CEO,"Common Stock, par value $0.01 per share",non-derivative,F,D,2645,0,56326,0001193125-25-253923
2026-01-08,2025-11-13,Pauli Matthew,Officer; SVP & CFO,"Common Stock, par value $0.01 per share",non-derivative,F,D,814,0,7893,0001193125-26-007868
2025-11-19,2025-11-17,Messina Richard P,Officer; VP & Chief Technical Officer,"Common Stock, par value $0.01 per share",non-derivative,S,D,3000,66.35,11624,0001193125-25-288276
2026-05-14,2026-05-12,LIEBAU FREDERIC JACK JR,Director,"Common Stock, par value $0.01 per share",non-derivative,P,A,1000,61.37,7748,0001193125-26-224186
2026-05-14,2026-05-12,Pauli Matthew,Officer; SVP & CFO,"Common Stock, par value $0.01 per share",non-derivative,P,A,2000,62.53,2000,0001193125-26-224325
2026-05-14,2026-05-12,Slater Jennifer Lynn,Director; Officer; President & CEO,"Common Stock, par value $0.01 per share",non-derivative,P,A,797.28,62.71,57123.28,0001193125-26-224324
2026-05-14,2026-05-13,Slater Jennifer Lynn,Director; Officer; President & CEO,"Common Stock, par value $0.01 per share",non-derivative,P,A,800.56,62.46,57923.86,0001193125-26-224324
2026-07-06,2026-07-01,Slater Jennifer Lynn,Director; Officer; President & CEO,"Common Stock, par value $0.01 per share",non-derivative,F,D,5931,0,51993,0001193125-26-296385
2026-08-25,2026-08-22,Becker-Varto Chey,Officer; SVP & Chief Commercial Officer,"Common Stock, par value $0.01 per share",non-derivative,F,D,248,0,1456,0002044927-26-000005
2026-08-25,2026-08-22,Pauli Matthew,Officer; SVP & CFO,"Common Stock, par value $0.01 per share",non-derivative,F,D,551,0,7342,0001495791-26-000005
2026-08-25,2026-08-22,Slater Jennifer Lynn,Director; Officer; President & CEO,"Common Stock, par value $0.01 per share",non-derivative,F,D,1594,0,50399,0001872111-26-000007
2026-09-03,2026-09-01,Becker-Varto Chey,Officer; SVP & Chief Commercial Officer,"Common Stock, par value $0.01 per share",non-derivative,A,A,1498,0,2954,0002044927-26-000009
2026-09-03,2026-09-01,Becker-Varto Chey,Officer; SVP & Chief Commercial Officer,Performance Restricted Stock Units,derivative,A,A,1498,0,3202,0002044927-26-000009
2026-09-03,2026-09-01,Denis James,"Officer; VP, General Counsel, Secretary","Common Stock, par value $0.01 per share",non-derivative,A,A,1721,0,1721,0001946085-26-000008
2026-09-03,2026-09-01,Denis James,"Officer; VP, General Counsel, Secretary",Performance Restricted Stock Units,derivative,A,A,1721,0,1721,0001946085-26-000008
2026-09-03,2026-09-01,Pauli Matthew,Officer; SVP & CFO,"Common Stock, par value $0.01 per share",non-derivative,A,A,3090,0,10432,0001495791-26-000009
2026-09-03,2026-09-01,Pauli Matthew,Officer; SVP & CFO,Performance Restricted Stock Units,derivative,A,A,3090,0,6606,0001495791-26-000009
2026-09-03,2026-09-01,Slater Jennifer Lynn,Director; Officer; President & CEO,"Common Stock, par value $0.01 per share",non-derivative,A,A,9296,0,59695,0001872111-26-000011
2026-09-03,2026-09-01,Slater Jennifer Lynn,Director; Officer; President & CEO,Performance Restricted Stock Units,derivative,A,A,9296,0,36344,0001872111-26-000011
