ticker,filing_date,trans_date,owner_cik,owner_name,relationship,shares,price,accession,source,value
AAPL,2012-11-20,2012-11-19,0001207394,IGER ROBERT A,Director,600.0,562.13,0001127602-12-031755,sec_dataset,337278.0
AAPL,2012-11-20,2012-11-19,0001207394,IGER ROBERT A,Director,180.0,565.08,0001127602-12-031755,sec_dataset,101714.40000000001
AAPL,2012-11-20,2012-11-19,0001207394,IGER ROBERT A,Director,600.0,564.26,0001127602-12-031755,sec_dataset,338556.0
AAPL,2012-11-20,2012-11-19,0001207394,IGER ROBERT A,Director,400.0,563.05,0001127602-12-031755,sec_dataset,225219.99999999997
AAPL,2015-07-28,2015-07-24,0001059235,WAGNER SUSAN,Director,100.0,124.27,0000899243-15-001800,sec_dataset,12427.0
AAPL,2015-07-28,2015-07-24,0001059235,WAGNER SUSAN,Director,100.0,124.34,0000899243-15-001800,sec_dataset,12434.0
AAPL,2015-07-28,2015-07-24,0001059235,WAGNER SUSAN,Director,100.0,124.33,0000899243-15-001800,sec_dataset,12433.0
AAPL,2015-07-28,2015-07-24,0001059235,WAGNER SUSAN,Director,1500.0,124.12,0000899243-15-001800,sec_dataset,186180.0
AAPL,2015-07-28,2015-07-27,0001059235,WAGNER SUSAN,Director,2000.0,122.9,0000899243-15-001800,sec_dataset,245800.0
ABBV,2013-02-06,2013-02-04,0001223690,WADDELL FREDERICK H,Director,2000.0,37.05,0001179110-13-002024,sec_dataset,74100.0
ABBV,2013-03-12,2013-03-11,0001171780,RAPP EDWARD J,Director,600.0,37.67,0001179110-13-004967,sec_dataset,22602.0
ABBV,2013-03-12,2013-03-11,0001171780,RAPP EDWARD J,Director,1200.0,37.67,0001179110-13-004967,sec_dataset,45204.0
ABBV,2017-08-02,2017-07-31,0001171780,RAPP EDWARD J,Director,4000.0,70.45,0001179110-17-010981,sec_dataset,281800.0
ABBV,2018-06-22,2018-06-20,0001171780,RAPP EDWARD J,Director,1013.0,98.63,0001179110-18-008967,sec_dataset,99912.19
ABBV,2018-06-29,2018-06-27,0001194624,TILTON GLENN F,Director,5400.0,91.9,0001179110-18-009131,sec_dataset,496260.00000000006
ABBV,2019-06-28,2019-06-26,0001061632,AUSTIN ROXANNE S,Director,11500.0,67.5,0001179110-19-008214,sec_dataset,776250.0
ABBV,2019-06-28,2019-06-26,0001171780,RAPP EDWARD J,Director,7500.0,67.3,0001179110-19-008216,sec_dataset,504750.0
ABBV,2019-06-28,2019-06-26,0001563572,CHASE WILLIAM J,Officer,30400.0,67.3,0001179110-19-008215,sec_dataset,2045920.0
ABBV,2019-07-31,2019-07-29,0001659625,Gosebruch Henry O,Officer,30000.0,67.28,0001179110-19-008937,sec_dataset,2018400.0
ABBV,2019-07-31,2019-07-30,0001061632,AUSTIN ROXANNE S,Director,10000.0,66.35,0001179110-19-008938,sec_dataset,663500.0
ABBV,2019-08-02,2019-07-31,0001061632,AUSTIN ROXANNE S,Director,30000.0,66.02,0001179110-19-009037,sec_dataset,1980599.9999999998
ABBV,2019-08-02,2019-08-01,0001061632,AUSTIN ROXANNE S,Director,25000.0,65.66,0001179110-19-009037,sec_dataset,1641500.0
ABBV,2019-08-20,2019-08-16,0001761675,Stewart Jeffrey Ryan,Officer,15552.0,64.44,0001179110-19-009703,sec_dataset,1002170.88
ABBV,2019-08-30,2019-08-29,0001762951,Donoghoe Nicholas,Officer,7525.0,66.19,0001179110-19-009960,sec_dataset,498079.75
ABBV,2019-09-18,2019-09-16,0001319245,Schumacher Laura J,Officer,25000.0,70.42,0001179110-19-010451,sec_dataset,1760500.0
ABBV,2020-03-04,2020-03-03,0001171780,RAPP EDWARD J,Director,2875.0,87.87,0001179110-20-003102,sec_dataset,252626.25
ABBV,2020-03-20,2020-03-18,0001756865,Durkin Brian L,Officer,2200.0,68.18,0001179110-20-004028,sec_dataset,149996.00000000003
ABBV,2020-03-20,2020-03-20,0001756865,Durkin Brian L,Officer,800.0,67.5,0001179110-20-004028,sec_dataset,54000.0
ABBV,2020-03-20,2020-03-20,0001756865,Durkin Brian L,Officer,750.0,69.0,0001179110-20-004036,sec_dataset,51750.0
ABBV,2020-04-24,2020-03-20,0001756865,Durkin Brian L,Officer,1550.0,69.0,0001179110-20-005097,sec_dataset,106950.0
ABBV,2020-03-20,2020-03-30,0001756865,Durkin Brian L,Officer,750.0,69.0,0001179110-20-004028,sec_dataset,51750.0
ABT,2013-02-04,2013-02-01,0001171797,OSBORN WILLIAM A,Director,650.0,33.86,0001179110-13-001807,sec_dataset,22009.0
ABT,2013-02-04,2013-02-01,0001171797,OSBORN WILLIAM A,Director,4400.0,33.87,0001179110-13-001807,sec_dataset,149028.0
ABT,2013-02-04,2013-02-01,0001171797,OSBORN WILLIAM A,Director,1300.0,33.88,0001179110-13-001807,sec_dataset,44044.0
ABT,2013-02-04,2013-02-01,0001171797,OSBORN WILLIAM A,Director,2750.0,33.83,0001179110-13-001807,sec_dataset,93032.5
ABT,2013-02-04,2013-02-01,0001171797,OSBORN WILLIAM A,Director,800.0,33.84,0001179110-13-001807,sec_dataset,27072.000000000004
ABT,2016-07-27,2016-07-25,0001239129,WHITE MILES D,"Director,Officer",35664.0,43.08,0001179110-16-027933,sec_dataset,1536405.1199999999
ABT,2016-07-27,2016-07-25,0001239129,WHITE MILES D,"Director,Officer",12600.0,43.19,0001179110-16-027933,sec_dataset,544194.0
ABT,2016-07-27,2016-07-25,0001239129,WHITE MILES D,"Director,Officer",3220.0,43.15,0001179110-16-027933,sec_dataset,138943.0
ABT,2016-07-27,2016-07-25,0001239129,WHITE MILES D,"Director,Officer",1800.0,43.19,0001179110-16-027933,sec_dataset,77742.0
ABT,2016-07-27,2016-07-25,0001239129,WHITE MILES D,"Director,Officer",2100.0,43.16,0001179110-16-027933,sec_dataset,90636.0
ABT,2016-07-27,2016-07-25,0001239129,WHITE MILES D,"Director,Officer",8700.0,43.15,0001179110-16-027933,sec_dataset,375405.0
ABT,2016-07-27,2016-07-25,0001239129,WHITE MILES D,"Director,Officer",1900.0,43.12,0001179110-16-027933,sec_dataset,81928.0
ABT,2016-07-27,2016-07-25,0001239129,WHITE MILES D,"Director,Officer",7080.0,43.18,0001179110-16-027933,sec_dataset,305714.4
ABT,2016-07-27,2016-07-25,0001239129,WHITE MILES D,"Director,Officer",3504.0,43.23,0001179110-16-027933,sec_dataset,151477.91999999998
ABT,2016-07-27,2016-07-25,0001239129,WHITE MILES D,"Director,Officer",9100.0,43.24,0001179110-16-027933,sec_dataset,393484.0
ABT,2016-07-27,2016-07-25,0001239129,WHITE MILES D,"Director,Officer",9198.0,43.27,0001179110-16-027933,sec_dataset,397997.46
