cik,name,ticker,ticker_src,exchange,filing_date,year,n_amendments,last_amendment,amend_only,cert_date,form8a_date,first_8k_date,first_8k_items,form25_date,est_dist_date,est_dist_src,sic,sic_desc,inc_state,entity_type,n_filings,last_filing,accession,display_name
1623595,"Atlas Energy Group, LLC",,,,2015-01-07,2015,3,2015-01-30,True,,,2015-02-09,"8.01,9.01",2016-04-04,2015-02-09,first_8k,1311,Crude Petroleum & Natural Gas,DE,operating,264,2019-01-29,0001193125-15-028074,"Atlas Energy Group, LLC  (CIK 0001623595)"
1620393,"NexPoint Residential Trust, Inc.",NXRT,submissions,NYSE,2015-01-09,2015,3,2015-03-12,True,2025-08-18,2025-08-18,2015-03-19,"7.01,9.01",,2025-08-18,cert,6798,Real Estate Investment Trusts,MD,operating,693,2026-08-07,0001193125-15-087874,"NexPoint Residential Trust, Inc.  (NXRT)  (CIK 0001620393)"
1616000,"Xenia Hotels & Resorts, Inc.",XHR,submissions,NYSE,2015-01-09,2015,1,2015-01-09,True,,,2015-01-23,"1.01,5.02,7.01,8.01,9.01",,2015-01-23,first_8k,7011,Hotels & Motels,,operating,581,2026-08-13,0001193125-15-006255,"Xenia Hotels & Resorts, Inc.  (XHR)  (CIK 0001616000)"
1616318,Vista Outdoor Inc.,VSTO,fts_name,,2015-01-16,2015,1,2015-01-16,True,,,2015-01-28,"2.02,9.01",2024-11-27,2015-01-28,first_8k,3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",DE,operating,848,2025-02-14,0001047469-15-000277,Vista Outdoor Inc.  (VSTO)  (CIK 0001616318)
1630391,VW WIN CENTURY INC.,,,,2015-01-21,2015,0,,False,,,2016-07-07,"1.01,3.03,5.03,5.07,9.01",,2016-07-07,first_8k,,Household Appliances,IL,operating,43,2019-11-05,0001019687-15-000267,"FlexFridge, Inc.  (CIK 0001630391)"
1620546,Baxalta Inc,,,,2015-01-26,2015,5,2015-06-05,True,,2015-06-30,2015-06-23,"1.01,2.03,8.01,9.01",2016-06-03,2015-06-30,form8a,2834,Pharmaceutical Preparations,DE,operating,282,2019-02-07,0001193125-15-020480,Baxalta Inc  (CIK 0001620546)
1629995,"Columbia Pipeline Group, Inc.",,,,2015-02-06,2015,5,2015-06-02,False,,,2015-06-05,"5.04,9.01",2016-07-01,2015-06-05,first_8k,,Natural Gas Transmission,DE,operating,193,2017-02-27,0001193125-15-037359,"Columbia Pipeline Group, Inc.  (CIK 0001629995)"
1632790,"ENERGIZER HOLDINGS, INC.",ENR,submissions,NYSE,2015-02-06,2015,3,2015-05-27,False,2019-01-18,2019-01-18,2015-06-02,"1.01,2.03,9.01",2022-01-18,2019-01-18,cert,,"Miscellaneous Electrical Machinery, Equipment & Supplies",MO,operating,908,2026-08-18,0001193125-15-036320,"Energizer SpinCo, Inc.  (ENR)  (CIK 0001632790)"
1620280,Uniti Group LLC,UNIT,fts_name,,2015-02-10,2015,3,2015-03-25,True,,,2015-03-26,"1.01,7.01,8.01,9.01",,2015-03-26,first_8k,6798,Real Estate Investment Trusts,MD,operating,674,2026-03-26,0001193125-15-104011,"COMMUNICATIONS SALES & LEASING, INC.  (UNIT)  (CIK 0001620280)"
1627223,Chemours Co,CC,submissions,NYSE,2015-02-12,2015,4,2015-06-05,True,,,2015-06-18,"7.01,9.01",,2015-06-18,first_8k,2800,Chemicals & Allied Products,DE,operating,997,2026-08-13,0001193125-15-046739,"Chemours Company, LLC  (CC)  (CIK 0001627223)"
1633430,"Gaia International, Inc.",,,,2015-02-20,2015,3,2016-02-17,False,,,,,,,,,Services-Video Tape Rental,CO,other,9,2022-01-06,0001193125-15-056528,"Gaia, Inc.  (CIK 0001633430)"
1633917,"PayPal Holdings, Inc.",PYPL,submissions,Nasdaq,2015-02-25,2015,5,2015-06-26,False,,,2015-07-01,"7.01,9.01",,2015-07-01,first_8k,,"Services-Business Services, NEC",DE,operating,1216,2026-09-03,0001193125-15-062742,"PayPal Holdings, Inc.  (PYPL)  (CIK 0001633917)"
104918,AVISTA CORP,AVA,submissions,NYSE,2015-02-26,2015,2,2019-05-07,True,,,2015-03-03,"7.01,9.01",,2015-03-03,first_8k,4931,Electric & Other Services Combined,WA,operating,2745,2026-09-02,0000104918-15-000047,AVISTA CORP  (AVA)  (CIK 0000104918)
1633978,Lumentum Holdings Inc.,LITE,submissions,Nasdaq,2015-02-26,2015,5,2015-07-14,False,,,2015-08-03,"5.03,9.01",,2015-08-03,first_8k,,"Communications Equipment, NEC",DE,operating,1263,2026-09-03,0001193125-15-065822,Lumentum Holdings Inc.  (LITE)  (CIK 0001633978)
1632127,"Cable One, Inc.",CABO,submissions,NYSE,2015-02-27,2015,4,2015-06-04,False,,,2015-06-11,"5.02,5.03,9.01",,2015-06-11,first_8k,,Cable & Other Pay Television Services,DE,operating,876,2026-09-02,0001193125-15-070297,"Cable One, Inc.  (CABO)  (CIK 0001632127)"
1626115,PJT Partners Inc.,PJT,submissions,NYSE,2015-03-04,2015,4,2015-09-03,False,,,2015-09-17,"7.01,9.01",2018-10-09,2015-09-17,first_8k,,Investment Advice,DE,operating,838,2026-08-21,0001193125-15-076873,PJT Partners Inc.  (PJT)  (CIK 0001626115)
1633931,"QXO Insulation, LLC",BLD,fts_name,,2015-03-04,2015,3,2015-06-08,False,,,2015-07-06,"1.01,2.01,5.01,5.02,5.03,8.01,9.01",2026-07-01,2015-07-06,first_8k,,Construction - Special Trade Contractors,DE,operating,749,2026-08-14,0001047469-15-001643,Masco SpinCo Corp.  (BLD)  (CIK 0001633931)
1635718,Gannett Media Corp.,,,,2015-03-12,2015,4,2015-06-12,False,,,2015-06-18,"5.04,9.01",2019-11-20,2015-06-18,first_8k,,Newspapers: Publishing or  Publishing & Printing,DE,operating,667,2020-01-02,0001047469-15-002032,"Gannett SpinCo, Inc.  (CIK 0001635718)"
1635881,Exterran Corp,,,,2015-03-13,2015,7,2015-10-20,False,,,2015-10-26,"2.02,7.01,9.01",2022-10-13,2015-10-26,first_8k,,"Services-Equipment Rental & Leasing, NEC",DE,operating,503,2023-02-10,0001047469-15-002191,"Exterran SpinCo, Inc.  (CIK 0001635881)"
1406587,Forestar Group Inc.,FOR,submissions,NYSE,2015-03-13,2015,1,2015-03-13,True,2025-06-30,2017-01-05,2015-03-13,"1.01,1.02,3.03,5.03,8.01,9.01",2015-03-25,2025-06-30,cert,6500,Real Estate,DE,operating,1555,2026-08-19,0001104659-15-019626,Forestar Group Inc.  (FOR)  (CIK 0001406587)
1630805,"Babcock & Wilcox Enterprises, Inc.",BW,submissions,NYSE,2015-03-16,2015,4,2015-06-09,False,2021-02-16,2021-02-12,2015-06-17,"7.01,9.01",2025-12-05,2021-02-16,cert,,"Heating Equipment, Except Electric & Warm Air Furnaces",DE,operating,1123,2026-08-20,0001193125-15-092397,"Babcock & Wilcox Enterprises, Inc.  (BW, BWNB, BWSN, BW-PA)  (CIK 0001630805)"
1359841,Hanesbrands Inc.,HBI,fts_name,,2015-03-27,2015,2,2015-11-02,True,,,2015-03-27,"1.01,3.03,9.01",2015-11-12,2015-03-27,first_8k,5600,Retail-Apparel & Accessory Stores,MD,operating,2068,2026-02-12,0001359841-15-000079,Hanesbrands Inc.  (HBI)  (CIK 0001359841)
1109067,"MOVIE STUDIO, INC.",,,,2015-03-27,2015,0,,False,,,2015-08-25,5.03,,2015-08-25,first_8k,7812,Services-Motion Picture & Video Tape Production,DE,operating,217,2019-08-16,0001570931-15-000011,"MOVIE STUDIO, INC.  (CIK 0001109067)"
1636519,Madison Square Garden Sports Corp.,MSGS,submissions,NYSE,2015-03-27,2015,6,2015-09-11,False,,,2015-09-21,"5.02,8.01,9.01",,2015-09-21,first_8k,,Services-Miscellaneous Amusement & Recreation,DE,operating,810,2026-08-28,0001193125-15-109364,"MSG SPINCO, INC.  (MSGS)  (CIK 0001636519)"
1631129,"ASB Hawaii, Inc.",,,,2015-03-30,2015,2,2016-05-04,False,,,,,,,,,"Savings Institution, Federally Chartered",HI,other,4,2018-01-09,0001631129-15-000003,"ASB Hawaii, Inc.  (CIK 0001631129)"
1637761,SeaSpine Holdings Corp,,,,2015-04-01,2015,3,2015-06-09,False,,,2015-06-19,5.02,2023-01-05,2015-06-19,first_8k,,Surgical & Medical Instruments & Apparatus,DE,operating,629,2023-04-03,0001193125-15-116210,SeaSpine Holdings Corp  (CIK 0001637761)
1639947,"Care Capital Properties, Inc.",,,,2015-04-23,2015,3,2015-07-30,False,,,2015-07-31,"7.01,9.01",2017-08-17,2015-07-31,first_8k,,Real Estate Investment Trusts,,operating,233,2018-02-06,0001047469-15-003843,"Care Capital Properties, Inc.  (CIK 0001639947)"
1211805,"My Size, Inc.",MYSZ,submissions,Nasdaq,2015-05-01,2015,1,2015-08-18,False,,2015-07-27,2015-09-16,8.01,,2015-07-27,form8a,3845,Services-Prepackaged Software,DE,operating,609,2026-08-28,0001144204-15-026774,Mysize Inc.  (MYSZ)  (CIK 0001211805)
1642122,"Associated Capital Group, Inc.",ACGP,company_tickers,,2015-05-12,2015,6,2015-10-30,False,,,2015-11-25,"5.03,9.01",2025-08-25,2015-11-25,first_8k,,"Security Brokers, Dealers & Flotation Companies",DE,operating,533,2026-03-03,0001047469-15-004684,"Gabelli Securities Group, Inc.  (AC)  (CIK 0001642122)"
1641991,"SPX FLOW, Inc.",,,,2015-05-14,2015,3,2015-09-08,False,,,2015-09-28,"1.01,2.03,3.03,5.01,5.02,5.03,5.07,8.01,9.01",2022-04-05,2015-09-28,first_8k,,Metalworkg Machinery & Equipment,DE,operating,578,2022-05-02,0001047469-15-004769,"SPX FLOW, Inc.  (CIK 0001641991)"
1644949,"Vistana Signature Experiences, Inc.",,,,2015-06-16,2015,2,2015-09-22,False,,,2016-04-19,"1.01,8.01,9.01",,2016-04-19,first_8k,,Hotels & Motels,DE,other,46,2020-07-09,0001193125-15-223962,"Vistana Signature Experiences, Inc.  (CIK 0001644949)"
1624794,"CSW INDUSTRIALS, INC.",CSW,submissions,NYSE,2015-06-17,2015,4,2015-09-09,False,2025-06-04,2025-06-02,2015-09-16,"7.01,9.01",2025-06-06,2025-06-04,cert,,Adhesives & Sealants,DE,operating,790,2026-08-31,0001193125-15-224971,"CSW INDUSTRIALS, INC.  (CSWI)  (CIK 0001624794)"
1644889,ARMADA ENTERPRISES LP,,,,2015-06-22,2015,1,2015-06-26,False,,,2016-06-24,5.01,,2016-06-24,first_8k,,Blank Checks,DE,operating,60,2021-08-11,0001644889-15-000003,"BIM HOMES, INC.  (CIK 0001644889)"
1617227,"J. Alexander's Holdings, Inc.",,,,2015-06-25,2015,2,2015-09-09,False,,,2015-09-17,"1.01,5.02,5.03,5.05,7.01,9.01",2021-09-30,2015-09-17,first_8k,5812,Retail-Eating  Places,TN,operating,365,2022-02-14,0001193125-15-233723,"J. Alexander's Holdings, Inc.  (CIK 0001617227)"
1031235,"Global Self Storage, Inc.",SELF,submissions,Nasdaq,2015-06-30,2015,5,2018-03-28,False,,2016-01-29,2016-01-22,"3.01,5.02,5.03,7.01,9.01",,2016-01-29,form8a,,Real Estate Investment Trusts,MD,investment,765,2026-08-26,0001031235-15-000013,"Self Storage Group, Inc.  (SELF)  (CIK 0001031235)"
1645590,Hewlett Packard Enterprise Co,HPE,submissions,NYSE,2015-07-01,2015,5,2015-10-07,False,2024-09-16,2024-09-13,2015-10-13,"1.01,2.03,7.01,9.01",,2024-09-16,cert,,Computer & office Equipment,DE,operating,1681,2026-09-03,0001193125-15-243056,Hewlett Packard Enterprise Co  (HPE)  (CIK 0001645590)
1646383,CSRA Inc.,,,,2015-07-10,2015,6,2015-11-06,False,,,2015-11-19,"5.02,5.03,9.01",2018-04-04,2015-11-19,first_8k,,Services-Computer Integrated Systems Design,NV,operating,432,2018-05-10,0001646383-15-000005,Computer Sciences Government Services Inc.  (CIK 0001646383)
1648893,Nuvectra Corp,,,,2015-07-30,2015,5,2016-02-24,False,,,2016-03-18,"1.01,2.03,3.02,5.01,5.02,5.05,8.01,9.01",2019-12-17,2016-03-18,first_8k,,Surgical & Medical Instruments & Apparatus,DE,operating,399,2021-02-16,0001193125-15-269498,"QIG GROUP, LLC  (CIK 0001648893)"
1644440,GCP Applied Technologies Inc.,,,,2015-08-05,2015,7,2016-01-14,False,2019-06-18,2019-03-15,2016-01-20,"2.02,9.01",2022-09-27,2019-06-18,cert,,Chemicals & Allied Products,DE,operating,575,2022-10-07,0001644440-15-000004,GCP Applied Technologies Inc.  (CIK 0001644440)
1650132,"Four Corners Property Trust, Inc.",FCPT,submissions,NYSE,2015-08-11,2015,5,2015-10-21,False,,,2015-10-21,"1.01,8.01,9.01",,2015-10-21,first_8k,,Real Estate Investment Trusts,MD,operating,997,2026-08-19,0001650132-15-000004,"Four Corners Property Trust, Inc.  (FCPT)  (CIK 0001650132)"
1650962,"Welbilt, Inc.",,,,2015-09-01,2015,8,2016-02-10,False,,,2016-02-18,"7.01,9.01",2022-07-29,2016-02-18,first_8k,,Refrigeration & Service Industry Machinery,DE,operating,570,2022-08-08,0001650962-15-000007,"Manitowoc Foodservice, Inc.  (CIK 0001650962)"
1650445,Quorum Health Corp,,,,2015-09-04,2015,6,2016-04-01,False,,,2016-04-08,"8.01,9.01",2020-04-22,2016-04-08,first_8k,,"Services-General Medical & Surgical Hospitals, NEC",DE,operating,305,2020-07-10,0001193125-15-313062,Quorum Health Corp  (CIK 0001650445)
1653821,CEN BIOTECH INC,,,,2015-09-23,2015,1,2015-11-05,False,,,2016-06-08,"7.01,9.01",,2016-06-08,first_8k,,Pharmaceutical Preparations,Z4,operating,189,2023-04-12,0001078782-15-001519,CEN BIOTECH INC  (CIK 0001653821)
1634519,"American Capital Income, Ltd.",,,,2015-09-30,2015,0,,False,,,,,,,,,,MD,other,2,2015-09-30,0001634519-15-000005,"American Capital Income, Ltd.  (CIK 0001634519)"
1653477,Ingevity Corp,NGVT,submissions,NYSE,2015-10-06,2015,7,2016-04-25,False,,,2016-04-26,"2.02,7.01,9.01",,2016-04-26,first_8k,,Chemicals & Allied Products,DE,operating,656,2026-08-18,0001571049-15-008105,Ingevity Corp  (NGVT)  (CIK 0001653477)
1655075,"Armstrong Flooring, Inc.",AFIIQ,fts_name,,2015-10-08,2015,4,2016-03-11,False,,,2016-03-15,"1.01,8.01,9.01",2022-05-23,2016-03-15,first_8k,,"Plastics Products, NEC",PA,operating,396,2022-10-06,0001193125-15-339924,"Armstrong Flooring, Inc.  (AFIIQ)  (CIK 0001655075)"
1646775,"Aabaco Holdings, Inc.",,,,2015-11-16,2015,0,,False,,,,,,,,,,DE,other,5,2015-11-16,0001193125-15-378561,"Aabaco Holdings, Inc.  (CIK 0001646775)"
1642380,Insight Molecular Diagnostics Inc.,IMDX,submissions,Nasdaq,2015-11-23,2015,2,2015-12-29,False,2021-03-05,2021-03-01,2016-01-04,"8.01,9.01",2021-03-05,2021-03-05,cert,2835,In Vitro & In Vivo Diagnostic Substances,CA,operating,687,2026-08-10,0001140361-15-042557,OncoCyte Corp  (OCX)  (CIK 0001642380)
1659166,Fortive Corp,FTV,submissions,NYSE,2015-12-03,2015,3,2016-05-05,False,2018-07-02,2018-06-29,2016-06-01,"1.01,5.02,8.01,9.01",2021-07-02,2018-07-02,cert,,"Industrial Instruments For Measurement, Display, and Control",DE,operating,1426,2026-08-11,0001193125-15-394365,Fortive Corp  (FTV)  (CIK 0001659166)
828146,INTERLINK ELECTRONICS INC,LINK,submissions,Nasdaq,2015-12-14,2015,2,2016-02-05,False,2021-03-24,2016-04-19,2016-05-12,5.02,2019-02-04,2021-03-24,cert,3577,"Computer Peripheral Equipment, NEC",NV,operating,638,2026-08-13,0001104659-15-084464,INTERLINK ELECTRONICS INC  (LINK)  (CIK 0000828146)
1660690,"Versum Materials, Inc.",,,,2015-12-18,2015,5,2016-09-12,False,2019-03-08,2019-02-28,2016-09-15,"7.01,9.01",2019-04-04,2019-03-08,cert,,Miscellaneous Chemical Products,DE,operating,518,2020-02-10,0001193125-15-407731,"Versum Materials, LLC  (CIK 0001660690)"
