ticker,filing_date,accession
AAPL,2012-01-24,0001193125-12-021833
AAPL,2012-04-24,0001193125-12-178928
AAPL,2012-07-24,0001193125-12-312355
AAPL,2012-10-25,0001193125-12-435506
AAPL,2013-01-23,0001193125-13-020783
AAPL,2013-04-23,0001193125-13-167458
AAPL,2013-07-23,0001193125-13-298914
AAPL,2013-10-28,0001193125-13-413498
AAPL,2014-01-27,0001193125-14-022238
AAPL,2014-04-23,0001193125-14-154871
AAPL,2014-07-22,0001193125-14-275598
AAPL,2014-10-20,0001193125-14-376361
AAPL,2015-01-27,0001193125-15-021857
AAPL,2015-04-27,0001193125-15-149590
AAPL,2015-07-21,0001193125-15-258464
AAPL,2015-10-27,0001193125-15-354756
AAPL,2016-01-26,0001193125-16-438421
AAPL,2016-04-26,0001193125-16-556520
AAPL,2016-07-26,0001628280-16-017762
AAPL,2016-10-25,0001628280-16-020258
AAPL,2017-01-31,0001628280-17-000663
AAPL,2017-05-02,0001628280-17-004663
AAPL,2017-08-01,0000320193-17-000006
AAPL,2017-11-02,0000320193-17-000067
AAPL,2018-02-01,0000320193-18-000005
AAPL,2018-05-01,0000320193-18-000067
AAPL,2018-07-31,0000320193-18-000098
AAPL,2018-11-01,0000320193-18-000142
AAPL,2019-01-02,0000320193-19-000002
AAPL,2019-01-29,0000320193-19-000007
AAPL,2019-04-30,0000320193-19-000063
AAPL,2019-07-30,0000320193-19-000073
AAPL,2019-10-30,0000320193-19-000117
AAPL,2020-01-28,0000320193-20-000008
AAPL,2020-04-30,0000320193-20-000050
AAPL,2020-07-30,0000320193-20-000060
AAPL,2020-10-29,0000320193-20-000094
AAPL,2021-01-27,0000320193-21-000009
AAPL,2021-04-28,0000320193-21-000055
AAPL,2021-07-27,0000320193-21-000063
AAPL,2021-10-28,0000320193-21-000104
AAPL,2022-01-27,0000320193-22-000006
AAPL,2022-04-28,0000320193-22-000058
AAPL,2022-07-28,0000320193-22-000069
AAPL,2022-10-27,0000320193-22-000107
AAPL,2023-02-02,0000320193-23-000005
AAPL,2023-05-04,0000320193-23-000063
AAPL,2023-08-03,0000320193-23-000075
AAPL,2023-11-02,0000320193-23-000104
AAPL,2024-02-01,0000320193-24-000005
AAPL,2024-05-02,0000320193-24-000067
AAPL,2024-08-01,0000320193-24-000080
AAPL,2024-10-31,0000320193-24-000120
AAPL,2025-01-30,0000320193-25-000007
AAPL,2025-05-01,0000320193-25-000055
AAPL,2025-07-31,0000320193-25-000071
AAPL,2025-10-30,0000320193-25-000077
AAPL,2026-01-29,0000320193-26-000005
AAPL,2026-04-30,0000320193-26-000011
AAPL,2026-07-30,0000320193-26-000018
ABBV,2013-04-26,0001104659-13-033255
ABBV,2013-07-26,0001104659-13-056851
ABBV,2013-10-25,0001104659-13-077819
ABBV,2014-01-31,0001104659-14-005470
ABBV,2014-04-25,0001104659-14-030209
ABBV,2014-07-25,0001104659-14-053429
ABBV,2014-10-31,0001104659-14-075412
ABBV,2015-01-30,0001104659-15-005518
ABBV,2015-04-23,0001104659-15-029533
ABBV,2015-07-24,0001104659-15-052969
ABBV,2015-10-30,0001104659-15-074329
ABBV,2016-01-29,0001104659-16-092322
ABBV,2016-04-28,0001104659-16-114898
ABBV,2016-07-29,0001104659-16-135186
ABBV,2016-10-28,0001104659-16-152752
ABBV,2017-01-27,0001104659-17-004435
ABBV,2017-04-27,0001551152-17-000008
ABBV,2017-07-28,0001551152-17-000021
ABBV,2017-10-27,0001551152-17-000032
ABBV,2018-01-26,0001551152-18-000008
ABBV,2018-04-26,0001551152-18-000020
ABBV,2018-07-27,0001551152-18-000029
ABBV,2018-11-02,0001551152-18-000038
ABBV,2019-01-25,0001551152-19-000004
ABBV,2019-04-25,0001551152-19-000012
ABBV,2019-07-26,0001551152-19-000021
ABBV,2019-11-01,0001551152-19-000026
ABBV,2020-02-07,0001551152-20-000004
ABBV,2020-05-01,0001551152-20-000010
ABBV,2020-07-29,0001104659-20-087827
ABBV,2020-07-31,0001551152-20-000019
ABBV,2020-10-30,0001551152-20-000029
ABBV,2021-02-03,0001551152-21-000003
ABBV,2021-04-30,0001551152-21-000013
ABBV,2021-07-30,0001551152-21-000021
ABBV,2021-10-29,0001551152-21-000028
ABBV,2022-02-02,0001551152-22-000003
ABBV,2022-04-21,0001104659-22-048450
ABBV,2022-04-29,0001551152-22-000012
ABBV,2022-04-29,0001551152-22-000010
ABBV,2022-07-06,0001551152-22-000023
ABBV,2022-07-29,0001551152-22-000026
ABBV,2022-10-05,0001551152-22-000034
ABBV,2022-10-28,0001551152-22-000038
ABBV,2023-01-06,0001551152-23-000004
ABBV,2023-02-09,0001551152-23-000006
ABBV,2023-04-05,0001551152-23-000015
ABBV,2023-04-27,0001551152-23-000019
ABBV,2023-07-06,0001551152-23-000026
ABBV,2023-07-27,0001551152-23-000028
ABBV,2023-10-04,0001551152-23-000036
ABBV,2023-10-27,0001551152-23-000040
ABBV,2024-01-05,0001551152-24-000002
ABBV,2024-02-02,0001551152-24-000007
ABBV,2024-04-03,0001551152-24-000013
ABBV,2024-04-26,0001551152-24-000016
ABBV,2024-07-03,0001551152-24-000024
ABBV,2024-07-25,0001551152-24-000026
ABBV,2024-10-03,0001551152-24-000033
ABBV,2024-10-30,0001551152-24-000036
ABBV,2025-01-06,0001551152-25-000002
ABBV,2025-01-31,0001551152-25-000011
ABBV,2025-04-03,0001551152-25-000023
ABBV,2025-04-25,0001551152-25-000026
ABBV,2025-07-03,0001551152-25-000034
ABBV,2025-07-31,0001551152-25-000036
ABBV,2025-10-03,0001551152-25-000043
ABBV,2025-10-31,0001551152-25-000047
ABBV,2026-01-07,0001551152-26-000002
ABBV,2026-02-04,0001551152-26-000004
ABBV,2026-04-03,0001551152-26-000011
ABBV,2026-04-29,0001551152-26-000013
ABBV,2026-07-06,0001551152-26-000021
ABBV,2026-07-31,0001551152-26-000023
