company,cik,filed,window_end,deal_filing_in_window,first_in_window,deal_filing_later,first_later,deal_before_event
"APELLIS PHARMACEUTICALS, INC.",1492422,2023-07-31,2023-10-24,False,,True,2026-03-31,False
"SHOCKWAVE MEDICAL, INC.",1642545,2023-08-07,2023-10-31,False,,True,2024-04-18,False
"CHINOOK THERAPEUTICS, INC.",1435049,2023-08-07,2023-10-31,False,,False,,True
"CHINOOK THERAPEUTICS, INC.",1435049,2023-08-07,2023-10-31,False,,False,,True
"VITAL ENERGY, INC.",1528129,2023-08-08,2023-11-01,False,,True,2025-11-12,False
"CONFLUENT, INC.",1699838,2023-11-01,2024-01-30,False,,True,2025-12-23,False
"ENGAGESMART, INC.",1863105,2023-11-02,2024-01-31,True,2023-11-20,False,,False
"ENGAGESMART, INC.",1863105,2023-11-02,2024-01-31,True,2023-11-20,False,,False
EVERI HOLDINGS INC.,1318568,2023-11-08,2024-02-06,False,,True,2024-09-16,False
EVERI HOLDINGS INC.,1318568,2023-11-08,2024-02-06,False,,True,2024-09-16,False
"REVANCE THERAPEUTICS, INC.",1479290,2023-11-08,2024-02-06,False,,True,2024-08-12,False
"LUMINAR TECHNOLOGIES, INC./DE",1758057,2023-11-09,2024-02-07,False,,False,,False
"ALTUS POWER, INC.",1828723,2023-11-13,2024-02-09,False,,True,2025-02-25,False
"DECIPHERA PHARMACEUTICALS, INC.",1654151,2024-02-07,2024-05-03,True,2024-04-30,True,2024-05-06,False
"VENTYX BIOSCIENCES, INC.",1851194,2024-02-27,2024-05-22,False,,True,2026-01-22,False
"AARON'S COMPANY, INC.",1821393,2024-02-29,2024-05-24,False,,True,2024-07-31,False
BRIDGE INVESTMENT GROUP HOLDINGS INC.,1854401,2024-03-07,2024-06-03,False,,True,2025-05-14,False
"SEMRUSH HOLDINGS, INC.",1831840,2024-03-07,2024-06-03,False,,True,2025-12-18,False
"ALPINE IMMUNE SCIENCES, INC.",1626199,2024-03-20,2024-06-14,True,2024-04-10,False,,False
"FORGE GLOBAL HOLDINGS, INC.",1827821,2024-05-07,2024-08-02,False,,True,2025-12-05,False
"FORGE GLOBAL HOLDINGS, INC.",1827821,2024-05-07,2024-08-02,False,,True,2025-12-05,False
"AGILITI, INC. DE",1749704,2024-05-07,2024-08-02,False,,False,,True
INFORMATICA INC.,1868778,2024-07-31,2024-10-24,False,,True,2025-07-03,False
"89BIO, INC.",1785173,2024-08-05,2024-10-29,False,,True,2025-09-18,False
WAG! GROUP CO.,1842356,2024-08-07,2024-10-31,False,,False,,True
"THIRD HARMONIC BIO, INC.",1923840,2024-08-08,2024-11-01,False,,False,,False
"ARCELLX, INC.",1786205,2024-08-08,2024-11-01,False,,True,2026-02-23,False
GREAT LAKES DREDGE & DOCK CORP,1372020,2024-11-05,2025-02-04,False,,True,2026-02-11,False
ALTAIR ENGINEERING INC.,1701732,2025-02-20,2025-05-16,False,,False,,True
VERONA PHARMA PLC,1657312,2025-02-27,2025-05-23,False,,True,2025-08-05,False
VERONA PHARMA PLC,1657312,2025-02-27,2025-05-23,False,,True,2025-08-05,False
"ARCELLX, INC.",1786205,2025-02-27,2025-05-23,False,,True,2026-02-23,False
"ENDEAVOR GROUP HOLDINGS, INC.",1766363,2025-02-27,2025-05-23,False,,False,,True
ZYNEX INC,846475,2025-03-11,2025-06-05,False,,False,,False
"CONFLUENT, INC.",1699838,2025-04-30,2025-07-28,False,,True,2025-12-23,False
JAMF HOLDING CORP.,1721947,2025-05-06,2025-08-01,False,,True,2025-11-28,False
SOLENO THERAPEUTICS INC,1484565,2025-05-07,2025-08-04,False,,True,2026-04-06,True
SOLENO THERAPEUTICS INC,1484565,2025-05-07,2025-08-04,False,,True,2026-04-06,True
"FORGE GLOBAL HOLDINGS, INC.",1827821,2025-05-07,2025-08-04,False,,True,2025-12-05,False
"UDEMY, INC.",1607939,2025-07-31,2025-10-24,False,,True,2026-03-10,True
INFORMATICA INC.,1868778,2025-08-08,2025-11-03,False,,False,,True
INFORMATICA INC.,1868778,2025-08-08,2025-11-03,False,,False,,True
SELECT MEDICAL HOLDINGS CORP,1320414,2025-10-30,2026-01-28,False,,True,2026-04-15,False
TOPBUILD CORP,1633931,2025-11-04,2026-02-02,False,,True,2026-05-29,False
SOLENO THERAPEUTICS INC,1484565,2026-02-25,2026-05-21,True,2026-04-06,False,,True
"CRINETICS PHARMACEUTICALS, INC.",1658247,2026-02-26,2026-05-22,False,,True,2026-07-21,False
"CRINETICS PHARMACEUTICALS, INC.",1658247,2026-02-26,2026-05-22,False,,True,2026-07-21,False
ON24 INC.,1110611,2026-03-12,2026-06-08,False,,False,,True
BITCOIN DEPOT INC.,1901799,2026-03-18,2026-06-12,False,,False,,True
XOMA ROYALTY CORP,791908,2026-03-18,2026-06-12,True,2026-06-10,False,,True
CENTESSA PHARMACEUTICALS PLC,1847903,2026-05-05,2026-07-31,True,2026-05-07,False,,True
"APELLIS PHARMACEUTICALS, INC.",1492422,2026-05-07,2026-08-04,False,,False,,True
