fm,filings,tagged,trm_true,adopt_true,tagged_share
2023-04,1105,0,0,0,0.0
2023-05,5090,0,0,0,0.0
2023-06,517,0,0,0,0.0
2023-07,778,274,8,71,0.352
2023-08,4907,1546,72,337,0.315
2023-09,441,95,5,32,0.215
2023-10,910,435,17,104,0.478
2023-11,4756,1722,70,373,0.362
2023-12,453,139,5,41,0.307
2024-01,316,106,3,28,0.335
2024-02,2676,1828,88,404,0.683
2024-03,2047,1325,36,153,0.647
2024-04,1443,894,10,115,0.62
2024-05,4583,3112,104,457,0.679
2024-06,423,256,4,38,0.605
2024-07,951,676,23,122,0.711
2024-08,4405,3166,95,443,0.719
2024-09,445,295,4,30,0.663
2024-10,1165,928,22,190,0.797
2024-11,4143,3238,82,407,0.782
2024-12,434,313,5,48,0.721
2025-01,323,237,4,43,0.734
2025-02,2531,2366,78,478,0.935
2025-03,2342,2112,39,182,0.902
2025-04,1072,896,18,104,0.836
2025-05,4373,3913,101,439,0.895
2025-06,405,326,8,36,0.805
2025-07,1047,948,16,145,0.905
2025-08,4147,3739,96,406,0.902
2025-09,441,361,15,38,0.819
2025-10,1129,1031,36,187,0.913
2025-11,4061,3707,79,430,0.913
2025-12,444,375,9,58,0.845
2026-01,293,247,5,33,0.843
2026-02,2458,2375,75,481,0.966
2026-03,2514,2297,46,226,0.914
2026-04,1126,1001,25,175,0.889
2026-05,4332,3966,106,450,0.916
2026-06,437,384,6,32,0.879
2026-07,1037,947,28,166,0.913
2026-08,4173,3863,101,462,0.926
