phrase (FTS hits = files),8-K,10-Q,10-K,all forms,filings,companies
operating leverage,18985,7500,5041,31526,29600,3659
positive operating leverage,2392,422,232,3046,2722,308
negative operating leverage,189,111,67,367,344,78
operating deleverage,29,36,19,84,84,18
incremental margin,1182,605,388,2175,2118,497
incremental margins,785,252,298,1335,1301,336
fixed cost absorption,1054,1022,435,2511,2427,387
fixed-cost leverage,751,570,294,1615,1572,286
