SIC2 (incremental margin(s)),companies,share of companies,filings,share of filings
73 Business services (incl. software),83,0.11942446043165468,302,0.09556962025316455
"49 Electric, gas & sanitary utilities",53,0.07625899280575539,457,0.14462025316455696
35 Industrial machinery & computer equipment,51,0.07338129496402877,380,0.12025316455696203
36 Electronic & electrical equipment (incl. semis),36,0.051798561151079135,86,0.02721518987341772
28 Chemicals & pharma,34,0.04892086330935252,80,0.02531645569620253
"67 Holding & investment offices (REITs, SPACs)",34,0.04892086330935252,103,0.03259493670886076
13 Oil & gas extraction,31,0.04460431654676259,222,0.07025316455696203
37 Transportation equipment,29,0.041726618705035974,236,0.07468354430379746
38 Instruments & medical devices,27,0.03884892086330935,84,0.026582278481012658
48 Communications,20,0.02877697841726619,93,0.029430379746835444
62 Brokers & dealers,18,0.025899280575539568,89,0.028164556962025317
59 Misc. retail,18,0.025899280575539568,27,0.008544303797468355
34 Fabricated metal products,16,0.02302158273381295,49,0.01550632911392405
80 Health services,13,0.01870503597122302,31,0.009810126582278481
50 Wholesale - durable goods,12,0.017266187050359712,51,0.016139240506329113
60 Banks (depository institutions),12,0.017266187050359712,33,0.010443037974683544
33 Primary metals,11,0.015827338129496403,73,0.023101265822784812
47 Transportation services,11,0.015827338129496403,27,0.008544303797468355
51 Wholesale - nondurable goods,11,0.015827338129496403,52,0.016455696202531647
20 Food & kindred products,10,0.014388489208633094,14,0.004430379746835443
"87 Engineering, accounting, research & mgmt services",9,0.012949640287769784,72,0.02278481012658228
61 Non-bank lenders,9,0.012949640287769784,25,0.007911392405063292
45 Air transportation,8,0.011510791366906475,14,0.004430379746835443
58 Restaurants,7,0.010071942446043165,24,0.007594936708860759
16 Heavy construction,7,0.010071942446043165,19,0.006012658227848101
55 Auto dealers & gas stations,7,0.010071942446043165,13,0.004113924050632912
30 Rubber & plastics,6,0.008633093525179856,46,0.014556962025316455
64 Insurance agents & brokers,6,0.008633093525179856,6,0.0018987341772151898
53 General merchandise stores,6,0.008633093525179856,23,0.007278481012658228
46 Pipelines,6,0.008633093525179856,123,0.03892405063291139
14 Nonmetallic minerals mining,6,0.008633093525179856,26,0.008227848101265823
65 Real estate,6,0.008633093525179856,29,0.009177215189873418
missing,6,0.008633093525179856,12,0.0037974683544303796
25 Furniture & fixtures,5,0.007194244604316547,11,0.003481012658227848
"32 Stone, clay, glass",5,0.007194244604316547,12,0.0037974683544303796
56 Apparel stores,5,0.007194244604316547,5,0.0015822784810126582
27 Printing & publishing,4,0.0057553956834532375,7,0.0022151898734177216
40 Railroads,4,0.0057553956834532375,11,0.003481012658227848
24 Lumber & wood,4,0.0057553956834532375,34,0.010759493670886076
72 Personal services,4,0.0057553956834532375,12,0.0037974683544303796
63 Insurance carriers,4,0.0057553956834532375,16,0.005063291139240506
15 Building construction,4,0.0057553956834532375,9,0.002848101265822785
17 Construction special trades,4,0.0057553956834532375,5,0.0015822784810126582
79 Amusement & recreation,3,0.004316546762589928,3,0.0009493670886075949
42 Trucking & warehousing,3,0.004316546762589928,38,0.012025316455696202
82 Educational services,3,0.004316546762589928,4,0.0012658227848101266
78 Motion pictures,3,0.004316546762589928,10,0.0031645569620253164
21 Tobacco,3,0.004316546762589928,20,0.006329113924050633
22 Textile mills,2,0.0028776978417266188,3,0.0009493670886075949
29 Petroleum refining,2,0.0028776978417266188,5,0.0015822784810126582
01 Agricultural production - crops,2,0.0028776978417266188,4,0.0012658227848101266
26 Paper,2,0.0028776978417266188,4,0.0012658227848101266
70 Hotels,2,0.0028776978417266188,4,0.0012658227848101266
57 Home furniture stores,1,0.0014388489208633094,1,0.00031645569620253165
76 Misc. repair,1,0.0014388489208633094,1,0.00031645569620253165
83 Social services,1,0.0014388489208633094,11,0.003481012658227848
81 Legal services,1,0.0014388489208633094,1,0.00031645569620253165
44 Water transportation,1,0.0014388489208633094,3,0.0009493670886075949
54 Food stores,1,0.0014388489208633094,3,0.0009493670886075949
75 Auto repair & services,1,0.0014388489208633094,1,0.00031645569620253165
39 Misc. manufacturing,1,0.0014388489208633094,1,0.00031645569620253165
