supplementary phrase (FTS hits = files),8-K,10-Q,10-K,all forms,companies,financial share of filings,group
improved operating leverage,1246,848,374,2468,692,0.20812603648424544,tone_pos
increased operating leverage,528,487,416,1431,444,0.24412811387900357,tone_pos
improving operating leverage,355,131,53,539,180,0.3923809523809524,tone_pos
greater operating leverage,256,155,115,526,172,0.18653846153846154,tone_pos
operating leverage on higher,160,197,84,441,98,0.0022935779816513763,tone_pos
operating leverage from higher,160,123,50,333,100,0.07836990595611286,tone_pos
favorable operating leverage,123,79,50,252,86,0.1774193548387097,tone_pos
higher operating leverage,106,63,28,197,69,0.2698412698412698,tone_pos
better operating leverage,85,56,53,194,81,0.14814814814814814,tone_pos
reduced operating leverage,125,169,101,395,96,0.021108179419525065,tone_neg
lower operating leverage,92,96,34,222,69,0.05687203791469194,tone_neg
unfavorable operating leverage,53,95,37,185,18,0.0,tone_neg
operating leverage on lower,28,65,23,116,31,0.0,tone_neg
decreased operating leverage,22,65,26,113,27,0.02702702702702703,tone_neg
loss of operating leverage,14,40,18,72,21,0.0,tone_neg
less operating leverage,14,19,12,45,13,0.14634146341463414,tone_neg
lack of operating leverage,7,2,0,9,5,0.0,tone_neg
