SIC2 (negative OL / deleverage),companies,share of companies,filings,share of filings
73 Business services (incl. software),13,0.13829787234042554,53,0.12383177570093458
60 Banks (depository institutions),9,0.09574468085106383,138,0.32242990654205606
35 Industrial machinery & computer equipment,6,0.06382978723404255,36,0.08411214953271028
36 Electronic & electrical equipment (incl. semis),6,0.06382978723404255,11,0.02570093457943925
37 Transportation equipment,6,0.06382978723404255,11,0.02570093457943925
38 Instruments & medical devices,5,0.05319148936170213,21,0.04906542056074766
62 Brokers & dealers,5,0.05319148936170213,8,0.018691588785046728
50 Wholesale - durable goods,4,0.0425531914893617,8,0.018691588785046728
28 Chemicals & pharma,4,0.0425531914893617,9,0.02102803738317757
20 Food & kindred products,3,0.031914893617021274,8,0.018691588785046728
13 Oil & gas extraction,3,0.031914893617021274,12,0.028037383177570093
59 Misc. retail,3,0.031914893617021274,3,0.007009345794392523
"32 Stone, clay, glass",2,0.02127659574468085,4,0.009345794392523364
34 Fabricated metal products,2,0.02127659574468085,24,0.056074766355140186
72 Personal services,2,0.02127659574468085,5,0.011682242990654205
47 Transportation services,2,0.02127659574468085,3,0.007009345794392523
58 Restaurants,2,0.02127659574468085,3,0.007009345794392523
79 Amusement & recreation,2,0.02127659574468085,3,0.007009345794392523
56 Apparel stores,1,0.010638297872340425,1,0.002336448598130841
16 Heavy construction,1,0.010638297872340425,1,0.002336448598130841
30 Rubber & plastics,1,0.010638297872340425,20,0.04672897196261682
22 Textile mills,1,0.010638297872340425,1,0.002336448598130841
"87 Engineering, accounting, research & mgmt services",1,0.010638297872340425,2,0.004672897196261682
24 Lumber & wood,1,0.010638297872340425,1,0.002336448598130841
53 General merchandise stores,1,0.010638297872340425,4,0.009345794392523364
23 Apparel,1,0.010638297872340425,23,0.053738317757009345
65 Real estate,1,0.010638297872340425,1,0.002336448598130841
25 Furniture & fixtures,1,0.010638297872340425,8,0.018691588785046728
82 Educational services,1,0.010638297872340425,1,0.002336448598130841
70 Hotels,1,0.010638297872340425,1,0.002336448598130841
"49 Electric, gas & sanitary utilities",1,0.010638297872340425,1,0.002336448598130841
45 Air transportation,1,0.010638297872340425,1,0.002336448598130841
61 Non-bank lenders,1,0.010638297872340425,2,0.004672897196261682
