year,ol_any,ol_positive,ol_negative,incremental,absorption,any phrase,ol_any non-financial,ol_any financial,n_ciks_10k_or_10q,n_ciks_8k,ol_any share of 10-K/10-Q filers,ol_positive share,ol_negative share
2010,591,27,15,97,82,718,492,101,9572,9130,0.061742582532386125,0.0028207271207689095,0.0015670706226493941
2011,568,28,9,95,75,692,468,100,9272,8828,0.061259706643658325,0.0030198446937014668,0.0009706643658326143
2012,573,32,15,83,80,695,466,107,8805,8427,0.06507666098807496,0.003634298693923907,0.0017035775127768314
2013,574,34,11,83,88,702,450,125,8528,8183,0.0673076923076923,0.00398686679174484,0.0012898686679174483
2014,597,41,12,100,86,734,465,133,8457,8040,0.07059240865555161,0.004848054865791652,0.001418942887548776
2015,667,49,14,93,68,781,492,175,8328,7826,0.08009125840537944,0.005883765609990394,0.0016810758885686839
2016,626,61,11,85,70,733,447,179,7866,7463,0.07958301550978897,0.007754894482583269,0.0013984235952199339
2017,623,53,10,98,64,743,449,176,7560,7070,0.0824074074074074,0.0070105820105820105,0.0013227513227513227
2018,649,76,11,104,81,786,455,194,7330,6909,0.08854024556616644,0.010368349249658937,0.0015006821282401092
2019,644,70,12,90,87,776,438,210,7148,6670,0.09009513150531617,0.009792949076664802,0.0016787912702853946
2020,678,58,16,72,105,809,464,220,7103,7012,0.09545262565113333,0.008165563846262143,0.0022525693368999015
2021,885,73,8,121,119,1044,627,286,7926,7791,0.11165783497350493,0.009210194297249558,0.0010093363613424174
2022,871,58,11,136,120,1038,600,274,7965,7404,0.109353421217828,0.0072818581293157564,0.0013810420590081606
2023,805,56,6,126,127,984,580,228,7536,7276,0.10682059447983015,0.0074309978768577496,0.0007961783439490446
2024,752,54,13,97,129,914,552,200,7060,6797,0.10651558073654391,0.00764872521246459,0.0018413597733711049
2025,831,75,11,80,126,975,591,240,6925,6913,0.12,0.010830324909747292,0.001588447653429603
2026,1059,82,12,84,134,1188,767,292,6881,6282,0.15390204912076733,0.011916872547594826,0.0017439325679407063
