SIC2 (positive operating leverage),companies,share of companies,filings,share of filings
60 Banks (depository institutions),162,0.525974025974026,2210,0.8119030124908155
73 Business services (incl. software),20,0.06493506493506493,72,0.02645113886847906
62 Brokers & dealers,15,0.048701298701298704,39,0.014327700220426157
36 Electronic & electrical equipment (incl. semis),12,0.03896103896103896,45,0.01653196179279941
61 Non-bank lenders,11,0.03571428571428571,65,0.02387950036737693
35 Industrial machinery & computer equipment,10,0.032467532467532464,73,0.026818515797207936
"67 Holding & investment offices (REITs, SPACs)",7,0.022727272727272728,8,0.0029390154298310064
63 Insurance carriers,6,0.01948051948051948,15,0.005510653930933138
38 Instruments & medical devices,5,0.016233766233766232,10,0.0036737692872887582
50 Wholesale - durable goods,4,0.012987012987012988,9,0.0033063923585598823
28 Chemicals & pharma,4,0.012987012987012988,5,0.0018368846436443791
20 Food & kindred products,4,0.012987012987012988,7,0.002571638501102131
37 Transportation equipment,4,0.012987012987012988,7,0.002571638501102131
59 Misc. retail,4,0.012987012987012988,11,0.004041146216017634
51 Wholesale - nondurable goods,3,0.00974025974025974,8,0.0029390154298310064
33 Primary metals,3,0.00974025974025974,8,0.0029390154298310064
"32 Stone, clay, glass",3,0.00974025974025974,13,0.004775900073475386
65 Real estate,3,0.00974025974025974,4,0.0014695077149155032
34 Fabricated metal products,2,0.006493506493506494,9,0.0033063923585598823
26 Paper,2,0.006493506493506494,7,0.002571638501102131
54 Food stores,2,0.006493506493506494,13,0.004775900073475386
70 Hotels,2,0.006493506493506494,2,0.0007347538574577516
44 Water transportation,1,0.003246753246753247,1,0.0003673769287288758
30 Rubber & plastics,1,0.003246753246753247,20,0.0073475385745775165
72 Personal services,1,0.003246753246753247,1,0.0003673769287288758
47 Transportation services,1,0.003246753246753247,1,0.0003673769287288758
23 Apparel,1,0.003246753246753247,1,0.0003673769287288758
27 Printing & publishing,1,0.003246753246753247,1,0.0003673769287288758
"87 Engineering, accounting, research & mgmt services",1,0.003246753246753247,1,0.0003673769287288758
79 Amusement & recreation,1,0.003246753246753247,2,0.0007347538574577516
14 Nonmetallic minerals mining,1,0.003246753246753247,1,0.0003673769287288758
24 Lumber & wood,1,0.003246753246753247,2,0.0007347538574577516
42 Trucking & warehousing,1,0.003246753246753247,5,0.0018368846436443791
15 Building construction,1,0.003246753246753247,8,0.0029390154298310064
64 Insurance agents & brokers,1,0.003246753246753247,15,0.005510653930933138
78 Motion pictures,1,0.003246753246753247,0,0.0
82 Educational services,1,0.003246753246753247,1,0.0003673769287288758
52 Building materials retail,1,0.003246753246753247,1,0.0003673769287288758
80 Health services,1,0.003246753246753247,10,0.0036737692872887582
"49 Electric, gas & sanitary utilities",1,0.003246753246753247,1,0.0003673769287288758
13 Oil & gas extraction,1,0.003246753246753247,9,0.0033063923585598823
55 Auto dealers & gas stations,1,0.003246753246753247,1,0.0003673769287288758
