SIC2 (operating leverage),companies,share of companies,filings,share of filings
73 Business services (incl. software),622,0.16999180103853512,4767,0.16105273826818473
60 Banks (depository institutions),305,0.08335610822629133,5082,0.17169498969559782
"67 Holding & investment offices (REITs, SPACs)",264,0.07215086089095381,864,0.029190175343761615
36 Electronic & electrical equipment (incl. semis),238,0.06504509428805684,1792,0.060542585898172234
38 Instruments & medical devices,217,0.059305821262640064,1370,0.04628534747795534
28 Chemicals & pharma,200,0.05465974309920743,874,0.02952802459542552
35 Industrial machinery & computer equipment,162,0.04427439191035802,1510,0.05101523700125004
37 Transportation equipment,97,0.026509975403115605,711,0.02402108179330383
62 Brokers & dealers,90,0.024596884394643345,868,0.02932531504442718
61 Non-bank lenders,88,0.02405028696365127,646,0.021825061657488428
63 Insurance carriers,85,0.02323039081716316,973,0.03287273218689821
48 Communications,82,0.022410494670675046,498,0.016824892732862598
50 Wholesale - durable goods,78,0.0213172998086909,926,0.03128484070407784
80 Health services,77,0.02104400109319486,534,0.018041150038852663
59 Misc. retail,61,0.016671221645258267,486,0.01641947363086591
"87 Engineering, accounting, research & mgmt services",59,0.016124624214266192,442,0.014932936923544714
20 Food & kindred products,57,0.01557802678327412,299,0.010101692624750837
"49 Electric, gas & sanitary utilities",54,0.014758130636786007,353,0.011926078583735938
58 Restaurants,50,0.013664935774801858,240,0.008108382039933781
13 Oil & gas extraction,45,0.012298442197321673,255,0.008615155917429644
34 Fabricated metal products,43,0.011751844766329598,628,0.021216933004493396
33 Primary metals,37,0.010112052473353375,255,0.008615155917429644
51 Wholesale - nondurable goods,32,0.008745558895873189,199,0.00672320010811176
65 Real estate,32,0.008745558895873189,246,0.008311091590932126
39 Misc. manufacturing,29,0.007925662749385078,194,0.006554275482279806
79 Amusement & recreation,29,0.007925662749385078,152,0.005135308625291395
15 Building construction,28,0.007652364033889041,525,0.017737085712355147
missing,28,0.007652364033889041,165,0.005574512652454475
30 Rubber & plastics,23,0.006285870456408855,195,0.006588060407446197
47 Transportation services,23,0.006285870456408855,164,0.005540727727288084
64 Insurance agents & brokers,22,0.006012571740912818,182,0.006148856380283118
82 Educational services,22,0.006012571740912818,202,0.006824554883610933
56 Apparel stores,20,0.005465974309920744,164,0.005540727727288084
55 Auto dealers & gas stations,20,0.005465974309920744,220,0.007432683536605966
70 Hotels,20,0.005465974309920744,143,0.004831244298793878
27 Printing & publishing,18,0.004919376878928669,97,0.003277137741139903
72 Personal services,18,0.004919376878928669,143,0.004831244298793878
44 Water transportation,17,0.004646078163432632,150,0.005067738774958613
42 Trucking & warehousing,17,0.004646078163432632,254,0.008581370992263252
25 Furniture & fixtures,17,0.004646078163432632,165,0.005574512652454475
"32 Stone, clay, glass",15,0.004099480732440558,184,0.006216426230615899
45 Air transportation,15,0.004099480732440558,94,0.0031757829656407313
23 Apparel,15,0.004099480732440558,76,0.0025676543126456975
78 Motion pictures,14,0.0038261820169445205,62,0.002094665360316227
24 Lumber & wood,14,0.0038261820169445205,203,0.0068583398087773235
16 Heavy construction,13,0.003552883301448483,117,0.003952836244467718
17 Construction special trades,13,0.003552883301448483,84,0.0028379337139768234
54 Food stores,13,0.003552883301448483,104,0.0035136322173046387
75 Auto repair & services,12,0.003279584585952446,97,0.003277137741139903
26 Paper,11,0.003006285870456409,60,0.0020270955099834453
53 General merchandise stores,9,0.0024596884394643345,74,0.002500084462312916
57 Home furniture stores,9,0.0024596884394643345,18,0.0006081286529950336
01 Agricultural production - crops,9,0.0024596884394643345,45,0.001520321632487584
29 Petroleum refining,8,0.002186389723968297,17,0.0005743437278286429
14 Nonmetallic minerals mining,8,0.002186389723968297,167,0.005642082502787256
40 Railroads,7,0.0019130910084722602,17,0.0005743437278286429
52 Building materials retail,7,0.0019130910084722602,54,0.001824385958985101
10 Metal mining,7,0.0019130910084722602,12,0.00040541910199668905
12 Coal mining,6,0.001639792292976223,17,0.0005743437278286429
21 Tobacco,5,0.001366493577480186,24,0.0008108382039933781
31 Leather,5,0.001366493577480186,12,0.00040541910199668905
22 Textile mills,4,0.0010931948619841486,26,0.0008784080543261597
46 Pipelines,4,0.0010931948619841486,13,0.00043920402716307984
89 Services NEC,3,0.0008198961464881115,3,0.00010135477549917226
07 Agricultural services,2,0.0005465974309920743,33,0.001114902530490895
83 Social services,2,0.0005465974309920743,36,0.0012162573059900672
76 Misc. repair,1,0.00027329871549603714,11,0.0003716341768302983
81 Legal services,1,0.00027329871549603714,1,3.3784925166390757e-05
09 Fishing,1,0.00027329871549603714,5,0.0001689246258319538
