cal_quarter,ol_any,ol_negative,ol_positive
2010Q1,311,9,14
2010Q2,258,4,9
2010Q3,253,7,14
2010Q4,286,7,14
2011Q1,320,7,15
2011Q2,281,3,13
2011Q3,247,4,11
2011Q4,259,4,13
2012Q1,343,7,11
2012Q2,276,6,20
2012Q3,257,8,18
2012Q4,259,7,22
2013Q1,331,6,20
2013Q2,261,5,20
2013Q3,261,6,16
2013Q4,265,5,19
2014Q1,343,10,21
2014Q2,266,5,18
2014Q3,264,5,16
2014Q4,309,6,27
2015Q1,407,7,24
2015Q2,285,7,30
2015Q3,301,8,27
2015Q4,322,10,28
2016Q1,396,7,35
2016Q2,309,7,37
2016Q3,291,4,29
2016Q4,292,5,35
2017Q1,392,6,30
2017Q2,292,4,29
2017Q3,256,4,27
2017Q4,294,4,39
2018Q1,380,6,41
2018Q2,320,3,34
2018Q3,317,3,46
2018Q4,314,3,43
2019Q1,415,7,43
2019Q2,302,6,33
2019Q3,284,6,31
2019Q4,303,6,32
2020Q1,406,8,37
2020Q2,248,9,21
2020Q3,301,10,23
2020Q4,346,9,28
2021Q1,498,6,33
2021Q2,409,4,33
2021Q3,417,2,36
2021Q4,445,2,33
2022Q1,579,3,38
2022Q2,416,5,27
2022Q3,379,2,29
2022Q4,392,5,29
2023Q1,525,3,44
2023Q2,391,2,25
2023Q3,353,4,21
2023Q4,366,3,22
2024Q1,470,5,29
2024Q2,372,3,20
2024Q3,379,3,30
2024Q4,356,6,27
2025Q1,475,7,43
2025Q2,368,4,33
2025Q3,389,1,36
2025Q4,451,4,45
2026Q1,677,7,57
2026Q2,552,6,48
2026Q3,577,3,56
