quarters with an 'operating leverage' mention,companies,share of companies,share of mention firm-quarters
1,1090,0.30379041248606464,0.047222944285590505
2,561,0.15635451505016723,0.04860930595269041
3-4,579,0.16137123745819398,0.08599774716229096
5-8,551,0.1535674470457079,0.14673771770210553
9-16,452,0.12597547380156077,0.23104583658261849
17-32,260,0.07246376811594203,0.2546139849233169
33+,95,0.026477146042363432,0.18577246339138723
