cal_quarter,kicking_in companies,negative-event companies
2010Q1,24,21
2010Q2,39,14
2010Q3,48,9
2010Q4,54,13
2011Q1,35,14
2011Q2,56,8
2011Q3,52,10
2011Q4,54,13
2012Q1,32,13
2012Q2,61,14
2012Q3,60,19
2012Q4,51,17
2013Q1,20,16
2013Q2,41,14
2013Q3,45,13
2013Q4,49,8
2014Q1,30,19
2014Q2,48,11
2014Q3,52,8
2014Q4,56,11
2015Q1,30,17
2015Q2,55,9
2015Q3,51,14
2015Q4,61,14
2016Q1,26,13
2016Q2,40,13
2016Q3,46,11
2016Q4,39,15
2017Q1,27,18
2017Q2,40,10
2017Q3,35,14
2017Q4,48,13
2018Q1,33,17
2018Q2,52,9
2018Q3,47,10
2018Q4,41,14
2019Q1,35,17
2019Q2,44,15
2019Q3,42,18
2019Q4,49,14
2020Q1,36,22
2020Q2,27,15
2020Q3,33,24
2020Q4,46,18
2021Q1,42,16
2021Q2,60,11
2021Q3,74,2
2021Q4,64,6
2022Q1,49,12
2022Q2,54,12
2022Q3,57,7
2022Q4,65,10
2023Q1,38,13
2023Q2,53,16
2023Q3,48,16
2023Q4,49,18
2024Q1,49,19
2024Q2,48,22
2024Q3,56,20
2024Q4,52,24
2025Q1,36,21
2025Q2,44,17
2025Q3,60,15
2025Q4,61,16
2026Q1,50,21
2026Q2,97,17
2026Q3,110,11
