SIC2 (fixed cost absorption / leverage),companies,share of companies,filings,share of filings
28 Chemicals & pharma,57,0.09563758389261745,516,0.13066599139022536
36 Electronic & electrical equipment (incl. semis),55,0.09228187919463088,362,0.0916687769055457
35 Industrial machinery & computer equipment,49,0.08221476510067115,285,0.07217016966320587
37 Transportation equipment,49,0.08221476510067115,302,0.07647505697644974
38 Instruments & medical devices,39,0.06543624161073826,133,0.033679412509496076
20 Food & kindred products,32,0.053691275167785234,275,0.06963788300835655
73 Business services (incl. software),25,0.04194630872483222,155,0.0392504431501646
34 Fabricated metal products,24,0.040268456375838924,247,0.06254748037477842
33 Primary metals,19,0.031879194630872486,172,0.04355533046340846
13 Oil & gas extraction,15,0.025167785234899327,44,0.011142061281337047
25 Furniture & fixtures,14,0.02348993288590604,217,0.05495062041023044
50 Wholesale - durable goods,14,0.02348993288590604,42,0.010635603950367181
26 Paper,13,0.02181208053691275,93,0.02355026589009876
30 Rubber & plastics,12,0.020134228187919462,152,0.0384907571537098
39 Misc. manufacturing,11,0.018456375838926176,65,0.01645986325652064
58 Restaurants,11,0.018456375838926176,70,0.017726006583945304
51 Wholesale - nondurable goods,10,0.016778523489932886,56,0.014180805267156243
"67 Holding & investment offices (REITs, SPACs)",9,0.015100671140939598,32,0.008103317295517852
59 Misc. retail,9,0.015100671140939598,28,0.007090402633578121
"32 Stone, clay, glass",9,0.015100671140939598,62,0.01570017726006584
14 Nonmetallic minerals mining,9,0.015100671140939598,43,0.010888832615852115
63 Insurance carriers,7,0.01174496644295302,73,0.0184856925804001
16 Heavy construction,6,0.010067114093959731,27,0.006837173968093188
22 Textile mills,6,0.010067114093959731,75,0.018992149911369965
12 Coal mining,6,0.010067114093959731,16,0.004051658647758926
24 Lumber & wood,6,0.010067114093959731,38,0.00962268928842745
80 Health services,6,0.010067114093959731,9,0.002279057989364396
55 Auto dealers & gas stations,6,0.010067114093959731,37,0.009369460622942517
15 Building construction,6,0.010067114093959731,17,0.004304887313243859
52 Building materials retail,5,0.008389261744966443,21,0.005317801975183591
23 Apparel,5,0.008389261744966443,22,0.005571030640668524
42 Trucking & warehousing,4,0.006711409395973154,13,0.0032919726513041276
17 Construction special trades,4,0.006711409395973154,37,0.009369460622942517
56 Apparel stores,4,0.006711409395973154,31,0.00785008863003292
"87 Engineering, accounting, research & mgmt services",4,0.006711409395973154,9,0.002279057989364396
72 Personal services,3,0.0050335570469798654,6,0.0015193719929095975
27 Printing & publishing,3,0.0050335570469798654,33,0.008356545961002786
54 Food stores,3,0.0050335570469798654,24,0.00607748797163839
57 Home furniture stores,3,0.0050335570469798654,5,0.0012661433274246644
01 Agricultural production - crops,3,0.0050335570469798654,10,0.0025322866548493288
10 Metal mining,2,0.003355704697986577,30,0.007596859964547987
29 Petroleum refining,2,0.003355704697986577,5,0.0012661433274246644
47 Transportation services,2,0.003355704697986577,3,0.0007596859964547987
82 Educational services,2,0.003355704697986577,7,0.0017726006583945303
48 Communications,2,0.003355704697986577,3,0.0007596859964547987
61 Non-bank lenders,2,0.003355704697986577,5,0.0012661433274246644
02 Agricultural production - livestock,1,0.0016778523489932886,1,0.0002532286654849329
53 General merchandise stores,1,0.0016778523489932886,3,0.0007596859964547987
46 Pipelines,1,0.0016778523489932886,4,0.0010129146619397315
"49 Electric, gas & sanitary utilities",1,0.0016778523489932886,1,0.0002532286654849329
64 Insurance agents & brokers,1,0.0016778523489932886,1,0.0002532286654849329
31 Leather,1,0.0016778523489932886,11,0.002785515320334262
60 Banks (depository institutions),1,0.0016778523489932886,5,0.0012661433274246644
45 Air transportation,1,0.0016778523489932886,1,0.0002532286654849329
07 Agricultural services,1,0.0016778523489932886,15,0.0037984299822739933
