where 'operating leverage' matched,files,share
8-K Item 2.02 EX-99 (earnings release / call transcript / deck),13230,0.41965361923491723
10-Q/10-K main document,12347,0.3916449914356404
"8-K other EX-99 (investor deck, transcript)",5427,0.1721436274820783
8-K main doc or other exhibit,328,0.010404110892596586
10-Q/10-K other exhibit,106,0.003362304129924507
10-K EX-13 annual report,88,0.0027913468248429866
