year,clean events (filings),clean: companies,clean: 8-K,clean: 10-Q,clean: 10-K,kicking_in (filings),kicking_in: companies,negative events (filings),negative: companies
2010,1034,467,638,257,139,181,104,63,35
2011,1029,458,581,281,167,222,110,48,29
2012,1026,444,557,288,181,238,119,74,34
2013,972,428,534,263,175,183,100,55,29
2014,1045,445,562,314,169,203,106,56,26
2015,1056,470,565,300,191,216,113,57,28
2016,1001,421,558,263,180,165,79,57,31
2017,916,424,531,228,157,169,95,61,30
2018,1045,433,587,292,166,202,97,52,30
2019,909,416,511,239,159,183,99,84,31
2020,932,423,534,239,159,158,92,98,38
2021,1376,571,776,417,183,275,134,41,29
2022,1421,567,749,417,255,251,117,52,29
2023,1304,550,719,364,221,212,109,81,34
2024,1274,511,685,379,210,225,122,108,44
2025,1296,554,738,353,205,211,117,88,35
2026,1492,726,901,338,253,281,188,59,32
