phrase,fixed cost absorption,fixed cost absorption,fixed cost absorption,fixed-cost leverage,fixed-cost leverage,fixed-cost leverage,incremental margin,incremental margin,incremental margin,incremental margins,incremental margins,incremental margins,negative operating leverage,negative operating leverage,negative operating leverage,operating deleverage,operating leverage,operating leverage,operating leverage,positive operating leverage,positive operating leverage,positive operating leverage,operating deleverage,operating deleverage
query_form,10-K,10-Q,8-K,10-K,10-Q,8-K,10-K,10-Q,8-K,10-K,10-Q,8-K,10-K,10-Q,8-K,10-K,10-K,10-Q,8-K,10-K,10-Q,8-K,10-Q,8-K
year,,,,,,,,,,,,,,,,,,,,,,,,
2010,29,63,58,11,20,26,26,30,58,11,17,54,8,10,13,1,210,348,777,7,17,50,0,0
2011,34,53,32,11,18,32,22,35,55,14,14,46,5,4,12,1,228,373,732,8,21,49,0,0
2012,26,50,37,18,25,33,30,47,59,15,16,34,4,13,19,0,240,407,749,10,25,74,3,0
2013,27,59,45,14,29,26,24,42,50,17,12,32,4,12,12,1,256,383,783,12,22,100,0,0
2014,24,46,43,17,38,22,26,34,63,21,16,38,5,6,13,1,247,422,827,11,22,96,6,1
2015,19,43,42,20,28,19,24,34,56,19,19,36,4,13,13,2,276,431,931,9,29,130,5,1
2016,19,50,53,13,23,21,20,37,59,15,17,41,3,8,10,2,276,411,943,12,34,157,3,0
2017,24,41,29,13,19,24,16,32,58,15,15,47,4,2,9,2,261,364,974,14,33,147,3,0
2018,20,36,29,13,22,41,20,40,76,20,17,55,4,2,8,1,264,424,1050,22,36,175,2,0
2019,18,48,45,16,27,41,27,32,61,18,12,39,2,7,11,2,258,385,1011,20,36,143,3,4
2020,22,88,83,14,35,38,21,33,54,10,17,31,3,12,15,2,259,381,1043,17,22,106,5,7
2021,25,71,68,20,54,70,23,49,76,27,15,60,5,3,5,2,351,539,1304,14,17,134,1,0
2022,28,60,67,26,52,83,31,43,109,23,9,66,3,2,9,1,414,544,1231,14,26,127,0,1
2023,29,75,90,21,45,73,24,38,86,21,14,63,2,1,6,0,367,504,1142,15,22,115,2,2
2024,32,90,98,25,50,56,19,29,87,15,12,49,2,0,12,0,337,528,1082,8,17,107,1,3
2025,26,78,94,21,46,52,15,20,82,15,10,27,2,2,10,0,324,507,1249,14,21,188,1,5
2026,28,56,77,21,36,54,16,24,46,21,13,41,2,0,8,1,407,454,1392,17,17,183,1,5
