panel,device,phi,cost_bps,mmf,CAGR,Sharpe,MaxDD,Calmar,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,turnover_yr,sweep_turnover_yr,mean_gross,mean_sweep_w,FULL_pass4a,FULL_pass4b,FULL_L_H1,FULL_L_H2,FULL_L_OOS,FULL_L_DD,FULL_L_CAGR,OOS_pass4a,OOS_pass4b,OOS_L_H1,OOS_L_H2,OOS_L_OOS,OOS_L_DD,OOS_L_CAGR
U56,DG,0.0,0.0,False,0.08811645471909801,1.2260772909325255,-0.12029812214763835,0.7324840416956407,1.2528619330093715,1.2055790425000439,0.09651574458861623,1.3012453352065745,-0.12029812214763824,1.1299587672429432,1.7735559161867938,0.006343675158787494,0.532826355626877,0.0,False,False,True,True,True,True,False,False,False,True,True,True,True,False
U56,DG,0.0,0.0,True,0.08811645471909801,1.2260772909325255,-0.12029812214763835,0.7324840416956407,1.2528619330093715,1.2055790425000439,0.09651574458861623,1.3012453352065745,-0.12029812214763824,1.1299587672429432,1.7735559161867938,0.006343675158787494,0.532826355626877,0.0,False,False,True,True,True,True,False,False,False,True,True,True,True,False
U56,DG,0.0,10.0,False,0.08618880526313721,1.201049296027575,-0.12054941914043871,0.7149665745193532,1.227649981048117,1.1806425080695122,0.09455896847608769,1.2767122316543114,-0.12054941914043871,1.1042710247053533,1.7735559161867938,0.006343675158787494,0.532826355626877,0.0,False,False,True,True,True,True,False,False,False,True,True,True,True,False
U56,DG,0.0,10.0,True,0.08619570383061514,1.2011409108070952,-0.12054841743845379,0.7150297420919899,1.2277291671230275,1.1807450900911913,0.09456667342997505,1.2768133467471372,-0.12054841743845379,1.104350701977585,1.7735559161867938,0.006343675158787494,0.532826355626877,0.0,True,False,True,True,True,True,False,True,False,True,True,True,True,False
U56,DG,0.0,25.0,False,0.08330351576993,1.1634688271693323,-0.12092630671374727,0.6888783593393232,1.189790934573022,1.1432012948488115,0.09163013641609163,1.2398733886368856,-0.12092630671374771,1.065702404318384,1.7735559161867938,0.006343675158787494,0.532826355626877,0.0,False,False,True,True,True,True,False,False,False,True,True,True,True,False
U56,DG,0.0,25.0,True,0.083320717592132,1.163697878951609,-0.12092380282094028,0.6890348769093079,1.1899891399411504,1.1434575866059238,0.09164934862888963,1.240126049631837,-0.12092380282093995,1.0659018224536332,1.7735559161867938,0.006343675158787494,0.532826355626877,0.0,True,False,True,True,True,True,False,True,False,True,True,True,True,False
U56,DG,0.0,50.0,False,0.07851114701170414,1.1007438563030478,-0.1215542982343577,0.6458936306829233,1.126595636968293,1.0807131422584972,0.08676558828999292,1.1783814389985978,-0.1215542982343576,1.001336027169409,1.7735559161867938,0.006343675158787494,0.532826355626877,0.0,False,False,True,True,True,True,False,False,False,True,True,True,True,False
U56,DG,0.0,50.0,True,0.07854540249607123,1.101201906609527,-0.12154929165585693,0.6462020586549956,1.126992755278552,1.0812250714315097,0.08680384603735436,1.1788862316595088,-0.12154929165585704,1.001735516745789,1.7735559161867938,0.006343675158787494,0.532826355626877,0.0,True,False,True,True,True,True,False,True,False,True,True,True,True,False
U56,DG,0.25,0.0,False,0.08965145277121644,1.247646444917091,-0.11883137397277765,0.7544426170798475,1.26975723711029,1.2316557245394297,0.0985160368070106,1.3264215504404604,-0.11883137397277788,1.1467128034155145,2.023552356341679,0.2563416816991874,0.6496211918475777,0.12908901781176516,True,False,True,True,True,True,False,True,False,True,True,True,True,False
U56,DG,0.25,0.0,True,0.08965145277121644,1.247646444917091,-0.11883137397277765,0.7544426170798475,1.26975723711029,1.2316557245394297,0.0985160368070106,1.3264215504404604,-0.11883137397277788,1.1467128034155145,2.023552356341679,0.2563416816991874,0.6496211918475777,0.12908901781176516,True,False,True,True,True,True,False,True,False,True,True,True,True,False
