panel,device,phi,d_Sharpe_DG_minus_DEV,SE,t
U56,RG50,0.0,0.007935651300985391,0.03862951234738074,0.20542975613109093
U56,RG50,1.0,0.026102724291922286,0.03843354539389161,0.6791651413993903
U56,RG100,0.0,0.04429406531323532,0.06647320346444813,0.6663446773243766
U56,RG100,1.0,0.0779001707469753,0.06573353559784866,1.185090228883487
U56,BETA,0.0,0.11601735201450092,0.09675128587572408,1.1991298199749394
U56,BETA,1.0,0.1536607468503619,0.09370199843277714,1.6398876162774676
U56,EWALL,0.0,0.08209889089757949,0.10617452853354524,0.7732446946693133
U56,EWALL,1.0,0.11989628287985576,0.10168742185782259,1.1790669946130845
U56,GROSS100,0.0,0.00017084191848182328,0.0006570708131550789,0.26000533741787424
U56,GROSS100,1.0,0.047167453105320556,0.013056516026552554,3.612560426487269
B136,RG50,0.0,0.0031825541872863017,0.03873334555107672,0.08216574483837305
B136,RG50,1.0,0.023410847783920552,0.03848988193243608,0.6082338164875437
B136,RG100,0.0,0.036077287521329104,0.06664330803283469,0.5413489904125719
B136,RG100,1.0,0.07392434486189581,0.0662399182526451,1.1160089989836885
B136,BETA,0.0,0.07575841576233522,0.09378265149974187,0.8078084224622689
B136,BETA,1.0,0.117371250014215,0.09163780305515991,1.2808169347268752
B136,EWALL,0.0,-0.0163882703752678,0.10481037684491358,-0.15636114351079272
B136,EWALL,1.0,0.02562891352642649,0.10319393927974366,0.24835677080753996
B136,GROSS100,0.0,8.99132324245766e-05,0.0006343518226909033,0.1417403232849038
B136,GROSS100,1.0,0.0479310112569582,0.012830898705948019,3.7355926779110824
SMALL,RG50,0.0,0.0014137316529808652,0.07263421835700792,0.01946371400366925
SMALL,RG50,1.0,0.05079385221853017,0.07803484269860234,0.650912470147645
SMALL,RG100,0.0,0.026938843377862898,0.11141920041085264,0.24177918418483782
SMALL,RG100,1.0,0.10820079726320841,0.11953570975076418,0.9051755118935637
SMALL,BETA,0.0,-0.1298273447198922,0.11755390223592024,-1.1044069337599722
SMALL,BETA,1.0,-0.04957637481135324,0.11875604129952287,-0.4174640234622946
SMALL,EWALL,0.0,-0.045148859302480804,0.12459115029315852,-0.3623761334271909
SMALL,EWALL,1.0,0.03970868595140786,0.12959833962026387,0.30639810716524835
SMALL,GROSS100,0.0,-0.00018697236949305474,0.0006705587518814483,-0.2788307049433762
SMALL,GROSS100,1.0,0.047020045266181976,0.015219409200041948,3.089479009871972
