panel,c,cost_bps,d_Sharpe,SE,t
U56,0.0,10.0,-0.013746100603167166,0.05607906660862085,-0.24511999636338497
U56,0.0,25.0,-0.03872555675747624,0.0564725111819269,-0.6857417165799725
U56,0.02,10.0,0.01579688681846081,0.058371080557992845,0.2706286515077665
U56,0.02,25.0,0.0008756371114302386,0.058601188663744315,0.014942309727788547
U56,0.03,10.0,0.035280384712135904,0.061147731923290836,0.5769696373431277
U56,0.03,25.0,0.02445270118027798,0.06126949739023596,0.3991007307361202
U56,0.05,10.0,0.019941562371195598,0.061875198153412504,0.32228684458921275
U56,0.05,25.0,0.013633848331891851,0.0619039487453997,0.22024198146010887
U56,0.08,10.0,0.035438808512728626,0.05460105235170028,0.6490499172883627
U56,0.08,25.0,0.0316010733674128,0.05462369350579482,0.5785231891003556
B136,0.0,10.0,-0.05717210789716187,0.04464806894016362,-1.2805057252035401
B136,0.0,25.0,-0.08787665571277459,0.04516156868866618,-1.9458282399040814
B136,0.02,10.0,-0.045977777082393256,0.0458374811143373,-1.0030607259527633
B136,0.02,25.0,-0.06629958848554085,0.046174284805755965,-1.435855233371717
B136,0.03,10.0,-0.047676897405636076,0.04768561297879427,-0.9998172284550044
B136,0.03,25.0,-0.06359742313873085,0.047903138504652706,-1.327625394159796
B136,0.05,10.0,-0.04452904075736197,0.04687576317000747,-0.9499374035973669
B136,0.05,25.0,-0.05511496151697104,0.047035613004738956,-1.1717708773438984
B136,0.08,10.0,-0.02180779743832484,0.042012223182579425,-0.5190822048038521
B136,0.08,25.0,-0.028274579997490612,0.042099996769058214,-0.6716052771355859
SMALL,0.0,10.0,-0.12072517250385961,0.05661788062288886,-2.132279964839485
SMALL,0.0,25.0,-0.1679380662695361,0.05746066101856436,-2.9226615791154713
SMALL,0.02,10.0,-0.07931389092888963,0.05646049792019293,-1.4047678261888523
SMALL,0.02,25.0,-0.11509720799217515,0.056917658134505604,-2.0221704786268946
SMALL,0.03,10.0,-0.0645450922625116,0.05594886673916304,-1.1536443188996959
SMALL,0.03,25.0,-0.09459347933237394,0.056331102865261634,-1.679240677368453
SMALL,0.05,10.0,-0.023904715795021403,0.05506311542104255,-0.43413300559245394
SMALL,0.05,25.0,-0.045990107308954364,0.05525916240084447,-0.8322621138436138
SMALL,0.08,10.0,-0.0031798676846789276,0.05528355785485401,-0.057519230094192075
SMALL,0.08,25.0,-0.018632118872076497,0.05538007034624645,-0.33644086682420304
