month,H5_signal,H5_control,H6_signal,H6_control,UNIV_EW_JT3
2010-02-01,,0.007964,,,0.007964
2010-03-01,,0.082547,,,0.082547
2010-04-01,,0.039312,,,0.039312
2010-05-01,,-0.081419,,,-0.081419
2010-06-01,,-0.061574,,,-0.061574
2010-07-01,,0.066582,,,0.066582
2010-08-01,,-0.046804,,,-0.046804
2010-09-01,,0.113055,,,0.113055
2010-10-01,,0.038607,,,0.038607
2010-11-01,,0.015365,,,0.015365
2010-12-01,,0.053155,,,0.053155
2011-01-01,,0.024130,,,0.024130
2011-02-01,,0.029366,,,0.029366
2011-03-01,,0.011981,,,0.011981
2011-04-01,,0.034045,,,0.034045
2011-05-01,,-0.008053,,,-0.008053
2011-06-01,,-0.016027,,,-0.016027
2011-07-01,,-0.036327,,,-0.036327
2011-08-01,-0.025695,-0.070364,,,-0.069736
2011-09-01,-0.062799,-0.086439,,,-0.085280
2011-10-01,0.108518,0.150460,,,0.148336
2011-11-01,-0.003582,0.003564,,,0.003541
2011-12-01,0.008814,-0.002258,,,-0.002227
2012-01-01,0.059149,0.081445,,,0.080861
2012-02-01,0.007707,0.039521,,,0.039060
2012-03-01,0.040686,0.028010,,,0.028273
2012-04-01,-0.015639,-0.024416,,,-0.024508
2012-05-01,-0.081262,-0.069063,,,-0.069142
2012-06-01,0.062287,0.032576,,,0.032887
2012-07-01,0.002205,-0.001959,,,-0.001933
2012-08-01,-0.014060,0.038177,,,0.036526
2012-09-01,0.014440,0.033324,,,0.032656
2012-10-01,-0.016379,-0.010316,,,-0.010481
2012-11-01,0.016524,0.022469,,,0.022342
2012-12-01,0.015509,0.029643,,,0.029143
2013-01-01,0.054016,0.064368,,,0.064078
2013-02-01,0.002345,0.004932,,,0.004942
2013-03-01,0.002785,0.037333,,,0.035973
2013-04-01,0.023338,-0.000563,,,0.000454
2013-05-01,0.045549,0.048537,,,0.048534
2013-06-01,0.008147,-0.003060,,,-0.002294
2013-07-01,0.039470,0.064895,,,0.063736
2013-08-01,-0.021389,-0.019300,,,-0.019323
2013-09-01,0.090936,0.060760,,,0.062814
2013-10-01,0.029923,0.029992,,,0.029893
2013-11-01,0.050074,0.042685,,,0.043364
2013-12-01,0.051843,0.026516,,,0.028345
2014-01-01,-0.009613,-0.031000,,,-0.028852
2014-02-01,0.060227,0.049648,,,0.050677
2014-03-01,0.013202,0.003876,,,0.004820
2014-04-01,-0.038678,-0.023055,,,-0.024453
2014-05-01,0.008228,0.011247,,,0.010762
2014-06-01,0.056979,0.044979,,,0.045952
2014-07-01,-0.055859,-0.043083,,,-0.044084
2014-08-01,0.046166,0.051101,,,0.050690
2014-09-01,-0.056349,-0.043949,,,-0.044879
2014-10-01,0.061213,0.039367,,,0.041207
2014-11-01,0.005839,0.020897,,,0.019160
2014-12-01,0.015369,0.012819,,,0.012500
2015-01-01,-0.018064,-0.025777,,,-0.025121
2015-02-01,0.064219,0.057598,,,0.057999
2015-03-01,0.000359,0.004747,,,0.004375
2015-04-01,-0.000392,-0.002526,,,-0.002285
2015-05-01,0.021694,0.012208,,,0.013166
2015-06-01,0.011426,-0.003406,,,-0.002101
2015-07-01,-0.026697,-0.017160,,,-0.017890
2015-08-01,-0.048848,-0.045307,,,-0.045550
2015-09-01,-0.090843,-0.051495,,,-0.054265
2015-10-01,0.057309,0.070733,,,0.069913
2015-11-01,0.040954,0.012645,,,0.015026
2015-12-01,-0.045911,-0.033710,,,-0.034970
2016-01-01,-0.079549,-0.063447,,,-0.064971
2016-02-01,0.011347,0.021557,,,0.020501
2016-03-01,0.081096,0.077869,,,0.078252
2016-04-01,0.030650,0.012786,,,0.014468
2016-05-01,0.023988,0.006243,,,0.007702
2016-06-01,-0.004306,0.004412,,,0.003734
2016-07-01,0.049114,0.061556,,,0.060961
2016-08-01,0.003704,0.019901,,,0.018966
2016-09-01,0.009405,0.003565,,,0.004060
2016-10-01,-0.019672,-0.038752,,,-0.037334
2016-11-01,0.095533,0.094346,,,0.094718
2016-12-01,0.030322,0.010399,,,0.012106
2017-01-01,0.038164,0.007445,,,0.010015
2017-02-01,-0.002249,0.005993,,,0.005385
2017-03-01,0.032922,0.009805,,,0.011402
2017-04-01,0.019434,0.004058,,,0.004937
2017-05-01,-0.017775,-0.006679,,,-0.007632
2017-06-01,0.042823,0.028661,,,0.030072
2017-07-01,0.021063,0.005820,,,0.007429
2017-08-01,-0.016512,-0.011092,,0.025379,-0.011711
2017-09-01,0.085505,0.062141,,0.008457,0.064756
2017-10-01,0.012906,0.018753,,-0.076310,0.018064
2017-11-01,0.047348,0.040650,,0.024373,0.041369
2017-12-01,0.022026,0.007597,,-0.017442,0.008672
2018-01-01,0.068599,0.029593,,0.137716,0.032960
2018-02-01,-0.040217,-0.029009,,-0.132609,-0.030160
2018-03-01,0.012499,0.006208,,0.038900,0.006656
2018-04-01,-0.006061,0.006239,,0.095864,0.005005
2018-05-01,0.059693,0.059175,,-0.000096,0.059207
2018-06-01,0.016156,0.015881,,0.002698,0.015863
2018-07-01,0.019055,0.020412,,0.033494,0.020270
2018-08-01,0.079739,0.045837,,0.049720,0.048537
2018-09-01,-0.023968,-0.010031,,-0.001227,-0.010960
2018-10-01,-0.089327,-0.090520,,-0.104142,-0.090358
2018-11-01,-0.024657,0.013862,,0.024558,0.010226
2018-12-01,-0.116343,-0.109994,,-0.109963,-0.110574
2019-01-01,0.155762,0.110911,,0.119732,0.114913
2019-02-01,0.047176,0.050772,,0.067141,0.050559
2019-03-01,-0.028170,-0.009967,,-0.010406,-0.011535
2019-04-01,0.043333,0.040642,,0.054271,0.040642
2019-05-01,-0.084049,-0.083907,-0.013024,-0.074101,-0.083971
2019-06-01,0.077436,0.076471,0.082647,0.075796,0.076581
2019-07-01,0.024866,0.008592,0.032328,0.026012,0.009581
2019-08-01,-0.077722,-0.054263,-0.062342,-0.054262,-0.055973
2019-09-01,0.038396,0.041524,0.014004,0.021148,0.041205
2019-10-01,-0.004251,0.016468,-0.010970,0.005243,0.014683
2019-11-01,0.049623,0.037935,0.030026,0.039974,0.038961
2019-12-01,0.041592,0.031958,0.045897,0.019590,0.032882
2020-01-01,-0.041752,-0.031359,-0.048055,-0.017752,-0.032113
2020-02-01,-0.071752,-0.088235,-0.019007,-0.078560,-0.087178
2020-03-01,-0.179262,-0.213842,-0.235872,-0.172582,-0.211058
2020-04-01,0.192163,0.182081,0.162477,0.169211,0.183000
2020-05-01,0.080415,0.076822,0.080731,0.074153,0.077058
2020-06-01,0.075384,0.046231,0.019571,0.053529,0.049246
2020-07-01,0.028449,0.038457,0.117997,0.037807,0.037587
2020-08-01,0.050349,0.080974,0.080882,0.054980,0.079237
2020-09-01,-0.016680,-0.026295,-0.081773,-0.044887,-0.026068
2020-10-01,0.001591,0.008241,-0.022914,-0.004725,0.008044
2020-11-01,0.168591,0.210246,0.257354,0.233007,0.206540
2020-12-01,0.071919,0.076458,0.084849,0.099962,0.075751
2021-01-01,0.099487,0.057244,0.046383,0.045984,0.060768
2021-02-01,0.111466,0.076169,0.100765,0.071765,0.079738
2021-03-01,0.000322,0.050559,0.035199,0.035636,0.047874
2021-04-01,-0.015871,0.024571,-0.032141,0.028932,0.022933
2021-05-01,0.018744,0.024773,0.039343,0.015386,0.024213
2021-06-01,0.035718,0.022211,0.026430,0.038510,0.023550
2021-07-01,-0.051980,-0.017591,0.017394,-0.004804,-0.021780
2021-08-01,0.015579,0.017615,0.057522,0.023821,0.017427
2021-09-01,-0.019950,-0.037494,0.013885,-0.036509,-0.035894
2021-10-01,0.023578,0.040089,0.128597,0.058242,0.038535
2021-11-01,-0.055417,-0.035448,-0.078396,-0.041251,-0.037133
2021-12-01,0.007334,0.021365,0.015584,0.022305,0.020186
2022-01-01,-0.069042,-0.078982,-0.141053,-0.082394,-0.078279
2022-02-01,-0.009540,-0.011282,-0.001252,-0.006794,-0.011026
2022-03-01,-0.011062,0.002112,0.036725,0.028073,0.001572
2022-04-01,-0.119619,-0.088982,-0.127299,-0.107134,-0.090891
2022-05-01,-0.025270,-0.007719,0.016609,-0.009114,-0.008711
2022-06-01,-0.099377,-0.093094,-0.126721,-0.078018,-0.093325
2022-07-01,0.095141,0.095424,0.142861,0.100987,0.095090
2022-08-01,-0.019110,-0.024598,-0.029056,-0.019635,-0.024168
2022-09-01,-0.103899,-0.099098,-0.100343,-0.105323,-0.099479
2022-10-01,0.108750,0.102632,0.135002,0.102105,0.103597
2022-11-01,0.057706,0.046034,0.088727,0.023096,0.046722
2022-12-01,-0.020958,-0.052159,-0.024724,-0.039097,-0.050424
2023-01-01,0.109656,0.125893,0.098359,0.132975,0.125180
2023-02-01,-0.020697,-0.026782,0.018519,-0.015928,-0.026355
2023-03-01,-0.013621,-0.007686,0.019714,0.013833,-0.008350
2023-04-01,-0.000107,-0.025245,-0.016357,-0.034262,-0.023333
2023-05-01,-0.031330,0.005101,0.015651,0.039578,0.002102
2023-06-01,0.067537,0.079451,0.098268,0.086134,0.078494
2023-07-01,0.061836,0.052157,0.065513,0.050334,0.052930
2023-08-01,-0.042807,-0.035055,-0.038736,-0.013034,-0.035708
2023-09-01,-0.049931,-0.056584,0.009100,-0.051439,-0.056086
2023-10-01,-0.044308,-0.062364,-0.075026,-0.058552,-0.060966
2023-11-01,0.080713,0.092819,0.100069,0.104075,0.091793
2023-12-01,0.077811,0.107104,0.056731,0.082904,0.104701
2024-01-01,-0.029833,-0.028349,-0.018029,-0.022037,-0.028472
2024-02-01,0.064480,0.057755,0.028755,0.077539,0.058169
2024-03-01,0.017719,0.018599,0.028594,0.014325,0.018986
2024-04-01,-0.069106,-0.065554,-0.039934,-0.070552,-0.065856
2024-05-01,0.052659,0.041648,0.141225,0.034628,0.042705
2024-06-01,-0.046597,-0.030708,-0.031514,-0.014798,-0.032041
2024-07-01,0.067561,0.063844,0.090235,0.059687,0.063965
2024-08-01,-0.011234,-0.013841,-0.031915,-0.009824,-0.013807
2024-09-01,0.016762,0.018997,0.046935,0.011691,0.018889
2024-10-01,-0.019178,-0.019353,0.032251,-0.005920,-0.019562
2024-11-01,0.109107,0.113046,0.139549,0.154031,0.111914
2024-12-01,-0.038963,-0.036813,-0.041140,-0.012924,-0.037530
2025-01-01,0.022188,0.027694,0.057287,0.054090,0.027310
2025-02-01,-0.086707,-0.067487,-0.079542,-0.081193,-0.069042
2025-03-01,-0.116463,-0.072969,-0.112637,-0.087129,-0.076592
2025-04-01,0.012002,-0.017716,-0.013895,0.009891,-0.015052
2025-05-01,0.090456,0.066815,0.041250,0.092563,0.068920
2025-06-01,0.070469,0.056161,0.025495,0.057652,0.057974
2025-07-01,0.032730,0.012447,0.084242,0.013775,0.014215
2025-08-01,0.067221,0.059978,0.042565,0.036233,0.060812
2025-09-01,0.066448,0.015161,0.075705,0.043659,0.019981
2025-10-01,0.015264,-0.006494,0.010426,0.017132,-0.004431
2025-11-01,-0.015892,-0.003212,-0.058475,-0.034939,-0.004451
2025-12-01,0.018484,0.002643,0.026105,0.006270,0.004105
2026-01-01,0.031583,0.034276,-0.007872,0.006698,0.034071
2026-02-01,0.033405,0.008024,-0.014671,-0.026117,0.010408
2026-03-01,-0.041502,-0.059974,-0.006573,-0.050904,-0.058304
2026-04-01,0.151563,0.114945,0.139998,0.102915,0.118624
2026-05-01,0.070552,0.046752,0.053564,0.089113,0.048917
2026-06-01,0.006863,0.026010,-0.020701,-0.003629,0.024139
2026-07-01,-0.078046,-0.010042,-0.059346,0.004527,-0.015645
2026-08-01,0.060946,0.025709,0.069022,0.069800,0.028685
