gross,mean_realised_gross
0.05,0.027013268652072393
0.075,0.04051935700711391
0.1,0.05402508621255964
0.125,0.06753045988886734
0.15,0.08103548165426444
0.175,0.09454015512478403
0.2,0.10804448391430123
0.225,0.12154847163456897
0.25,0.13505212189525428
0.275,0.1485554383039738
0.3,0.1620584244663295
0.325,0.1755610839859446
0.35,0.1890634204644988
0.375,0.20256543750176398
0.4,0.21606713869563912
0.425,0.2295685276421859
0.45,0.24306960793566387
0.475,0.25657038316856534
0.5,0.2700708569316504
0.525,0.28357103281398194
0.55,0.29707091440296013
0.575,0.3105705052843577
0.6,0.32406980904235416
0.625,0.3375688292595707
0.65,0.3510675695171042
0.675,0.36456603339456234
0.7,0.37806422447009724
0.725,0.3915621463204408
0.75,0.40505980252093765
0.775,0.4185571966455802
0.8,0.4320543322670426
