panel,shelf,n,dd_pass_rate,majority_base,bstar,agreement,misclassified,bstar_lo,bstar_hi
U56,NARROW,28,0.7142857142857143,0.7142857142857143,0.48,1.0,0,0.48,0.61
U56,WIDE,56,0.7857142857142857,0.7857142857142857,0.54,0.9821428571428571,1,0.54,0.595
B136,NARROW,28,0.6785714285714286,0.6785714285714286,0.49,1.0,0,0.49,0.52
B136,WIDE,56,0.7142857142857143,0.7142857142857143,0.515,0.9285714285714286,4,0.515,0.61
SMALL,NARROW,28,0.5714285714285714,0.5714285714285714,0.365,1.0,0,0.365,0.48
SMALL,WIDE,56,0.5,0.5,0.355,0.9464285714285714,3,0.355,0.38
