fit_on,scored_on,bstar,agreement
U56,U56,0.54,0.9821428571428571
U56,B136,0.54,0.9285714285714286
U56,SMALL,0.54,0.7857142857142857
B136,U56,0.515,0.9642857142857143
B136,B136,0.515,0.9285714285714286
B136,SMALL,0.515,0.7857142857142857
SMALL,U56,0.355,0.6964285714285714
SMALL,B136,0.355,0.6964285714285714
SMALL,SMALL,0.355,0.9464285714285714
