panel,cell,tag,match,stat,obs,se,t,p,lo,hi
U56,"c=0.03,G=0.75",LIVE,target-matched,Sharpe,0.08208770479895455,0.12087574787805525,0.6791081440237973,0.5005,-0.15455785240310962,0.32393265381790504
U56,"c=0.03,G=0.75",LIVE,target-matched,MaxDD,0.10470918035737886,0.03877229398129718,2.7006186533066123,0.0105,0.01766070034485642,0.17090802330999114
U56,"c=0.03,G=0.75",LIVE,realised-matched,Sharpe,0.08270705253453525,0.12083529929732581,0.6844610226936032,0.497,-0.15415426739233126,0.32365191771886365
U56,"c=0.03,G=0.75",LIVE,realised-matched,MaxDD,0.043443113522598,0.028596005218095143,1.519202181957493,0.112,-0.025441296023888577,0.08956635359919084
U56,"c=0.10,G=1.00",PICK,target-matched,Sharpe,0.053079061294837304,0.11808702270894085,0.44949106241475656,0.664,-0.18123377058586734,0.2807091027008638
U56,"c=0.10,G=1.00",PICK,target-matched,MaxDD,0.12883643725042893,0.04704382082552528,2.7386473927841375,0.008,0.017674599507438587,0.19898590116857975
U56,"c=0.10,G=1.00",PICK,realised-matched,Sharpe,0.053683028061585425,0.11797672792486776,0.4550306573663655,0.66,-0.1801567881713064,0.28091961445956504
U56,"c=0.10,G=1.00",PICK,realised-matched,MaxDD,0.045553768130796035,0.03516311761261399,1.2954985571147033,0.1855,-0.04477693573907832,0.09039484707664527
B136,"c=0.03,G=0.75",LIVE,target-matched,Sharpe,-0.016390112892602282,0.12177399410485563,-0.13459452498937735,0.898,-0.25961951747249634,0.22723113613417545
B136,"c=0.03,G=0.75",LIVE,target-matched,MaxDD,0.13130055335656687,0.043823913353034635,2.996093760473694,0.0045,0.02114691851826963,0.18852519173126836
B136,"c=0.03,G=0.75",LIVE,realised-matched,Sharpe,-0.016055342866819977,0.12168709218697438,-0.13193957204721976,0.9005,-0.25911314317707085,0.22693893746675425
B136,"c=0.03,G=0.75",LIVE,realised-matched,MaxDD,0.06278658298743511,0.03275954557256061,1.9165889480477147,0.0485,-0.02312883082719934,0.10214906520269924
B136,"c=0.10,G=1.00",PICK,target-matched,Sharpe,0.00107012043502408,0.11320579183683312,0.00945287708041013,0.994,-0.22343661553837116,0.2205717434462248
B136,"c=0.10,G=1.00",PICK,target-matched,MaxDD,0.13525323205196804,0.047350304207161846,2.8564385027015446,0.0095,0.023920081630773485,0.20670400042790588
B136,"c=0.10,G=1.00",PICK,realised-matched,Sharpe,0.0011861234306880242,0.11315133202274665,0.010482628966750295,0.9895,-0.224439916267982,0.22088394706514422
B136,"c=0.10,G=1.00",PICK,realised-matched,MaxDD,0.05023654841472158,0.03659149164072109,1.3729024470490703,0.1485,-0.0357848367115172,0.10256619848120731
SMALL,"c=0.03,G=0.75",LIVE,target-matched,Sharpe,-0.04421664487670507,0.14281702690415443,-0.3096034544002879,0.7425,-0.3262046103179186,0.23672506027830273
SMALL,"c=0.03,G=0.75",LIVE,target-matched,MaxDD,0.20819356602652261,0.07741626573788507,2.6892741989315465,0.0075,0.06623754572241794,0.3651480432027209
SMALL,"c=0.03,G=0.75",LIVE,realised-matched,Sharpe,-0.04515849517163639,0.14250133766314255,-0.3168987457393986,0.7395,-0.32627261029097415,0.23681174694669527
SMALL,"c=0.03,G=0.75",LIVE,realised-matched,MaxDD,0.06389972683643685,0.04801253376603872,1.3308967851564586,0.1585,-0.025920494731762073,0.15913691520732964
SMALL,"c=0.10,G=1.00",PICK,target-matched,Sharpe,0.015926266512150122,0.12676760053349656,0.12563357234123737,0.8975,-0.23463226639342843,0.2679193138557241
SMALL,"c=0.10,G=1.00",PICK,target-matched,MaxDD,0.2399800568079956,0.07933095057168914,3.025049556051045,0.001,0.09324750104418505,0.3943558078646236
SMALL,"c=0.10,G=1.00",PICK,realised-matched,Sharpe,0.014420933487057308,0.12648727984424166,0.11401093852927711,0.905,-0.23340003782338528,0.26686741912111406
SMALL,"c=0.10,G=1.00",PICK,realised-matched,MaxDD,0.06950446535963817,0.051148805453482445,1.3588678121300286,0.1485,-0.021234996468011587,0.18321542200738597
