panel,c,c_label,G,want_gross,twin_target,twin_gross,band_Sharpe,twin_Sharpe,dSharpe,band_CAGR,twin_CAGR,dCAGR,band_MaxDD,twin_MaxDD,dMaxDD,odSharpe,odCAGR,odMaxDD,twin4b,band4b,twin_turn,band_turn
U56,0.0,0.00,0.25,0.1775289750091132,0.177337646484375,0.1775297576625118,1.166975068606546,1.1170287122750686,0.04994635633147748,0.02703698137834376,0.030885660315786767,-0.0038486789374430064,-0.04092724724272878,-0.05687722792217409,0.015949980679445308,0.12944014972984674,-0.0021920893708495814,0.01594998067944553,False,False,0.2227306390334516,1.057335265575722
U56,0.0,0.00,0.5,0.3549652105095191,0.35467529296875,0.354969455071947,1.1670951489634656,1.1177825309080063,0.04931261805545928,0.05426500353742858,0.06199525578095155,-0.007730252243522973,-0.08096504439189556,-0.11147419337619457,0.030509148984299017,0.1289118316210498,-0.004313983706617508,0.030509148984299017,False,False,0.42343134730982607,2.0990760212360096
U56,0.0,0.00,0.75,0.5323131825450128,0.5319976806640625,0.5323097867395089,1.1670966589694969,1.1184235938595084,0.04867306510998848,0.08165184515098312,0.0932817382378579,-0.011629893086874787,-0.12011689731741959,-0.16384267444802547,0.04372577713060588,0.12838759057095195,-0.0063469789050196734,0.0437257771306061,False,False,0.6090365904278803,3.1327106349295484
U56,0.0,0.00,1.0,0.7095773795780793,0.709320068359375,0.7095719904868574,1.1669645630809804,1.1189437499165524,0.04802081316442797,0.1091617940232088,0.12469953073896001,-0.015537736715751205,-0.15838559366707283,-0.214042319864154,0.055656726197081174,0.12785596490215778,-0.008278066838941722,0.05565672619708151,False,True,0.7874818685253414,4.167052539107
U56,0.03,0.03,0.25,0.17770611531695749,0.177520751953125,0.1777130139247701,1.2010657666396263,1.117029550607887,0.08403621603173939,0.0284923857731747,0.030917673682678837,-0.002425287909504137,-0.04099165064261756,-0.05693476689715349,0.015943116254535927,0.15115554833999822,-0.0008740382670591185,0.015943116254535927,False,False,0.2229479887143537,0.6062768481555028
U56,0.03,0.03,0.5,0.3553132978191471,0.355010986328125,0.35530525997212475,1.2011614169455693,1.1177838528844257,0.0833775640611436,0.05723186568691352,0.062054329885650183,-0.0048224641987366645,-0.08117574860687349,-0.1115754164760625,0.030399667869189018,0.15054900276382455,-0.0016193776723305575,0.03039966786919024,False,False,0.4237946775524372,1.1948263404935324
U56,0.03,0.03,0.75,0.5328263552938667,0.5325164794921875,0.5328285205267086,1.20113235219264,1.118425299658105,0.08270705253453503,0.08618487105855244,0.09337349179946353,-0.007188620740911089,-0.12054956914840886,-0.16399268267100686,0.043443113522598,0.14993893740056574,-0.002229894143295219,0.043443113522598,False,False,0.6095646900502212,1.773555812069992
U56,0.03,0.03,1.0,0.7102501067593335,0.709991455078125,0.7102430084654118,1.2009615313933406,1.1189454729341926,0.08201605845914806,0.11531379250731555,0.12481867008640513,-0.009504877579089577,-0.1591100739598582,-0.21422833757673987,0.05511826361688166,0.14931503535438861,-0.0026831525353143704,0.05511826361688221,False,True,0.7881554652451461,2.351948163305852
U56,0.05,0.05,0.25,0.17158284699202453,0.17138671875,0.17157387683386735,1.1445648582818873,1.117001400263543,0.027563458018344145,0.027481577852000783,0.029845356327001582,-0.0023637784750007995,-0.042773905191070494,-0.0550058870650707,0.012231981874000208,0.08309158687415641,-0.0009496744011248115,0.012231981874000653,False,False,0.21565388148787432,0.4886378581165952
U56,0.05,0.05,0.5,0.3430709684178604,0.3427734375,0.34306344990304927,1.1447067322146078,1.117735429172123,0.02697130304248474,0.055145533939391145,0.05990123071151632,-0.004755696772125173,-0.08466600953147763,-0.10788021745042498,0.02321420791894735,0.08248439490669224,-0.0018493259226679548,0.02321420791894735,False,False,0.4105127244071294,0.9580906109302644
U56,0.05,0.05,0.75,0.5144691830578064,0.51416015625,0.5144740907712649,1.1447236139920502,1.1183643608439502,0.02635925314810006,0.08295678178586763,0.09012773294638521,-0.00717095116051758,-0.12567318985609943,-0.15867372753226194,0.03300053767616251,0.08186538411517041,-0.0026924296674415427,0.03300053767616207,False,False,0.5908364608378661,1.4160931866924855
U56,0.05,0.05,1.0,0.6857823254251225,0.685516357421875,0.685780682345365,1.1445980048528355,1.1188814772770577,0.025716527575777803,0.11087619460728049,0.12047625639622739,-0.009600061788946901,-0.16579221131823252,-0.20742751722104824,0.04163530590281572,0.08122312188822778,-0.0034677824848137195,0.04163530590281528,False,True,0.763611036596361,1.8720441104175396
U56,0.1,0.10,0.25,0.17255519882494716,0.17236328125,0.17255125911447722,1.1726573927417476,1.117005890599151,0.05565150214259673,0.028977157414448618,0.030016055479227033,-0.0010388980647784152,-0.04200007537319905,-0.05531315515671631,0.013313079783517257,0.06888149684455835,-0.0011141478372800329,0.013313079783517257,False,False,0.21681692575002284,0.35189405109931104
U56,0.1,0.10,0.5,0.34501265661653796,0.3447265625,0.34501728193958237,1.172759074037731,1.1177431953456893,0.05501587869204161,0.05819386160743978,0.06024480956871092,-0.0020509479612711434,-0.0831604473098303,-0.10847068642078739,0.02531023911095709,0.06829650779810503,-0.002183587490018457,0.0253102391109572,False,False,0.4126373487122483,0.683622188043609
U56,0.1,0.10,0.75,0.5173773889861106,0.517059326171875,0.517373017572571,1.1727374481314012,1.1183740692171,0.05436337891430121,0.0876137006887876,0.090640267003258,-0.0030265663144704025,-0.12347909752914066,-0.15951534439704274,0.03603624686790208,0.06771022940427862,-0.003194855338247926,0.03603624686790219,False,False,0.5938000771864052,1.0028320298349582
U56,0.1,0.10,1.0,0.6896544285483668,0.68939208984375,0.6896544845412802,1.172574806347033,1.1188917782854475,0.053683028061585425,0.11719587244277263,0.12116378987750287,-0.003967917434730239,-0.16295337966879686,-0.2085071477995929,0.045553768130796035,0.06711122287848803,-0.004146396485779746,0.0455537681307967,False,True,0.7674959931748819,1.3189246846238913
U56,0.15,0.15,0.25,0.16102888538995924,0.160858154296875,0.16103630008519765,1.1164518724097723,1.1169527728627837,-0.0005009004530114325,0.028048124615773107,0.028005442308859596,4.2682306913510715e-05,-0.042405530193865726,-0.051688754578467,0.009283224384601274,-0.0016321500545843914,-0.00038605732835095274,0.009283224384601607,False,False,0.2030714606593025,0.2952614347660794
