key,start,end,total,unique,repaired,customer_query
alias/WMT_0,2010-01-01,2010-12-31,56,56,False,WMT
alias/WMT_0,2011-01-01,2011-12-31,67,67,False,WMT
alias/WMT_0,2012-01-01,2012-12-31,68,68,False,WMT
alias/WMT_0,2013-01-01,2013-12-31,65,65,False,WMT
alias/WMT_0,2014-01-01,2014-12-31,67,67,False,WMT
alias/WMT_0,2015-01-01,2015-12-31,55,55,False,WMT
alias/WMT_0,2016-01-01,2016-12-31,59,59,False,WMT
alias/WMT_0,2017-01-01,2017-12-31,60,60,False,WMT
alias/WMT_0,2018-01-01,2018-12-31,71,71,False,WMT
alias/WMT_0,2019-01-01,2019-12-31,70,70,False,WMT
alias/WMT_0,2020-01-01,2020-12-31,73,73,False,WMT
alias/WMT_0,2021-01-01,2021-12-31,67,67,False,WMT
alias/WMT_0,2022-01-01,2022-12-31,68,68,False,WMT
alias/WMT_0,2023-01-01,2023-12-31,71,71,False,WMT
alias/WMT_0,2024-01-01,2024-12-31,66,66,False,WMT
alias/WMT_0,2025-01-01,2025-12-31,59,59,False,WMT
alias/WMT_0,2026-01-01,2026-09-25,46,46,False,WMT
alias/WMT_1,2010-01-01,2010-12-31,211,211,False,WMT
alias/WMT_1,2011-01-01,2011-12-31,202,202,False,WMT
alias/WMT_1,2012-01-01,2012-12-31,184,184,False,WMT
alias/WMT_1,2013-01-01,2013-12-31,166,166,False,WMT
alias/WMT_1,2014-01-01,2014-12-31,175,175,False,WMT
alias/WMT_1,2015-01-01,2015-12-31,148,148,False,WMT
alias/WMT_1,2016-01-01,2016-12-31,154,154,False,WMT
alias/WMT_1,2017-01-01,2017-12-31,152,152,False,WMT
alias/WMT_1,2018-01-01,2018-12-31,110,110,False,WMT
alias/WMT_1,2019-01-01,2019-12-31,77,77,False,WMT
alias/WMT_1,2020-01-01,2020-12-31,68,68,False,WMT
alias/WMT_1,2021-01-01,2021-12-31,57,57,False,WMT
alias/WMT_1,2022-01-01,2022-12-31,57,57,False,WMT
