key,start,end,total,unique,repaired
generic,2010-01-01,2010-12-31,4840,4840,True
generic,2011-01-01,2011-12-31,4698,4698,True
generic,2012-01-01,2012-12-31,4150,4150,True
generic,2013-01-01,2013-12-31,4057,4057,True
generic,2014-01-01,2014-12-31,3745,3745,True
generic,2015-01-01,2015-12-31,3600,3600,True
generic,2016-01-01,2016-12-31,3415,3415,True
generic,2017-01-01,2017-12-31,3163,3163,True
generic,2018-01-01,2018-12-31,3121,3121,True
generic,2019-01-01,2019-12-31,3019,3019,True
generic,2020-01-01,2020-12-31,2914,2914,True
generic,2021-01-01,2021-12-31,2956,2956,True
generic,2022-01-01,2022-12-31,3062,3062,True
generic,2023-01-01,2023-12-31,3005,3005,True
generic,2024-01-01,2024-12-31,3073,3073,True
generic,2025-01-01,2025-12-31,3652,3652,True
generic,2026-01-01,2026-09-25,3026,3026,True
