hold_month,Q1,Q2,Q3,Q4,Q5,spread_net
2010-03-01,-0.009690,-0.013660,0.084032,0.003371,0.000897,0.010170
2010-04-01,0.006910,-0.010926,0.045304,0.055366,-0.026390,-0.033717
2010-05-01,0.093517,0.007558,-0.016628,-0.013615,0.013268,-0.080665
2010-06-01,0.022361,0.022312,0.022894,0.014033,-0.007035,-0.029813
2010-07-01,0.018730,0.034767,-0.012487,0.028363,-0.027393,-0.046540
2010-08-01,-0.008817,-0.030815,0.003644,0.007040,0.008231,0.016632
2010-09-01,-0.019777,0.029910,-0.009096,-0.023220,0.020168,0.039528
2010-10-01,-0.011404,-0.010952,0.013630,-0.003323,0.019168,0.030155
2010-11-01,0.030020,-0.014074,0.038979,-0.035556,-0.011849,-0.042286
2010-12-01,-0.009709,0.031511,-0.028237,-0.000514,0.010181,0.019473
2011-01-01,-0.027467,0.048596,0.036692,0.040033,-0.003486,0.023564
2011-02-01,0.001230,-0.005302,-0.008581,-0.032575,0.002610,0.000964
2011-03-01,0.015416,-0.032186,0.004744,0.005741,0.016455,0.000622
2011-04-01,-0.014056,-0.027817,-0.025442,-0.010120,0.000331,0.013971
2011-05-01,-0.003392,0.010966,0.011149,0.011150,-0.020243,-0.017268
2011-06-01,-0.039502,0.004218,0.012049,-0.063372,-0.001675,0.037410
2011-07-01,0.006796,-0.004503,-0.019522,0.004014,0.022295,0.015083
2011-08-01,-0.024298,-0.002251,-0.010358,0.023212,0.015250,0.039131
2011-09-01,-0.000187,0.007678,-0.021263,0.044096,-0.045916,-0.046146
2011-10-01,0.040439,-0.050567,-0.055922,-0.006864,-0.005613,-0.046469
2011-11-01,-0.026281,-0.009602,-0.036068,0.004735,0.009110,0.034974
2011-12-01,-0.014322,-0.026664,0.012283,0.008032,0.003870,0.017775
2012-01-01,0.078155,0.014347,-0.035519,-0.019450,0.009481,-0.069091
2012-02-01,0.055778,-0.000232,0.013811,0.022966,0.025148,-0.031046
2012-03-01,-0.018466,-0.018707,-0.018272,0.003286,0.002507,0.020557
2012-04-01,0.003421,-0.025988,-0.006977,-0.013317,0.036022,0.032184
2012-05-01,0.001522,0.052268,0.011403,-0.009391,-0.007725,-0.009664
2012-06-01,-0.013133,-0.032855,-0.003208,0.001956,0.028672,0.041388
2012-07-01,-0.001818,-0.011573,0.013359,-0.032943,0.011064,0.012466
2012-08-01,-0.025086,0.030696,-0.014274,-0.017591,-0.006303,0.018366
2012-09-01,-0.036309,0.001064,-0.019457,0.004026,0.030147,0.066040
2012-10-01,0.009256,0.001118,-0.083754,-0.035059,0.016914,0.007242
2012-11-01,-0.006072,0.000807,0.059249,0.021660,-0.000723,0.004932
2012-12-01,-0.009849,0.007332,-0.016136,-0.013875,0.001053,0.010486
2013-01-01,-0.010932,0.003842,0.006576,0.001921,-0.001394,0.009122
2013-02-01,0.026150,0.019411,-0.016268,-0.000855,0.000637,-0.025930
2013-03-01,-0.003048,0.005367,0.039107,-0.028655,-0.027105,-0.024474
2013-04-01,0.021114,-0.021093,-0.007169,-0.004974,0.096896,0.075365
2013-05-01,-0.018054,0.057706,-0.015651,-0.004971,0.001345,0.018982
2013-06-01,0.005056,0.002699,0.025185,-0.037251,0.001802,-0.003670
2013-07-01,-0.011864,0.004162,-0.020742,0.026312,-0.000394,0.011053
2013-08-01,-0.000157,-0.014255,-0.019715,0.002762,-0.008965,-0.009224
2013-09-01,0.023200,-0.030066,-0.019382,0.022645,-0.040280,-0.063897
2013-10-01,-0.025454,0.015609,0.076339,0.014071,0.007170,0.032208
2013-11-01,-0.001042,0.024620,0.005553,-0.012869,-0.022088,-0.021463
2013-12-01,-0.020500,-0.005336,0.007358,-0.010806,-0.018011,0.002073
2014-01-01,0.018676,0.033942,-0.001270,0.021818,0.039315,0.020222
2014-02-01,-0.004511,-0.001072,-0.013909,-0.009382,0.018782,0.022877
2014-03-01,0.021192,0.010348,-0.004126,0.033496,-0.003713,-0.025322
