ticker,close,r1d,r1m,r3m,r6m,mom_12_1,above_50,above_200,ma200,d200,rsi14,off_52w_high,vol20,score
SPY,760.88,-0.00446162221482016,-0.021854270444399804,0.028433035759953817,0.15496768038167796,0.19595988676617426,True,True,712.5461,0.06783274352863233,47.3397961331435,-0.021854270444399804,0.08827911898318325,2.0890340176728266
VTI,374.68,-0.00433154817407877,-0.025032514761280766,0.02565183430865181,0.15578135719971664,0.19707900274897483,True,True,351.3207,0.06649004470834097,46.321187058390315,-0.025032514761280766,0.09185649534669804,2.0479510476428238
JPM,350.13,-0.017123784957437937,-0.03574669106436934,0.0966179077446454,0.24720310215282448,0.21107660262664152,False,True,317.7833,0.10178864314511471,44.207936481010385,-0.04121252011287113,0.15588641205612225,1.9068560836911712
XLE,64.53,-0.009364455266613003,0.0568293044212691,0.129372247321754,0.13379612389446494,0.41282622564881466,True,True,54.9006,0.17539691131508062,61.07488918623102,-0.011943022637492695,0.15587404488420573,1.8487048049469448
DBC,33.15,-0.0003015175385768787,0.11316322234823306,0.1611209251048642,0.15465003772178987,0.3853410932726835,True,True,27.4213,0.20891222311669844,71.55667872289905,-0.013979697231938926,0.1807967129926024,1.770625775806537
IWM,287.91,-0.0033923325024602935,-0.05136736849387358,-0.01486715761273405,0.17242406493929185,0.273472828914505,False,True,273.4143,0.05301728481356527,37.406110897578195,-0.05631122908649622,0.12594609944704468,1.7489691387023212
QQQ,709.18,-0.007973383180531979,-0.03126752143842437,-0.01577710518886133,0.19728926292941917,0.25940942268433953,False,True,659.788,0.0748604748711128,46.914766798637125,-0.048515906717061075,0.12905817186028212,1.743751102456861
EFA,105.85,-0.007966246470779259,-0.026129394640654002,0.02385285475405885,0.11656301644869616,0.20405579614425706,False,True,100.7544,0.05057441105151694,43.61727882188742,-0.027203374238462863,0.10863225255436512,1.7436983605664025
XLF,57.03,-0.0038428160821506463,-0.021112248157784674,0.07292411176126579,0.17659958533524822,0.09502345919230515,False,True,53.3748,0.06848136038008557,46.29431894319872,-0.026127092863969192,0.13175797787654325,1.7416263083996049
DIA,524.49,-0.0024724468842978187,-0.02413995477534392,0.026208903473838863,0.1323926865032916,0.18136268189689542,False,True,497.8208,0.053571769888574705,43.98789230537835,-0.03294913105749908,0.10976255795399636,1.7346970581927075
RSP,215.01,0.0006515539294915662,-0.03466080621734868,0.0198095371538467,0.12012582451008735,0.18963943170493414,False,True,203.4362,0.05689143318710732,41.023793273135205,-0.03483417702921099,0.10152129621198543,1.7315833758082793
AAPL,333.08,0.0024377692400032736,0.0911353466443261,0.14508030611671074,0.3340572170888554,0.3319463608083322,True,True,284.8264,0.1694138517667081,63.36912974570687,-0.019738663199611817,0.23864944618964676,1.729369801627382
KRE,74.11,0.0028416654957594822,-0.04681671240705387,0.015439495357070454,0.18802620746226917,0.22126167884101733,False,True,69.6784,0.0636005124268697,45.68993330389447,-0.049018345693122134,0.15539900618394617,1.6620017798161113
XLK,184.28,-0.018063619239750195,-0.03402005214559267,-0.0016248328356602837,0.35035905293749847,0.41497210641708593,True,True,161.3394,0.1421883869350693,48.773879724737405,-0.06917048552686855,0.2170483768706898,1.6036730571176199
XBI,157.6,0.008962926905417001,0.0047176175588719005,0.17912195977332845,0.29487573436758163,0.6465824008618628,False,True,136.3061,0.15622138163665777,45.10277789978151,-0.07048066489620919,0.33332058869012104,1.5728118354683576
V,375.28,0.01303816011096881,0.026898306865281496,0.16621842295409905,0.22666078399236933,0.07244090144362736,True,True,334.0867,0.12330138183633577,55.64125122820456,-0.023064548162859966,0.19789727203321902,1.5502869597026812
USO,156.66,0.011362232633793212,0.2529793264946425,0.24898352292872405,0.30669784352034735,0.7127397093054366,True,True,109.5546,0.42997193796701527,73.074429377749,-0.010859964437908487,0.3898297858596365,1.4911737728410335
XOM,165.08,-0.005482279848149307,0.04753117099290649,0.13018790146403258,0.07146204631379116,0.44602235695493,True,True,144.3058,0.14395931854460375,59.76836303915633,-0.024455249281575275,0.2320041015681264,1.467601110692531
BRK-B,514.95,0.00897391526473279,0.01582076351197359,0.05252940665719219,0.050854056873685494,0.020164595077231118,True,True,492.5432,0.04549196992858073,62.577725382337775,-0.02733174260553095,0.10377895536243108,1.4628842249570861
MSFT,505.41,0.019732459058061425,0.019081948002393156,0.29590381941374266,0.2829179457417066,-0.001962399723640318,True,True,429.8259,0.1758480703054477,61.58017225766399,-0.059958400685496405,0.22730805229396875,1.4344661446389169
XLV,167.75,0.014453310237220851,-0.003741565889910481,0.09544132419129014,0.12946448247545406,0.2261732173047295,True,True,154.9278,0.08276249323950191,47.89956880122492,-0.0451388490800777,0.21127160410349113,1.4253943669849933
UUP,28.17,0.003562535894439778,-0.00035486972226894675,0.007871173787093566,0.010039465499215083,0.06553626322397199,False,True,27.637,0.01928752023919933,54.07147541605622,-0.015034975504908843,0.05378529227261873,1.4020220661457408
AMZN,253.54,-0.012617826577485336,-0.04371444718904027,0.06283793771791579,0.22087925806148934,0.15298981692306235,False,True,239.934,0.056707233786164046,45.84245200211903,-0.10731637527833238,0.26375658504147415,1.3092873078283969
HYG,78.53,-0.0008905813763757653,-0.010397709579239356,-0.002858197963533926,0.02184322215621548,0.03881128135165279,False,True,78.1785,0.004496279147981452,33.070850503778075,-0.012007376721018148,0.02791800965986426,1.300426264251122
EEM,65.99,-0.02727002614957119,-0.010347966980328471,-0.02279023056975238,0.1678344640906848,0.3001678414576954,True,True,61.8268,0.06733705359710696,45.635598352045676,-0.07330432927700103,0.21999136135877456,1.2988344623317691
GOOGL,349.39,0.032171387439992705,0.00939656155921309,-0.027984306557847338,0.15728275776043654,0.44376457601555797,True,True,336.5391,0.03818535176974658,55.27304228279193,-0.13113253561758642,0.22602558113193966,1.2934681288585772
LLY,1138.28,0.020238486253659094,-0.057145451405446135,0.006099853748089634,0.15916826405515394,0.6063945507735824,False,True,1062.3641,0.07145938827534604,42.53194053266928,-0.11095485598812804,0.3032205466577234,1.2733015542745638
SHY,81.34,-0.00036876499543525565,-0.005448143197461119,1.7821623557345845e-05,0.0030944139190951514,0.022124646051716823,False,True,81.2181,0.001500333808676535,31.550229501638796,-0.006054072155500689,0.013021691335976018,1.2394687831143507
UNH,383.55,0.011764993796097967,-0.03886636059869086,-0.055760767438180925,0.36743810351635187,0.15875558258881828,False,True,351.154,0.09225573497613548,39.6181695592165,-0.1210038216385887,0.2118520289677155,1.186200337179532
SMH,541.5,-0.047543714322890174,-0.08083242040989447,-0.1265565829922446,0.39803273377329984,0.944372467148153,False,True,483.0724,0.1209500566521815,42.13616244652566,-0.1904740223046455,0.3501797601808321,1.1265830699521235
