ticker,close,r1d,r1m,r3m,r6m,mom_12_1,above_50,above_200,rsi14,off_52w_high,vol20,score
XLE,65.1,0.0,0.06616437946228504,0.2232242950193042,0.099236917556075,0.39513579868572424,True,True,74.69532277227155,0.0,0.13321814538049861,2.346147587482106
RSP,218.6,0.0,-0.01854258386048535,0.017169989197933333,0.07867965935932486,0.15872766008318928,True,True,43.3721810862478,-0.018718849436502927,0.07664442703156321,2.2554268020605392
JPM,356.22,0.0,-0.018974923325748017,0.06982611020441198,0.14237058727388918,0.11877183957496706,True,True,51.19457536560911,-0.024535822429442633,0.11174323348971424,2.2006455817773083
SPY,765.16,0.0,-0.01635217727469096,0.027363708807950138,0.06744668399540243,0.13272960956923296,True,True,49.34718217706169,-0.01635217727469096,0.06225314747602579,2.1944693209237682
EFA,107.06,0.0,-0.014996824419902133,0.025773639371680535,0.06288281964005549,0.14521271605755048,True,True,46.19322558589587,-0.01608308096007105,0.07370528208692015,2.174150160544844
VTI,376.88,0.0,-0.019307788565826267,0.022019728013209283,0.06715267020097082,0.13749819340665703,True,True,47.22323827693361,-0.019307788565826267,0.06690576136533913,2.1335118397869968
XLF,57.66,0.0,-0.010298635279900603,0.0366774713179272,0.10995549669169846,0.05445194215123683,True,True,50.20854335949303,-0.011147341975139113,0.09910128727187056,2.0081853244639976
DBC,31.93,0.0,0.07219609029406149,0.20173130116353288,0.02668810011335543,0.31595235488451934,True,True,72.63933247903354,0.0,0.14559089680315007,1.9279404297343858
DIA,530.62,0.0,-0.012734538173407195,0.006309635372295119,0.07309783925216107,0.11310345821394852,True,True,46.32079703976392,-0.02164667217568783,0.07575977420721301,1.9100010756188353
XOM,164.15,0.0,0.04162971539606097,0.2051418866168473,0.07778303424565447,0.34835532701868654,True,True,62.67344994803998,-0.029951243880687706,0.2000651237090694,1.8373889308662534
AAPL,324.96,0.0,0.06453508831562482,0.05381933327942989,0.19970474634391788,0.11789536033795822,True,True,65.22060360360926,-0.043635977926625324,0.16418775773285443,1.8012918611900683
MSFT,496.82,0.0,0.001761534599568293,0.2746941185525653,0.22329038538934332,0.02268916278062294,True,True,57.38420176600287,-0.03253952255827297,0.1708381093374751,1.793692878199753
