cal_quarter,n_ciks_10k,n_ciks_10q,n_ciks_10k_or_10q,n_ciks_8k,n_ciks_any,n_filings_10k,n_filings_10q,n_filings_8k
2010Q1,5910,2320,7946,7022,8919,5944,2443,19918
2010Q2,1508,7978,8435,7173,9108,1546,8170,21994
2010Q3,796,7763,8313,7040,9016,809,7914,18686
2010Q4,861,7827,8397,6999,9013,887,8027,19844
2011Q1,5778,2233,7764,7050,8856,5826,2357,20339
2011Q2,1384,7758,8204,6958,8816,1420,7937,22184
2011Q3,779,7517,8064,6701,8635,808,7728,17822
2011Q4,786,7449,7987,6657,8538,813,7654,18479
2012Q1,5539,2085,7414,6588,8319,5588,2164,19348
2012Q2,1323,7361,7832,6681,8433,1339,7496,21238
2012Q3,697,7162,7634,6398,8214,709,7304,17588
2012Q4,764,7061,7585,6508,8142,780,7227,19179
2013Q1,4848,1958,6594,6437,7830,4939,2078,18878
2013Q2,1738,6972,7416,6457,7993,1759,7114,21268
2013Q3,730,6903,7368,6306,7900,746,7051,17542
2013Q4,670,6861,7332,6417,7901,683,7015,18681
2014Q1,5453,1827,7061,6331,7918,5570,1948,18731
2014Q2,1205,6880,7305,6457,7867,1226,7021,21259
2014Q3,660,6802,7251,6346,7750,667,6932,18066
2014Q4,641,6808,7258,6411,7774,662,6982,18874
2015Q1,5537,1716,7056,6299,7864,5683,1831,19252
2015Q2,1103,6748,7151,6326,7650,1114,6881,21213
2015Q3,613,6629,7040,6287,7593,622,6782,17771
2015Q4,583,6556,6976,6220,7499,588,6679,18171
2016Q1,5359,1544,6736,6061,7486,5484,1654,18209
2016Q2,995,6303,6694,6012,7180,1012,6412,20377
2016Q3,572,6163,6557,5934,7099,579,6296,17046
2016Q4,545,6102,6501,5915,6998,551,6253,16989
2017Q1,5211,1429,6496,5790,7190,5286,1549,17914
2017Q2,936,6061,6417,5857,6899,949,6186,19861
2017Q3,500,5916,6272,5698,6755,514,6037,15939
2017Q4,506,5887,6253,5741,6713,518,6047,17071
2018Q1,4807,1297,5985,5657,6834,4878,1400,17367
2018Q2,1250,5833,6254,5690,6679,1282,6018,19050
2018Q3,451,5776,6102,5631,6580,467,5928,15471
2018Q4,488,5748,6114,5614,6496,493,5876,16293
2019Q1,4808,1197,5910,5531,6775,4891,1273,16449
2019Q2,1104,5678,5999,5532,6400,1119,5804,18635
2019Q3,478,5584,5921,5433,6356,489,5700,15346
2019Q4,445,5588,5920,5464,6324,452,5714,15997
2020Q1,5019,1126,6043,5495,6823,5095,1224,17631
2020Q2,789,5345,5716,5712,6325,794,5423,21647
2020Q3,437,5447,5743,5508,6295,457,5664,16248
2020Q4,432,5563,5891,5719,6441,436,5671,16803
2021Q1,5451,1101,6442,5876,7180,5527,1177,18499
2021Q2,739,6044,6344,6081,6845,754,6164,20514
2021Q3,452,6246,6540,5970,7032,472,6585,17080
2021Q4,446,6381,6708,6692,7546,450,6470,18470
2022Q1,5944,1137,6977,6057,7624,6031,1181,17222
2022Q2,926,6542,6842,5964,7201,939,6612,19320
2022Q3,401,6426,6725,5913,7088,404,6522,15993
2022Q4,429,6352,6667,6154,7127,441,6454,17150
2023Q1,5655,1076,6643,6005,7381,5738,1131,18122
2023Q2,858,6030,6349,6143,6903,867,6118,20496
2023Q3,370,5866,6135,5851,6615,371,5941,16367
2023Q4,401,5821,6106,5907,6585,405,5916,17043
2024Q1,4900,1023,5846,5727,6904,4985,1075,16997
2024Q2,1105,5544,5840,5715,6321,1106,5590,19546
2024Q3,415,5468,5748,5575,6218,416,5569,15704
2024Q4,382,5442,5734,5554,6165,384,5541,16215
2025Q1,5170,970,6067,5862,6743,5267,1033,16723
2025Q2,676,5354,5623,5466,6061,676,5399,18697
2025Q3,391,5302,5588,5410,6035,395,5420,16149
2025Q4,364,5344,5631,5386,6000,365,5438,16082
2026Q1,5294,948,6160,5326,6693,5395,986,15985
2026Q2,618,5408,5680,5400,6095,623,5473,18300
2026Q3,276,5337,5546,5393,6065,276,5382,14113
