year,n_ciks_10k,n_ciks_10q,n_ciks_10k_or_10q,n_ciks_8k,n_ciks_any,n_filings_10k,n_filings_10q,n_filings_8k
2010,8968,9115,9572,9130,10378,9186,26554,80442
2011,8638,8830,9272,8828,10041,8867,25676,78824
2012,8256,8380,8805,8427,9521,8416,24191,77353
2013,7914,8030,8528,8183,9244,8127,23258,76369
2014,7883,7873,8457,8040,9090,8125,22883,76930
2015,7782,7676,8328,7826,8936,8007,22173,76407
2016,7404,7148,7866,7463,8494,7626,20615,72621
2017,7088,6816,7560,7070,8172,7267,19819,70785
2018,6923,6549,7330,6909,7865,7120,19222,68181
2019,6793,6327,7148,6670,7696,6951,18491,66427
2020,6627,6236,7103,7012,7849,6782,17982,72329
2021,7001,7073,7926,7791,8466,7203,20396,74563
2022,7667,7104,7965,7404,8386,7815,20769,69685
2023,7255,6608,7536,7276,8106,7381,19106,72028
2024,6774,6146,7060,6797,7709,6891,17775,68462
2025,6565,5974,6925,6913,7511,6703,17290,67651
2026,6176,5876,6881,6282,7288,6294,11841,48398
