anchor,rho,trend,price_window,n,rev_mape,rev_bias,rev_median_ape,eps_mae,eps_median_ae,eps_bias,oi_mae_pct_rev,conv_price_mae
last,0.0000,last,all,36,0.0378,0.0029,0.0230,0.2577,0.1691,0.0805,0.0308,0.0629
last,0.0000,last,12,36,0.0369,0.0048,0.0249,0.2605,0.2282,0.0870,0.0323,0.0557
last,0.0000,trailing4,all,36,0.0427,0.0020,0.0347,0.2527,0.1598,0.0606,0.0303,0.0629
last,0.0000,trailing4,12,36,0.0443,0.0040,0.0332,0.2529,0.1786,0.0687,0.0309,0.0557
last,0.5000,last,all,36,0.0377,0.0017,0.0241,0.2696,0.2113,0.0525,0.0317,0.0556
last,0.5000,last,12,36,0.0378,0.0036,0.0264,0.2618,0.1886,0.0632,0.0315,0.0518
last,0.5000,trailing4,all,36,0.0428,0.0009,0.0305,0.2730,0.1595,0.0327,0.0313,0.0556
last,0.5000,trailing4,12,36,0.0440,0.0028,0.0331,0.2708,0.2145,0.0446,0.0317,0.0518
last,1.0000,last,all,36,0.0386,0.0006,0.0266,0.3042,0.2356,0.0244,0.0342,0.0573
last,1.0000,last,12,36,0.0394,0.0024,0.0255,0.2904,0.1912,0.0393,0.0337,0.0527
last,1.0000,trailing4,all,36,0.0443,-0.0003,0.0343,0.3160,0.2061,0.0048,0.0350,0.0573
last,1.0000,trailing4,12,36,0.0449,0.0015,0.0274,0.2993,0.1883,0.0205,0.0345,0.0527
yearago,0.0000,last,all,36,0.0378,0.0029,0.0230,0.3252,0.2139,0.0998,0.0406,0.0629
yearago,0.0000,last,12,36,0.0369,0.0048,0.0249,0.3183,0.2036,0.1063,0.0418,0.0557
yearago,0.0000,trailing4,all,36,0.0427,0.0020,0.0347,0.2975,0.2208,0.0777,0.0373,0.0629
yearago,0.0000,trailing4,12,36,0.0443,0.0040,0.0332,0.2950,0.2119,0.0859,0.0385,0.0557
yearago,0.5000,last,all,36,0.0377,0.0017,0.0241,0.3499,0.2235,0.0717,0.0424,0.0556
yearago,0.5000,last,12,36,0.0378,0.0036,0.0264,0.3324,0.2218,0.0824,0.0423,0.0518
yearago,0.5000,trailing4,all,36,0.0428,0.0009,0.0305,0.3247,0.2328,0.0499,0.0393,0.0556
yearago,0.5000,trailing4,12,36,0.0440,0.0028,0.0331,0.3145,0.2434,0.0618,0.0401,0.0518
yearago,1.0000,last,all,36,0.0386,0.0006,0.0266,0.3789,0.2172,0.0436,0.0448,0.0573
yearago,1.0000,last,12,36,0.0394,0.0024,0.0255,0.3499,0.2205,0.0585,0.0443,0.0527
yearago,1.0000,trailing4,all,36,0.0443,-0.0003,0.0343,0.3618,0.2475,0.0220,0.0433,0.0573
yearago,1.0000,trailing4,12,36,0.0449,0.0015,0.0274,0.3482,0.2482,0.0376,0.0437,0.0527
