segment,fy,q,ext_sales,interseg_sales,seg_sales,seg_cogs,seg_sga,seg_oi
Conventional Shell Eggs,2024,1,214773.0,5441.0,220214.0,228197.0,16673.0,-24656.0
Conventional Shell Eggs,2024,2,266782.0,4454.0,271236.0,239499.0,15893.0,15844.0
Conventional Shell Eggs,2024,3,392199.0,5476.0,397675.0,263730.0,15710.0,118235.0
Conventional Shell Eggs,2024,4,353149.0,5018.0,358167.0,238605.0,15284.0,104278.0
Conventional Shell Eggs,2025,1,462018.0,10332.0,472350.0,308879.0,17956.0,145515.0
Conventional Shell Eggs,2025,2,588004.0,12735.0,600739.0,342667.0,18221.0,239851.0
Conventional Shell Eggs,2025,3,964061.0,16640.0,980701.0,428040.0,18523.0,534138.0
Conventional Shell Eggs,2025,4,689419.0,12650.0,702069.0,313626.0,17944.0,370499.0
Conventional Shell Eggs,2026,1,486523.0,11910.0,498433.0,312205.0,17992.0,168236.0
Conventional Shell Eggs,2026,2,350452.0,10035.0,360487.0,273170.0,17495.0,69822.0
Conventional Shell Eggs,2026,3,271556.0,6835.0,278391.0,240567.0,18654.0,19170.0
Conventional Shell Eggs,2026,4,201026.0,9739.0,210765.0,233237.0,18115.0,-40587.0
Prepared Foods,2025,1,0.0,0.0,0.0,0.0,0.0,0.0
Prepared Foods,2025,2,1024.0,0.0,1024.0,1303.0,460.0,-739.0
Prepared Foods,2025,3,1461.0,0.0,1461.0,1609.0,585.0,-733.0
Prepared Foods,2025,4,1565.0,0.0,1565.0,1599.0,613.0,-647.0
Prepared Foods,2026,1,72368.0,0.0,72368.0,53471.0,5676.0,13221.0
Prepared Foods,2026,2,60012.0,0.0,60012.0,45218.0,5784.0,9010.0
Prepared Foods,2026,3,52019.0,0.0,52019.0,42978.0,6210.0,2831.0
Prepared Foods,2026,4,60403.0,0.0,60403.0,43703.0,7880.0,8820.0
Specialty Shell Eggs,2024,1,193674.0,2683.0,196357.0,157112.0,20263.0,18982.0
Specialty Shell Eggs,2024,2,203503.0,2199.0,205702.0,157392.0,20904.0,27406.0
Specialty Shell Eggs,2024,3,243273.0,2721.0,245994.0,170152.0,24119.0,51723.0
Specialty Shell Eggs,2024,4,222847.0,2719.0,225566.0,163580.0,23902.0,38084.0
Specialty Shell Eggs,2025,1,241620.0,6086.0,247706.0,168890.0,24923.0,53893.0
Specialty Shell Eggs,2025,2,272233.0,5554.0,277787.0,179280.0,27737.0,70770.0
Specialty Shell Eggs,2025,3,314590.0,9726.0,324316.0,178985.0,23521.0,121810.0
Specialty Shell Eggs,2025,4,298158.0,6984.0,305142.0,190256.0,27757.0,87129.0
Specialty Shell Eggs,2026,1,269579.0,6011.0,275590.0,184575.0,26819.0,64196.0
Specialty Shell Eggs,2026,2,271941.0,4806.0,276747.0,186830.0,28263.0,61654.0
Specialty Shell Eggs,2026,3,275254.0,3136.0,278390.0,210693.0,29541.0,38156.0
Specialty Shell Eggs,2026,4,232454.0,7277.0,239731.0,195822.0,26371.0,17538.0
