series,lag_days,n,intercept,slope,r2,rmse,mae
ers_combined,0,44,0.2390,0.7875,0.9828,0.1196,0.0834
ers_combined,7,44,0.2189,0.7985,0.9919,0.0823,0.0624
ers_combined,14,44,0.2127,0.8015,0.9899,0.0917,0.0670
ers_combined,21,44,0.2242,0.7943,0.9754,0.1431,0.0983
ers_combined,30,44,0.2581,0.7740,0.9405,0.2225,0.1513
ers_combined,45,44,0.2999,0.7492,0.8746,0.3230,0.2182
ers_ny,0,44,0.2017,0.7800,0.9731,0.1497,0.1007
ers_ny,7,44,0.1792,0.7918,0.9841,0.1149,0.0802
ers_ny,14,44,0.1706,0.7958,0.9847,0.1127,0.0802
ers_ny,21,44,0.1797,0.7901,0.9732,0.1494,0.1005
ers_ny,30,44,0.2106,0.7720,0.9429,0.2181,0.1486
ers_ny,45,44,0.2517,0.7486,0.8834,0.3115,0.2143
ppi_fresh,0,44,0.1366,0.0068,0.9836,0.1168,0.0918
ppi_fresh,7,44,0.1259,0.0069,0.9852,0.1109,0.0843
ppi_fresh,14,44,0.1317,0.0068,0.9755,0.1429,0.0975
ppi_fresh,21,44,0.1551,0.0067,0.9542,0.1953,0.1283
ppi_fresh,30,44,0.2010,0.0065,0.9135,0.2683,0.1779
ppi_fresh,45,44,0.2552,0.0063,0.8442,0.3601,0.2423
ppi_large,0,44,0.1457,0.0055,0.9833,0.1181,0.0903
ppi_large,7,44,0.1340,0.0055,0.9859,0.1081,0.0845
ppi_large,14,44,0.1389,0.0055,0.9770,0.1382,0.0950
ppi_large,21,44,0.1619,0.0054,0.9562,0.1909,0.1248
ppi_large,30,44,0.2073,0.0053,0.9157,0.2648,0.1762
ppi_large,45,44,0.2626,0.0050,0.8438,0.3606,0.2419
ppi_eggs,0,44,0.2946,0.0050,0.9803,0.1279,0.1043
ppi_eggs,7,44,0.2821,0.0051,0.9824,0.1211,0.0936
ppi_eggs,14,44,0.2864,0.0051,0.9714,0.1544,0.1084
ppi_eggs,21,44,0.3085,0.0050,0.9474,0.2092,0.1379
ppi_eggs,30,44,0.3542,0.0048,0.9023,0.2851,0.1832
ppi_eggs,45,44,0.3999,0.0046,0.8403,0.3646,0.2385
retail_large,0,44,-0.4133,0.8847,0.9053,0.2807,0.2229
retail_large,7,44,-0.3902,0.8747,0.8804,0.3155,0.2489
retail_large,14,44,-0.3593,0.8614,0.8519,0.3511,0.2742
retail_large,21,44,-0.3197,0.8442,0.8201,0.3869,0.3000
retail_large,30,44,-0.2591,0.8179,0.7747,0.4330,0.3319
retail_large,45,44,-0.1809,0.7840,0.7045,0.4959,0.3745
