month,ers_combined,ers_ny,ers_estimate,ppi_fresh,ppi_large,ppi_eggs,retail_large,sbm_ton,corn_bu,imf_corn_mt,imf_sbm_mt,cbot_corn_yf,corn,sbm,feed_note
2012-01-01,1.0953,1.0815,0.0000,131.9000,162.8000,148.9000,1.9390,310.6500,6.3700,272.9201,347.6028,6.3086,6.3700,310.6500,ERS
2012-02-01,0.9533,1.0245,0.0000,123.2000,152.6000,139.6000,1.7980,330.3700,6.3000,279.5143,364.4903,6.4039,6.3000,330.3700,ERS
2012-03-01,1.0467,1.1564,0.0000,126.5000,157.0000,148.5000,1.7740,365.9500,6.3500,280.7151,405.2347,6.5080,6.3500,365.9500,ERS
2012-04-01,1.0291,1.0210,0.0000,132.7000,165.3000,151.5000,1.8290,394.2900,6.2100,274.2193,440.6159,6.3395,6.2100,394.2900,ERS
2012-05-01,0.8177,0.9195,0.0000,108.1000,128.5000,127.0000,1.6910,415.1700,6.0100,268.8849,459.4183,6.1701,6.0100,415.1700,ERS
2012-06-01,0.9733,1.0500,0.0000,126.1000,155.9000,145.0000,1.6700,422.5900,6.1000,267.3289,464.0153,6.0319,6.1000,422.5900,ERS
2012-07-01,1.1449,1.2514,0.0000,127.2000,155.7000,147.0000,1.6480,515.8200,7.6800,332.9989,552.5362,7.7737,7.6800,515.8200,ERS
2012-08-01,1.3574,1.3552,0.0000,167.6000,212.3000,202.1000,1.8840,564.6900,7.8600,332.2335,585.7539,8.0354,7.8600,564.6900,ERS
2012-09-01,1.2382,1.3516,0.0000,153.1000,186.8000,193.8000,1.8890,529.3700,7.5200,320.7059,559.5564,7.6326,7.5200,529.3700,ERS
2012-10-01,1.1850,1.2168,0.0000,142.1000,175.6000,179.6000,1.9600,488.4600,7.4700,321.3824,519.9075,7.5114,7.4700,488.4600,ERS
2012-11-01,1.3044,1.3510,0.0000,163.0000,200.7000,204.8000,1.9630,466.2000,7.3400,321.5969,490.5968,7.4011,7.3400,466.2000,ERS
2012-12-01,1.3010,1.3168,0.0000,163.2000,202.1000,196.6000,2.0070,460.0800,7.2700,308.7504,489.6853,7.1795,7.2700,460.0800,ERS
2013-01-01,1.1966,1.2833,0.0000,146.2000,179.6000,166.0000,1.9330,431.3900,7.3500,303.3602,456.8136,7.1465,7.3500,431.3900,ERS
2013-02-01,1.1610,1.1779,0.0000,138.8000,170.7000,164.5000,1.9650,440.6700,7.2700,302.6103,469.1553,7.0701,7.2700,440.6700,ERS
2013-03-01,1.2119,1.3443,0.0000,153.3000,187.3000,182.9000,1.9250,437.3300,7.4200,309.5792,467.9532,7.2624,7.4200,437.3300,ERS
2013-04-01,1.0521,1.0482,0.0000,129.4000,155.8000,153.5000,1.9180,422.0700,6.4500,279.7648,446.3609,6.4850,6.4500,422.0700,ERS
2013-05-01,1.1010,1.2255,0.0000,150.0000,184.9000,180.5000,1.8700,465.7200,6.6800,295.3690,476.7446,6.7164,6.6800,465.7200,ERS
2013-06-01,0.9491,1.0240,0.0000,118.1000,142.9000,146.7000,1.8590,496.7800,6.8800,297.1119,503.5634,6.6226,6.8800,496.7800,ERS
2013-07-01,1.1053,1.1495,0.0000,141.3000,175.4000,173.7000,1.8330,544.5900,6.1000,279.0133,528.3378,5.8924,6.1000,544.5900,ERS
2013-08-01,1.1321,1.2159,0.0000,142.1000,173.4000,179.5000,1.8380,464.9100,4.7100,234.9388,470.9876,4.8317,4.7100,464.9100,ERS
2013-09-01,1.1384,1.2035,0.0000,143.7000,178.7000,182.7000,1.8970,500.3900,4.4200,207.4902,490.1923,4.6600,4.4200,500.3900,ERS
