fy,q,kind,filed,url
2015,0,10-K,2015-07-20,https://www.sec.gov/Archives/edgar/data/16160/000001616015000019/calm-20150530x10k.htm
2015,4,8-K EX-99.1,2015-07-20,https://www.sec.gov/Archives/edgar/data/16160/000001616015000017/calm-20150720ex99196d6c3.htm
2016,0,10-K,2016-07-18,https://www.sec.gov/Archives/edgar/data/16160/000001616016000061/calm-20160528x10k.htm
2016,1,10-Q,2015-09-29,https://www.sec.gov/Archives/edgar/data/16160/000001616015000035/calm-20150829x10q.htm
2016,1,8-K EX-99.1,2015-09-28,https://www.sec.gov/Archives/edgar/data/16160/000001616015000029/calm-20150928ex9913a0eeb.htm
2016,2,10-Q,2015-12-23,https://www.sec.gov/Archives/edgar/data/16160/000001616015000043/calm-20151128x10q.htm
2016,2,8-K EX-99.1,2015-12-23,https://www.sec.gov/Archives/edgar/data/16160/000001616015000041/calm-20151223ex9918096b7.htm
2016,3,10-Q,2016-03-28,https://www.sec.gov/Archives/edgar/data/16160/000001616016000052/calm-20160227x10q.htm
2016,3,8-K EX-99.1,2016-03-28,https://www.sec.gov/Archives/edgar/data/16160/000001616016000050/calm-20160328ex991e2ee5d.htm
2016,4,8-K EX-99.1,2016-07-18,https://www.sec.gov/Archives/edgar/data/16160/000001616016000059/calm-20160718xex99_1.htm
2017,0,10-K,2017-07-24,https://www.sec.gov/Archives/edgar/data/16160/000001616017000017/calm-2017x06x03x10k.htm
2017,1,10-Q,2016-09-26,https://www.sec.gov/Archives/edgar/data/16160/000001616016000072/calm-20160827x10q.htm
2017,1,8-K EX-99.1,2016-09-26,https://www.sec.gov/Archives/edgar/data/16160/000001616016000070/calm-20160926xex99_1.htm
2017,2,10-Q,2016-12-22,https://www.sec.gov/Archives/edgar/data/16160/000001616016000082/calm-2016x11x26x10q.htm
2017,2,8-K EX-99.1,2016-12-22,https://www.sec.gov/Archives/edgar/data/16160/000001616016000080/calm2q17pressrelease.htm
2017,3,10-Q,2017-03-27,https://www.sec.gov/Archives/edgar/data/16160/000001616017000007/calm-2017x02x25x10q.htm
2017,3,8-K EX-99.1,2017-03-27,https://www.sec.gov/Archives/edgar/data/16160/000001616017000004/calm3q17pressrelease.htm
2017,4,8-K EX-99.1,2017-07-24,https://www.sec.gov/Archives/edgar/data/16160/000001616017000015/calm4q17pressrelease.htm
2018,0,10-K,2018-07-23,https://www.sec.gov/Archives/edgar/data/16160/000001616018000071/calm-2018x06x02x10k.htm
2018,1,10-Q,2017-10-02,https://www.sec.gov/Archives/edgar/data/16160/000001616017000028/calm-2018x09x02x10q.htm
2018,1,8-K EX-99.1,2017-10-02,https://www.sec.gov/Archives/edgar/data/16160/000001616017000026/calm1q18pressrelease.htm
2018,2,10-Q,2018-01-05,https://www.sec.gov/Archives/edgar/data/16160/000001616018000006/calm-2017x12x02x10q.htm
2018,2,8-K EX-99.1,2018-01-05,https://www.sec.gov/Archives/edgar/data/16160/000001616018000004/calm2q18pressrelease.htm
2018,3,10-Q,2018-04-02,https://www.sec.gov/Archives/edgar/data/16160/000001616018000034/calm-2018x03x03x10q.htm
2018,3,8-K EX-99.1,2018-04-02,https://www.sec.gov/Archives/edgar/data/16160/000001616018000032/calm3q18pressrelease.htm
2018,4,8-K EX-99.1,2018-07-23,https://www.sec.gov/Archives/edgar/data/16160/000001616018000069/calm4q18pressrelease.htm
2019,0,10-K,2019-07-22,https://www.sec.gov/Archives/edgar/data/16160/000001616019000048/calm-2019x06x01x10k.htm
2019,1,10-Q,2018-10-01,https://www.sec.gov/Archives/edgar/data/16160/000001616018000096/calm-2018x09x01x10q.htm
2019,1,8-K EX-99.1,2018-10-01,https://www.sec.gov/Archives/edgar/data/16160/000001616018000093/calm1q19pressrelease.htm
2019,2,10-Q,2019-01-04,https://www.sec.gov/Archives/edgar/data/16160/000001616019000006/calm-2018x12x01x10q.htm
2019,2,8-K EX-99.1,2019-01-04,https://www.sec.gov/Archives/edgar/data/16160/000001616019000004/calm2q19pressrelease.htm
2019,3,10-Q,2019-04-01,https://www.sec.gov/Archives/edgar/data/16160/000001616019000032/calm-2019x03x02x10q.htm
2019,3,8-K EX-99.1,2019-04-01,https://www.sec.gov/Archives/edgar/data/16160/000001616019000030/calm3q19pressrelease.htm
2019,4,8-K EX-99.1,2019-07-22,https://www.sec.gov/Archives/edgar/data/16160/000001616019000046/calm4q19pressrelease.htm
2020,0,10-K,2020-07-20,https://www.sec.gov/Archives/edgar/data/16160/000001616020000078/calm-20200530.htm
2020,1,10-Q,2019-09-30,https://www.sec.gov/Archives/edgar/data/16160/000001616019000065/calm-10qx83119.htm
2020,1,8-K EX-99.1,2019-09-30,https://www.sec.gov/Archives/edgar/data/16160/000001616019000063/calm1q20pressrelease.htm
2020,2,10-Q,2020-01-06,https://www.sec.gov/Archives/edgar/data/16160/000001616020000011/calm-20191130.htm
2020,2,8-K EX-99.1,2020-01-06,https://www.sec.gov/Archives/edgar/data/16160/000001616020000007/calm2q20pressrelease.htm
2020,3,10-Q,2020-03-30,https://www.sec.gov/Archives/edgar/data/16160/000001616020000056/calm-20200229.htm
