fy,q,period_start,period_end,rel_date,rel_accepted_utc,filed,rel_net_sales,rel_cogs,rel_gross_profit,rel_sga,rel_op_income,rel_other_income,rel_pretax,rel_tax,rel_ni_attr,rel_eps_dil,rel_shares_dil,conv_sales,spec_sales_all,shell_sales,prepared_sales,eggprod_sales,other_sales,nonshell_sales,conv_doz,spec_doz_all,total_doz,conv_price,spec_price,conv_price_rep,spec_price_rep,all_price_rep,feed_per_doz,otherfarm_per_doz,farm_per_doz,doz_produced,outside_cost_per_doz,cogs_farm,cogs_proc,cogs_purch,cogs_prepared,cogs_eggprod,cbot_corn,cbot_sbm,ub_yoy_rep,usda_yoy_rep,sales_src,derived_note,filled_from_xbrl,rel_url
2016,1,2015-05-31,2015-08-29,2015-09-28,2015-09-28T11:43:49.000Z,2015-09-29,609895.0000,,263071.0000,42963.0000,220108.0000,549.0000,220657.0000,76567.0000,143023.0000,2.9500,48498.0000,422921.0000,157952.0000,580873.0000,0.0000,,1785.0000,29022.0000,195352.0000,63422.0000,258774.0000,2.1649,2.4905,,,2.2430,0.4190,0.2710,0.6900,202648.0000,2.2700,,,,,,,,,,revenue disaggregation note,,sga;other_income;tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616015000029/calm-20150928ex9913a0eeb.htm
2016,2,2015-08-30,2015-11-28,2015-12-23,2015-12-23T21:18:28.000Z,2015-12-23,545975.0000,,211597.0000,45438.0000,166159.0000,1850.0000,168009.0000,58099.0000,109230.0000,2.2600,48361.0000,369848.0000,151037.0000,520885.0000,0.0000,,2515.0000,25090.0000,199186.0000,64986.0000,264172.0000,1.8568,2.3241,,,1.9700,0.4270,0.2620,0.6890,204423.0000,1.9700,,,,,,,,,,revenue disaggregation note,,sga;other_income;tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616015000041/calm-20151223ex9918096b7.htm
2016,3,2015-11-29,2016-02-27,2016-03-28,2016-03-28T10:44:06.000Z,2016-03-28,449760.0000,,132726.0000,46955.0000,85771.0000,11744.0000,97515.0000,33173.0000,64164.0000,1.3300,48367.0000,286725.0000,147671.0000,434396.0000,0.0000,,2987.0000,15364.0000,206670.0000,70904.0000,277574.0000,1.3874,2.0827,,,1.5680,0.4140,0.2810,0.6950,213285.0000,1.5100,,,,,,,,,,revenue disaggregation note,,sga;other_income;tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616016000050/calm-20160328ex991e2ee5d.htm
2016,4,2016-02-28,2016-05-28,2016-07-18,2016-07-18T11:01:43.000Z,2016-07-18,303020.0000,,40680.0000,42404.0000,-1724.0000,2792.0000,1068.0000,1363.0000,-376.0000,-0.0100,48247.0000,163883.0000,127376.0000,291259.0000,0.0000,,3246.0000,11761.0000,189850.0000,63227.0000,253077.0000,0.8632,2.0146,,,,0.3955,0.3025,0.6980,198951.0000,,,,,,,,,,,,,net_sales;gross_profit;sga;op_income;other_income;pretax;tax;ni_attr;shares from FY17 Q4 release prior-year column;,https://www.sec.gov/Archives/edgar/data/16160/000001616016000059/calm-20160718xex99_1.htm
2017,1,2016-05-29,2016-08-27,2016-09-26,2016-09-26T11:34:18.000Z,2016-09-26,239845.0000,,-9569.0000,40256.0000,-49825.0000,1285.0000,-48540.0000,-17560.0000,-30936.0000,-0.6400,48249.0000,113504.0000,117767.0000,231271.0000,0.0000,,2997.0000,8574.0000,182730.0000,59595.0000,242325.0000,0.6212,1.9761,,,0.9520,0.4310,0.2940,0.7250,198782.0000,1.0300,,,,,,,,,,revenue disaggregation note,,sga;other_income;tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616016000070/calm-20160926xex99_1.htm
2017,2,2016-08-28,2016-11-26,2016-12-22,2016-12-22T21:20:59.000Z,2016-12-22,253544.0000,,3948.0000,41991.0000,-38043.0000,1275.0000,-36768.0000,-13801.0000,-23010.0000,-0.4800,48250.0000,123008.0000,121738.0000,244746.0000,0.0000,,2485.0000,8798.0000,191383.0000,60794.0000,252177.0000,0.6427,2.0025,,,0.9710,0.3940,0.2940,0.6880,211971.0000,0.9800,,,,,,,,,,revenue disaggregation note,,sga;other_income;tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616016000080/calm2q17pressrelease.htm
2017,3,2016-11-27,2017-02-25,2017-03-27,2017-03-27T11:35:54.000Z,2017-03-27,306540.0000,,39165.0000,43738.0000,-4573.0000,8738.0000,4165.0000,34.0000,4139.0000,0.0900,48417.0000,166893.0000,130859.0000,297752.0000,0.0000,,2346.0000,8788.0000,196998.0000,66615.0000,263613.0000,0.8472,1.9644,,,1.1300,0.3960,0.2900,0.6860,222492.0000,1.1000,,,,,,,,,,MD&A net sales table,,sga;other_income;tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616017000004/calm3q17pressrelease.htm
2017,4,2017-02-26,2017-06-03,2017-07-24,2017-07-24T11:05:30.000Z,2017-07-24,274584.0000,,12006.0000,47995.0000,-38291.0000,6502.0000,-33151.0000,-8540.0000,-24471.0000,-0.5100,48329.0000,145453.0000,119942.0000,265395.0000,0.0000,,2595.0000,9189.0000,207427.0000,65588.0000,273015.0000,0.7012,1.8287,,,,0.3794,0.2978,0.6772,237007.0000,,,,,,,,,,,,,sga;other_income;tax;,https://www.sec.gov/Archives/edgar/data/16160/000001616017000015/calm4q17pressrelease.htm
2018,1,2017-06-04,2017-09-02,2017-10-02,2017-10-02T11:21:01.000Z,2017-10-02,262845.0000,245509.0000,17336.0000,41710.0000,-24378.0000,-139.0000,-24517.0000,-8340.0000,-15993.0000,-0.3300,48330.0000,146048.0000,107777.0000,253825.0000,0.0000,,2884.0000,9020.0000,192168.0000,57296.0000,249464.0000,0.7600,1.8811,0.7600,1.8780,1.0170,0.3750,0.3060,0.6810,213570.0000,0.9800,,,,,,,,,,MD&A net sales table,,cogs;sga;op_income;other_income;pretax;tax;ni_attr;,https://www.sec.gov/Archives/edgar/data/16160/000001616017000026/calm1q18pressrelease.htm
2018,2,2017-09-03,2017-12-02,2018-01-05,2018-01-05T12:54:41.000Z,2018-01-05,361172.0000,278776.0000,82396.0000,42160.0000,-40464.0000,371.0000,-40093.0000,-14012.0000,-26136.0000,-0.5400,48330.0000,228975.0000,119132.0000,348107.0000,0.0000,,2211.0000,13065.0000,200449.0000,62637.0000,263086.0000,1.1423,1.9019,1.1420,1.9030,1.3210,0.3880,0.2980,0.6860,222889.0000,1.3900,,,,,,,,,,MD&A net sales table,,op_income;pretax;tax;ni_attr(release parse failed check);,https://www.sec.gov/Archives/edgar/data/16160/000001616018000004/calm2q18pressrelease.htm
