label,conv_price,spec_price,conv_doz,spec_doz,nonshell,revenue,c,cogs,gross_profit,sga,op_income,other_income,pretax,tax_rate,nci,ni,shares,eps,M,a,b,resid_last,rho,beta_s,k,phi,drift,feed_hat,anchor,sga_growth,act_revenue,act_eps,act_op_income,act_conv_price,act_spec_price,act_conv_doz,act_spec_doz,act_c,act_sga,rel_date,rev_err_pct,eps_err,oi_err_pct_rev,conv_price_err
FY18 Q1,0.7610,1.8459,185387.2472,57404.6341,9189.0000,256237.6526,0.9364,234695.1172,21542.5354,45563.7845,-24021.2491,4995.0000,-19026.2491,0.3488,-140.0000,-12249.6849,48329.0000,-0.2535,0.7510,0.0753,0.9147,-0.0024,0.5000,0.2678,0.1411,0.6939,-0.0106,0.3986,last,1.1319,262845.0000,-0.3300,-24378.0000,0.7600,1.8811,192168.0000,57296.0000,0.9552,41710.0000,2017-10-02,-0.0251,0.0765,0.0014,0.0010
FY18 Q2,1.1735,2.0030,201267.9272,58448.7461,9020.0000,362273.4111,1.0059,268470.5992,93802.8119,43507.6662,50295.1457,-149.0000,50146.1457,0.3395,-184.0000,33305.5317,48330.0000,0.6891,1.2019,0.0747,0.9150,-0.0019,0.5000,0.2703,0.1484,0.7289,-0.0064,0.3811,last,1.0361,361172.0000,-0.5400,-40464.0000,1.1423,1.9019,200449.0000,62637.0000,1.0199,42160.0000,2018-01-05,0.0030,1.2291,0.2513,0.0312
FY18 Q3,1.4573,1.9772,206329.9880,68634.4665,13065.0000,449456.0370,1.0590,301635.1088,147820.9283,43914.0311,103906.8972,7834.0000,111740.8972,0.3297,55.0000,74845.6411,48330.0000,1.5486,1.5307,0.0724,0.9142,-0.0288,0.5000,0.2290,0.1563,0.7423,-0.0041,0.3718,last,1.0040,435820.0000,1.9900,76202.0000,1.4107,1.9356,203444.0000,69765.0000,1.1152,44175.0000,2018-04-02,0.0313,-0.4414,0.0636,0.0466
FY18 Q4,1.6284,1.9815,198913.2310,63783.0483,13791.0000,464091.6096,1.1706,318539.3971,145552.2124,48474.5330,97077.6794,9619.0000,106696.6794,0.3500,64.0000,69288.8416,48476.0000,1.4293,1.7415,0.0749,0.9073,-0.0529,0.5000,0.2177,0.1743,0.8291,0.0023,0.4000,last,1.0100,443095.0000,1.4800,91315.0000,1.6001,1.9455,184301.0000,67653.0000,1.1455,49103.0000,2018-07-23,0.0474,-0.0507,0.0130,0.0283
FY19 Q1,1.1036,1.8232,183877.3173,63646.0798,16586.0000,335560.4150,1.0532,273971.4636,61588.9515,42672.9061,18916.0453,-4066.0000,14850.0453,0.1500,329.0000,12293.5385,48495.0000,0.2535,1.1638,0.0801,0.8991,-0.0459,0.5000,0.2116,0.1678,0.4407,-0.0011,0.4171,last,1.0231,340583.0000,0.2600,12677.0000,1.1108,1.8932,187400.0000,62660.0000,1.0894,44510.0000,2018-10-01,-0.0147,-0.0065,0.0183,-0.0072
FY19 Q2,1.0684,1.8833,195475.5349,68501.0196,13792.0000,351636.8733,1.0685,293103.8170,58533.0563,44990.2086,13542.8477,4326.0000,17868.8477,0.1500,338.0000,14850.5205,48516.0000,0.3061,1.1107,0.1091,0.8669,-0.0072,0.5000,0.1862,0.1571,0.6880,0.0011,0.3959,last,1.0671,356040.0000,0.4500,25334.0000,1.0972,1.9581,197163.0000,65100.0000,1.0513,42981.0000,2019-01-04,-0.0124,-0.1439,-0.0331,-0.0288
FY19 Q3,1.1584,1.9738,200108.9024,72508.2858,12241.0000,387157.6377,1.0579,298192.6493,88964.9884,45035.2390,43929.7494,14924.0000,58853.7494,0.1500,199.0000,49826.6870,48534.0000,1.0266,1.1962,0.1175,0.8598,0.0247,0.5000,0.1837,0.1563,0.8610,-0.0002,0.3918,last,1.0195,383992.0000,0.8200,38190.0000,1.1679,1.9564,201179.0000,70626.0000,1.0775,45009.0000,2019-04-01,0.0082,0.2066,0.0149,-0.0095
FY19 Q4,0.7872,1.8773,182249.1245,68487.9349,10860.0000,282897.4965,1.0123,262501.5341,20395.9624,50030.0380,-29634.0756,6011.0000,-23623.0756,0.2384,88.0000,-18078.9541,48533.0000,-0.3725,0.7636,0.1247,0.8514,0.0248,0.5000,0.1828,0.1579,0.9822,0.0012,0.3980,last,1.0189,280573.0000,-0.4100,-30420.0000,0.7845,1.9194,192310.0000,62462.0000,1.0204,42296.0000,2019-07-22,0.0083,0.0375,0.0028,0.0027
FY20 Q1,0.6647,1.8965,195543.6704,57852.1118,9821.0000,249517.6860,1.0120,264289.7638,-14772.0778,38339.7137,-53111.7915,3718.0000,-49393.7915,0.2223,209.0000,-38620.4250,48442.0000,-0.7973,0.6308,0.1194,0.8544,0.0127,0.5000,0.1726,0.1568,1.0935,0.0017,0.4094,last,0.8614,241166.0000,-0.9400,-63470.0000,0.6239,1.8688,194915.0000,59509.0000,1.0047,42475.0000,2019-09-30,0.0346,0.1427,0.0430,0.0408
FY20 Q2,0.9033,1.9224,205069.5098,61826.2991,8349.0000,312431.5733,1.0598,289528.9708,22902.6026,41015.9060,-18113.3034,2602.0000,-15511.3034,0.3500,39.0000,-10121.3472,48446.0000,-0.2089,0.9376,0.1192,0.8546,-0.0344,0.5000,0.1746,0.1569,1.0336,0.0012,0.4154,last,0.9543,311522.0000,-0.2100,-16565.0000,0.9368,1.8856,199566.0000,61460.0000,1.0543,45728.0000,2020-01-06,0.0029,0.0011,-0.0050,-0.0335
FY20 Q3,1.0369,1.9069,203630.9465,66677.0194,8671.0000,346955.5683,1.0684,295746.5472,51209.0211,47885.6135,3323.4077,13367.0000,16690.4077,0.2882,-125.0000,12005.8546,48447.0000,0.2478,1.0639,0.1155,0.8583,0.0166,0.5000,0.1687,0.1557,1.0039,0.0007,0.4094,last,1.0639,345588.0000,0.2800,5212.0000,1.0245,1.8951,205307.0000,65970.0000,1.0601,44231.0000,2020-03-30,0.0040,-0.0322,-0.0055,0.0124
FY20 Q4,1.4046,1.9691,196256.0166,58344.2095,10240.0000,400781.6176,1.1224,293958.0811,106823.5365,41564.8954,65258.6411,23.0000,65281.6411,0.2780,22.0000,47114.3478,48588.0000,0.9697,1.5049,0.1179,0.8565,-0.0046,0.5000,0.1679,0.1547,1.0317,0.0002,0.4028,last,0.9827,453333.0000,1.2400,76092.0000,1.4587,1.9338,213467.0000,68956.0000,1.1505,45803.0000,2020-07-20,-0.1159,-0.2703,-0.0239,-0.0541
