date,ticker,expiry,dte,is_monthly,spot,atm_call_iv,atm_put_iv,atm_iv,skew_5pct,put_oi,call_oi,total_oi,pc_oi_ratio,rv20,iv_rv_spread,n_calls,n_puts,n_quoted,iv_src,stale_days,r,asof
2026-09-09,AAPL,2026-09-18,9,True,315.34,0.292916,0.284911,0.288913,0.010002,326994.0,430785.0,757779.0,0.759065,0.206485,0.082428,104,86,124,mixed,0.29,0.03805,2026-09-09T23:25:06Z
2026-09-09,AAPL,2026-10-16,37,True,315.34,0.261576,0.255507,0.258541,0.008009,184389.0,308829.0,493218.0,0.597059,0.206485,0.052056,79,58,96,mixed,0.23,0.03805,2026-09-09T23:25:06Z
2026-09-09,ABG,2026-09-18,9,True,212.38,0.381453,0.431589,0.406521,-0.042426,59.0,2644.0,2703.0,0.022315,0.265661,0.140859,9,12,8,mixed,27.16,0.03805,2026-09-09T23:25:06Z
2026-09-09,ABG,2026-10-16,37,True,212.38,0.365274,0.401582,0.383428,0.514064,190.0,5380.0,5570.0,0.035316,0.265661,0.117767,17,19,17,mixed,44.34,0.03805,2026-09-09T23:25:06Z
2026-09-09,AMD,2026-09-18,9,True,521.095,0.503822,0.514758,0.50929,0.004854,283045.0,219895.0,502940.0,1.287183,0.50416,0.00513,154,146,201,mixed,0.25,0.03805,2026-09-09T23:25:06Z
2026-09-09,AMD,2026-10-16,37,True,521.095,0.508176,0.515311,0.511744,1.8e-05,102291.0,91713.0,194004.0,1.115338,0.50416,0.007584,113,98,148,mixed,0.31,0.03805,2026-09-09T23:25:06Z
2026-09-09,AMZN,2026-09-18,9,True,252.4,0.310559,0.304887,0.307723,0.009455,296834.0,451584.0,748418.0,0.657317,0.256972,0.050751,68,64,101,mixed,0.24,0.03805,2026-09-09T23:25:06Z
2026-09-09,AMZN,2026-10-16,37,True,252.4,0.315781,0.309731,0.312756,0.00223,174127.0,252529.0,426656.0,0.689533,0.256972,0.055784,60,52,90,mixed,0.3,0.03805,2026-09-09T23:25:06Z
2026-09-09,AVGO,2026-09-18,9,True,364.38,0.372278,0.367176,0.369727,-0.009611,209446.0,216531.0,425977.0,0.96728,0.376371,-0.006644,104,97,139,mixed,0.23,0.03805,2026-09-09T23:25:06Z
2026-09-09,AVGO,2026-10-16,37,True,364.38,0.377165,0.383279,0.380222,0.004052,94735.0,138524.0,233259.0,0.683889,0.376371,0.003851,60,52,80,mixed,0.22,0.03805,2026-09-09T23:25:06Z
2026-09-09,BBWI,2026-09-18,9,True,17.71,0.643619,0.477481,0.56055,-0.049372,5210.0,8177.0,13387.0,0.637153,0.639864,-0.079314,27,24,26,mixed,1.32,0.03805,2026-09-09T23:25:06Z
2026-09-09,BBWI,2026-10-16,37,True,17.71,0.579331,0.480433,0.529882,-0.045836,982.0,1033.0,2015.0,0.950629,0.639864,-0.109982,9,7,13,mixed,0.77,0.03805,2026-09-09T23:25:06Z
2026-09-09,BRBR,2026-09-18,9,True,9.43,1.045631,0.787313,0.916472,-0.061793,2313.0,1337.0,3650.0,1.729993,0.583244,0.333228,9,8,8,mixed,17.34,0.03805,2026-09-09T23:25:06Z
2026-09-09,BRBR,2026-10-16,37,True,9.43,0.646586,0.661769,0.654177,0.059357,146.0,230.0,376.0,0.634783,0.583244,0.070934,4,3,5,mixed,1.15,0.03805,2026-09-09T23:25:06Z
2026-09-09,BRK-B,2026-09-18,9,True,506.72,0.149966,0.139576,0.144771,0.036351,45811.0,42568.0,88379.0,1.076184,0.110195,0.034576,80,67,91,mixed,1.37,0.03805,2026-09-09T23:25:06Z
2026-09-09,BRK-B,2026-10-16,37,True,506.72,0.149024,0.139398,0.144211,0.021676,10634.0,14866.0,25500.0,0.715324,0.110195,0.034017,41,47,70,mixed,1.35,0.03805,2026-09-09T23:25:06Z
2026-09-09,CCSI,2026-09-18,9,True,36.38,1.110211,0.712553,0.911382,-0.109654,1553.0,866.0,2419.0,1.793303,0.555576,0.355806,8,8,6,mixed,14.8,0.03805,2026-09-09T23:25:06Z
2026-09-09,CCSI,2026-10-16,37,True,36.38,0.75227,0.686516,0.719393,-0.065754,53.0,2.0,55.0,26.5,0.555576,0.163817,1,1,0,last,10.87,0.03805,2026-09-09T23:25:07Z
