panel,arm,cost,family,freq,n,CAGR,Sharpe,Vol,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,TO,gross,p4a,f4b,p4b
U56,FWD20,0,FWD,W,20.0,0.14034814475179003,1.1550935984443078,0.11997454777908138,-0.1822003619415382,1.164554484570374,1.1544363444434362,1.0729399129541783,0.1573376597525562,1.218588771085467,-0.1822003619415381,10.996244092602641,0.7502841749395268,False,-,True
U56,FWD20,10,FWD,W,20.0,0.12788458697149974,1.0635392242670008,0.11996321819836779,-0.18308348697878107,1.0681688586356108,1.0663899991214876,0.9759401521429143,0.14453585654383216,1.1306969416161394,-0.1830834869787813,10.996244092602641,0.7502841749395268,False,-,True
U56,FWD20,25,FWD,W,20.0,0.10943762843851523,0.9258519118821691,0.11998811090482403,-0.18440712200737264,0.9231772688851755,0.9340026251423675,0.8300711586462184,0.12559120208679553,0.9985108040321351,-0.18440712200737253,10.996244092602641,0.7502841749395268,False,H1,False
U56,EWall,0,EW,W,,0.11314831389325475,1.1321362346444486,0.09904343933520983,-0.15769540293383966,1.1502926877747832,1.1189906484817445,1.0530336720591569,0.12264409917161023,1.194763825348269,-0.15769540293383966,8.208759352934159,0.750208588560075,False,-,True
U56,EWall,10,EW,W,,0.1040491811310249,1.0490288480160836,0.0990648706361151,-0.15874704847794507,1.06846717048947,1.0344959688835331,0.9696219470490614,0.11329149227062874,1.111874408264675,-0.1587470484779454,8.208759352934159,0.750208588560075,False,CAGR,False
U56,EWall,25,EW,W,,0.09053460892350085,0.9240392019815247,0.099139482282156,-0.16113530298864642,0.9454322816460432,0.9074005873143067,0.8442460026119111,0.09940302871023943,0.9871576088117031,-0.16113530298864687,8.208759352934159,0.750208588560075,False,"H1,CAGR",False
U56,REV20,0,REV,W,20.0,0.08422338371804994,0.9589558138165691,0.0884228065252715,-0.15896903548260555,1.1054876321595333,0.8285970457144677,1.0239387828384514,0.08005042631327108,0.9065278868373234,-0.158969035482605,16.782266303827775,0.7501302856287845,False,"H2,CAGR",False
U56,REV20,10,REV,W,20.0,0.06617693854103601,0.7684892059575963,0.08850000437262061,-0.1657846279106897,0.9111610736036896,0.6410958035987443,0.8337012220035368,0.06184014366556023,0.7158529825437527,-0.16578462791069049,16.782266303827775,0.7501302856287845,False,"H1,H2,OOS,CAGR",False
U56,REV20,25,REV,W,20.0,0.03965534513007074,0.48274053241123543,0.08873897208889174,-0.17909962414312075,0.6196703599945782,0.3597651715295245,0.5484473970586973,0.03508503167081889,0.4296733939607906,-0.17909962414311964,16.782266303827775,0.7501302856287845,False,"H1,H2,OOS,CAGR",False
U56,FWDVS20,0,FWDVS,W,20.0,0.11376889770344278,1.0820412588925152,0.1046743215164269,-0.17293395244675813,1.1533357711790966,1.0265829330195881,1.0549879996200968,0.12144139614778937,1.1043497824913941,-0.17293395244675835,11.785408534865352,0.7502228420733932,False,-,True
