claim_set,n_units,n_with_verdict,states_L,frac_states_L,verdict_states_L,frac_verdict_states_L,verdict_UNSTATED_L,states_L_ladder
CS_STRICT,478,267,325,0.6799163179916318,190,0.7116104868913857,77,37
CS_PROX,2409,1189,329,0.1365711913657119,191,0.16063919259882253,998,46
CS_ALL,1366,814,328,0.24011713030746706,191,0.23464373464373464,623,46
