panel,bar,model,d_FULL_pp,d_IS_pp,d_OOS_pp,leg,IS_pick_gross,IS_Sharpe,d_star_pp,book_oos_CAGR,book_oos_Sharpe,book_oos_MaxDD,bar_oos_CAGR,bar_oos_Sharpe,spy_oos_CAGR,spy_oos_Sharpe,keep4b_undragged,miss_undragged,keep4b_dragged,miss_dragged,keep4a,miss4a,L,h_panel,h_sleeve,bars,synth_CAGR,RSP_CAGR,gap_pp,synth_Sharpe,RSP_Sharpe
U56,B_EW742,CONT,1.2222505524927696,2.199377171465941,0.4226402826061071,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
U56,B_EW742,LUMPY,1.1890991180734167,2.16461060640189,0.40730037636815264,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
U56,B_EWW10,CONT,1.0113721435039444,2.034931639561951,0.17348879809277237,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
U56,B_EWW10,LUMPY,0.9849584166374215,2.004404159352408,0.16739390421370293,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
B136,B_EW742,CONT,3.3216240377976822,3.542187804450209,3.139630952736798,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
B136,B_EW742,LUMPY,3.1965166031694245,3.4629291381098435,2.9828790809595827,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
B136,B_EWW10,CONT,3.095347595562239,3.331874410035865,2.9001813766211018,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
B136,B_EWW10,LUMPY,2.982056258744664,3.2607251397618606,2.7585651076431796,WF-A,,,,,,,,,,,,,,,,,,,,,,,,,
U56,B_EW742,,,,,WF-B,1.0,1.1097374293568971,1.2222505524927696,0.12700447276081173,1.2827249689407196,-0.15704953945571765,0.18643564792680367,1.1447546421348724,0.15237187725667578,0.872122672456382,False,CAGR,True,,False,"H2,MaxDD",,,,,,,,,
U56,B_EWW10,,,,,WF-B,1.0,1.1097374293568971,1.0113721435039444,0.12700447276081173,1.2827249689407196,-0.15704953945571765,0.18348513794422594,1.1308279501643184,0.15237187725667578,0.872122672456382,False,CAGR,True,,False,"H2,MaxDD",,,,,,,,,
B136,B_EW742,,,,,WF-B,1.0,1.0941654723166907,3.3216240377976822,0.10659093356047311,1.1195000250557174,-0.16076362728629345,0.1890025733759333,1.114821428339683,0.1545044425578177,0.8820239235972316,False,"H1,H2,CAGR",True,,False,"H2,MaxDD",,,,,,,,,
B136,B_EWW10,,,,,WF-B,1.0,1.0941654723166907,3.095347595562239,0.10659093356047311,1.1195000250557174,-0.16076362728629345,0.18616068774981387,1.1021764558468699,0.1545044425578177,0.8820239235972316,False,"H1,H2,CAGR",True,,False,"H2,MaxDD",,,,,,,,,
U56,B_EW742,,,,,implied,,,1.2222505524927696,,,,,,,,,,,,,,0.3,0.040741685083092324,0.11203963397850389,,,,,,
U56,B_EW742,,,,,implied,,,1.2222505524927696,,,,,,,,,,,,,,0.55,0.022222737318050356,0.06111252762463848,,,,,,
U56,B_EW742,,,,,implied,,,1.2222505524927696,,,,,,,,,,,,,,1.0,0.012222505524927697,0.03361189019355117,,,,,,
U56,B_EWW10,,,,,implied,,,1.0113721435039444,,,,,,,,,,,,,,0.3,0.033712404783464815,0.09270911315452825,,,,,,
U56,B_EWW10,,,,,implied,,,1.0113721435039444,,,,,,,,,,,,,,0.55,0.018388584427344444,0.05056860717519722,,,,,,
U56,B_EWW10,,,,,implied,,,1.0113721435039444,,,,,,,,,,,,,,1.0,0.010113721435039445,0.027812733946358473,,,,,,
B136,B_EW742,,,,,implied,,,3.3216240377976822,,,,,,,,,,,,,,0.3,0.11072080125992276,0.1494730817008957,,,,,,
B136,B_EW742,,,,,implied,,,3.3216240377976822,,,,,,,,,,,,,,0.55,0.06039316432359422,0.0815307718368522,,,,,,
B136,B_EW742,,,,,implied,,,3.3216240377976822,,,,,,,,,,,,,,1.0,0.033216240377976824,0.044841924510268714,,,,,,
B136,B_EWW10,,,,,implied,,,3.095347595562239,,,,,,,,,,,,,,0.3,0.10317825318540796,0.13929064180030076,,,,,,
B136,B_EWW10,,,,,implied,,,3.095347595562239,,,,,,,,,,,,,,0.55,0.0562790471920407,0.07597671370925495,,,,,,
B136,B_EWW10,,,,,implied,,,3.095347595562239,,,,,,,,,,,,,,1.0,0.030953475955622388,0.04178719254009022,,,,,,
U56,B_EW742,,,,,RSP-anchor,,,,,,,,,,,,,,,,,,,,4442.0,0.1793764968786975,0.1424405939314144,3.6935902947283106,1.1356739155704105,0.7956948587772045
U56,B_EWW10,,,,,RSP-anchor,,,,,,,,,,,,,,,,,,,,4442.0,0.1768935586885565,0.1424405939314144,3.44529647571421,1.1236875520285141,0.7956948587772045
B136,B_EW742,,,,,RSP-anchor,,,,,,,,,,,,,,,,,,,,4439.0,0.1922167286419465,0.14429483876033622,4.792188988161028,1.1361245976276955,0.8041546501244423
B136,B_EWW10,,,,,RSP-anchor,,,,,,,,,,,,,,,,,,,,4439.0,0.18952378323674113,0.14429483876033622,4.522894447640491,1.1237724524902892,0.8041546501244423
