panel,ladder,k,is_range,se_mean,ratio_bare,d2_clipped,d2_tabulated,decisive_NO_CORRECTION,decisive_D2_CLIPPED,decisive_D2_TABULATED,correction_is_load_bearing
U56,LAD_N6,6,0.2418805150320067,0.3078891158583516,0.7856091773743862,2.534,2.534,False,False,False,False
U56,LAD_N14,14,0.32127125475860363,0.3054023630163786,1.051960605626925,3.258,,True,False,,True
U56,LAD_G8,8,0.0003564891610219334,0.30554968087119216,0.0011667142312356573,2.847,2.847,False,False,False,False
U56,LAD_G16,16,0.00044105240072345175,0.3043566817947613,0.0014491300079978837,3.258,,False,False,,False
B136,LAD_N6,6,0.15426451881215497,0.2950398652732435,0.5228599147755403,2.534,2.534,False,False,False,False
B136,LAD_N14,14,0.16682888319083888,0.2930571322663652,0.5692708513888171,3.258,,False,False,,False
B136,LAD_G8,8,0.007748032379029102,0.2791479978279341,0.02775600197499881,2.847,2.847,False,False,False,False
B136,LAD_G16,16,0.00836694673292171,0.2785912452090958,0.03003305694923013,3.258,,False,False,,False
SMALL,LAD_N6,6,0.32803508814469584,0.33777185256188297,0.9711735470456252,2.534,2.534,False,False,False,False
SMALL,LAD_N14,14,0.6746648501943888,0.33527931247181797,2.012247177496518,3.258,,True,False,,True
SMALL,LAD_G8,8,0.005061687465307441,0.3416154029647439,0.014816918152340534,2.847,2.847,False,False,False,False
SMALL,LAD_G16,16,0.005439220121539856,0.33875583882169835,0.016056461610991595,3.258,,False,False,,False
