panel,book,cadence,null_pin,real_binds,agree,real_OOS_CAGR,real_OOS_Sharpe,real_OOS_MaxDD
B136,BAND03,M,L5_CAGR,L5_CAGR,True,0.08248365266580482,1.0846284403747068,-0.15687661157282995
B136,BAND03,W,L5_CAGR,L5_CAGR,True,0.07884939392053303,1.1061149281164175,-0.12240985403190019
B136,EWELIG,M,L4_DD,L4_DD,True,0.12023571188334992,1.07443541370375,-0.21662223241008782
B136,EWELIG,Q,L4_DD,L4_DD,True,0.10969651952700232,0.9694689654665202,-0.24436024823827207
B136,TOP40,M,L4_DD,L4_DD,True,0.14523595334826922,1.098156509757925,-0.23727394575310634
B136,TOP40,Q,L4_DD,"L2_H2,L4_DD",True,0.12695250391570756,0.9081139920961059,-0.2815956599245789
U56,BAND03,M,L5_CAGR,L5_CAGR,True,0.09550316049849017,1.2236362606421853,-0.14381683197937534
U56,BAND03,Q,L5_CAGR,L5_CAGR,True,0.08414466778294893,0.9736369915947524,-0.1990158754159994
U56,BAND03,W,L5_CAGR,L5_CAGR,True,0.09454831802271646,1.2764916149303631,-0.12054949323437081
U56,EWELIG,Q,L4_DD,L4_DD,True,0.1151706555831351,1.032801696452597,-0.2220595606403195
