ladder_set,sd_basis,n_pos,n_neg,AUC_R,AUC_range,AUC_relrange,gain_vs_range,gain_vs_relrange
L_RECORD,S_IID,3,9,1.0,1.0,1.0,0.0,0.0
L_RECORD,S_BLOCK,3,9,1.0,1.0,1.0,0.0,0.0
L_RECORD,S_FOLD,3,9,1.0,1.0,1.0,0.0,0.0
L_RECORD,S_CROSS,3,9,0.6666666666666666,1.0,1.0,-0.33333333333333337,-0.33333333333333337
L_WIDE,S_IID,3,9,1.0,1.0,1.0,0.0,0.0
L_WIDE,S_BLOCK,3,9,1.0,1.0,1.0,0.0,0.0
L_WIDE,S_FOLD,3,9,1.0,1.0,1.0,0.0,0.0
L_WIDE,S_CROSS,3,9,0.8148148148148148,1.0,1.0,-0.18518518518518523,-0.18518518518518523
BOTH,S_IID,6,18,1.0,1.0,1.0,0.0,0.0
BOTH,S_BLOCK,6,18,1.0,1.0,1.0,0.0,0.0
BOTH,S_FOLD,6,18,1.0,1.0,1.0,0.0,0.0
BOTH,S_CROSS,6,18,0.6851851851851852,1.0,1.0,-0.31481481481481477,-0.31481481481481477
