sel,corpus,cell,pick,Sharpe_OOS,CAGR_OOS,MaxDD_OOS
S0 do-nothing,O,BROAD136/BUDGET/10bps,-,0.8757653518480898,0.1239753968139367,-0.2157028764960705
S1 IS-argmax (no gate),O,BROAD136/BUDGET/10bps,thr=0.2/skip,0.6985632186076824,0.1042256816765283,-0.277871321094844
S2 gate ABS/MAX,O,BROAD136/BUDGET/10bps,thr=0.05/half,0.8913498988226737,0.1288316594953229,-0.2182347327119114
S2 gate ABS/Q95,O,BROAD136/BUDGET/10bps,thr=0.2/skip,0.6985632186076824,0.1042256816765283,-0.277871321094844
S2 gate SIGNED/MAX,O,BROAD136/BUDGET/10bps,thr=0.05/half,0.8913498988226737,0.1288316594953229,-0.2182347327119114
S2 gate SIGNED/Q95,O,BROAD136/BUDGET/10bps,thr=0.2/skip,0.6985632186076824,0.1042256816765283,-0.277871321094844
REF RULES v1,O,BROAD136/BUDGET/10bps,-,0.5762455290533604,0.05941503739942622,-0.21192776216161058
REF SPY,O,BROAD136/BUDGET/10bps,-,0.8820239235972316,0.1545044425578177,-0.3371595330739301
S0 do-nothing,O,BROAD136/BUDGET/25bps,-,0.7310232139337223,0.1005672179955097,-0.2168028143791271
S1 IS-argmax (no gate),O,BROAD136/BUDGET/25bps,thr=0.2/skip,0.6446662817622812,0.0947179306260499,-0.2796670341693569
S2 gate ABS/MAX,O,BROAD136/BUDGET/25bps,thr=0.05/half,0.7984480519825063,0.1134042684905318,-0.2196314256499747
S2 gate ABS/Q95,O,BROAD136/BUDGET/25bps,thr=0.2/skip,0.6446662817622812,0.0947179306260499,-0.2796670341693569
S2 gate SIGNED/MAX,O,BROAD136/BUDGET/25bps,thr=0.05/half,0.7984480519825063,0.1134042684905318,-0.2196314256499747
S2 gate SIGNED/Q95,O,BROAD136/BUDGET/25bps,thr=0.2/skip,0.6446662817622812,0.0947179306260499,-0.2796670341693569
REF RULES v1,O,BROAD136/BUDGET/25bps,-,0.15539942911840496,0.011143647854536143,-0.2672355658850343
REF SPY,O,BROAD136/BUDGET/25bps,-,0.8820239235972316,0.1545044425578177,-0.3371595330739301
S0 do-nothing,O,BROAD136/DDCTL/10bps,-,0.8757653518480898,0.1239753968139367,-0.2157028764960705
S1 IS-argmax (no gate),O,BROAD136/DDCTL/10bps,thr=0.15/0.5,0.8663357222169618,0.1216407790744835,-0.2157028764960705
S2 gate ABS/MAX,O,BROAD136/DDCTL/10bps,thr=0.06/0.5,0.7919184584638835,0.0956614836290612,-0.1689758677123031
S2 gate ABS/Q95,O,BROAD136/DDCTL/10bps,thr=0.1/0.5,0.839175967260116,0.1095927641972336,-0.2132958584655373
S2 gate SIGNED/MAX,O,BROAD136/DDCTL/10bps,(none),0.8757653518480898,0.1239753968139367,-0.2157028764960705
S2 gate SIGNED/Q95,O,BROAD136/DDCTL/10bps,(none),0.8757653518480898,0.1239753968139367,-0.2157028764960705
REF RULES v1,O,BROAD136/DDCTL/10bps,-,0.5762455290533604,0.05941503739942622,-0.21192776216161058
REF SPY,O,BROAD136/DDCTL/10bps,-,0.8820239235972316,0.1545044425578177,-0.3371595330739301
S0 do-nothing,O,BROAD136/DDCTL/25bps,-,0.7310232139337223,0.1005672179955097,-0.2168028143791271
